"professorName","department","sourceSystem","sourceUrl","externalId","averageRating","reviewCount","difficultyRating","wouldTakeAgainPercent","capturedAt"
"Aaron Bruner","Practice, Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Aaron David Sadow","Chemistry","RATE_MY_PROFESSORS","","","","","","",""
"Aaron J. Rossini","Chemistry","RATE_MY_PROFESSORS","","","","","","",""
"Aaron John Gassmann","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Aaron S. Rosheim",,"RATE_MY_PROFESSORS","","","","","","",""
"Aaron Wood","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"Aaron Yang","Graphic Design","RATE_MY_PROFESSORS","","","","","","",""
"Abby Dubisar","English","RATE_MY_PROFESSORS","","","","","","",""
"Abdi Kusow","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Abhay Grover","Supply Chain Management","RATE_MY_PROFESSORS","","","","","","",""
"Abhay Mishra","Information Systems and Business Analytics","RATE_MY_PROFESSORS","","","","","","",""
"Abhijit Chandra","Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Abhishek Halder","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Abraham G. Abelson","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Abram Anders","English","RATE_MY_PROFESSORS","","","","","","",""
"Achilles Avraamides","History","RATE_MY_PROFESSORS","","","","","","",""
"Adam Barb","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Adam Janke","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Adam Kaminski","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Adam Mullis","Chemical and Biological Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Adam Thoms","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"Adarsh Krishnamurthy","Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Adina Howe","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Adisak Sukul","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Aditya Ramamoorthy","Electrical and Computer Engineering; Professor of Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Adrian A. III Bennett","History","RATE_MY_PROFESSORS","","","","","","",""
"Adrien Aertsens","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Ahmed El-Sayed Kamal","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Aileen Keating","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Aili Mu","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Aishwarya Pawar","Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ajay Nair","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"Akhilesh Tyagi","Electrical and Computer Engineering; Professor of Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Akshay Sharma","Industrial Design","RATE_MY_PROFESSORS","","","","","","",""
"Alan A. Dispirito","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Alan Culbertson","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Alan David Jr. Wanamaker","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"Alan Drury","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Alan G. Atherly","Genetics, Development, and Cell Biology; Emeritus Professor of Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Alan I. Goldman","Physics and Astronomy; Distinguished Professor in Liberal Arts and Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Alan I. Marcus","History","RATE_MY_PROFESSORS","","","","","","",""
"Alan M. Myers","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Alan Mark Russell","Materials Science and Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Alan P. Constant","Materials Science and Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Alan P. Robertson","Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Alan Zhang","Finance","RATE_MY_PROFESSORS","","","","","","",""
"Albert Earl Jergens","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Alberto Martin-Utrera","Finance","RATE_MY_PROFESSORS","","","","","","",""
"Alberto Passalacqua","Mechanical Engineering; Associate Professor of Chemical and Biological Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Alcira S. Goggi","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Alec Dennis","Information Systems and Business Analytics","RATE_MY_PROFESSORS","","","","","","",""
"Alejandro Larios-Mora","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Alejandro Olmedo-Velarde","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Alejandro Travesset-Casas","Physics and Astronomy; Professor of Materials Science and Engineering","RATE_MY_PROFESSORS","","","","","","",""
