subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ACCT,2150,Legal Environment of Business,3.,Lecture 3.,,,,Sophomore classification,"General history, structure, and principles of the US legal system. The legal system, as an agency of social control and tool for resolving disputes. The court systems, Constitution, torts, crimes, intellectual property, contracts, property rights, employment law, basic business entity law, bankruptcy, administrative agencies, environmental law and agency law.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,2840,Financial Accounting,3.,Lecture 3.,,,,,"Introduction to the basic concepts and procedures of financial accounting from a user perspective. The course examines the accounting cycle, business terminology, basic control procedures, and the preparation and evaluation of financial reports, with an emphasis on financial statement analysis.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,2850,Managerial Accounting,3.,Lecture 3.,,,,ACCT 2840,"Understanding of fixed and variable costs and their role in planning, control and performance evaluation. Examination of alternative costing methods. Making decisions by identifying and developing relevant information. Development of spreadsheet skills.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,3010,The Accounting Cycle,1.,Lecture 1.,,,,ACCT 2840,Interactive computer-based analysis of the accounting cycle including transactions and financial statements. Preparation of journal entries and adjusting entries and completion of the closing process.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,3150,Business Data Streams and Issues,3.,Lecture 3.,,,,ACCT 2840 and MIS 3010,"Identification of open data sources and other private data sources. Develop methods of data access, collection, and sharing; develop methods to validate and standardize data sources; develop methods to assess data worthiness (risk).","Fall (even-numbered years), Spring (odd-numbered years), Summer (annually",https://catalog.iastate.edu/azcourses/acct/
ACCT,3830,Intermediate Managerial Accounting,3.,Lecture 3.,,,,ACCT 2850 and credit or enrollment in ACCT 3010,"Generation, communication and use of information to assist management with planning, control, and decision making in manufacturing and service organizations. Includes cost concepts and relevance to decision situations, operational and capital budgeting, and performance evaluation. Emphasis on developing effective teamwork skills as well as spreadsheet capabilities.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,3840,Accounting Information Systems and Analytics,3.,Lecture 3.,,,,Credit or enrollment in ACCT 3010 and MIS 3010,"Concepts and procedures underlying creating, sharing, reporting, storing, and analyzing accounting data. Information technology internal controls and audit techniques. Trends in accounting information systems.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,3860,Intermediate Financial Accounting I,3.,Lecture 3.,,,,( ACCT 2840 or ACCT 2840H) and ACCT 3010,"The conceptual framework of financial accounting. Communication of financial information on the income and retained earnings statements, statement of cash flows, and the balance sheet. Accounting concepts relating to current and operational assets of the firm.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,3870,Intermediate Financial Accounting II,3.,Lecture 3.,,,,Minimum of C- in ACCT 3860,"Financial accounting and reporting practices for business entities. Generally accepted accounting principles (GAAP) relative to firm liabilities, equity, income, taxes, employee benefits, leases, accounting changes and cash flows. Discussion of current issues in financial accounting.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,4010,Financial Management for Healthcare Organizations,3.,Lecture 3.,,,,FIN 3010 and credit or enrollment in HCM 3010,"Examination of the current accounting system for, and the financing of, health care and the factors affecting the industry. Exploration and analysis of budgetary concepts, financial management, cost accounting, and management under rate control and competition, as well as the differences between the goods and service industries. Additional areas of discussion include the practical application of health care finance theory as it applies to the current healthcare environment. The revenue and expense applications will be explored in-depth, particularly in relation to the delivery of health care services. Specific emphasis will be placed on understanding the components of the income statement and balance sheet, developing a budget, and using these financial statements for analyzing operational changes.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,4160,Business Law,3.,Lecture 3.,,,,ACCT 2150,"Continuation of 2150. The Uniform Commercial Code as applied to sales contracts and negotiable instruments. Property law, wills and estates, insurance, secured transactions, corporation law, partnership law and antitrust law.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,4420X,Generative AI in Business Decision-Making,3.,Lecture 3.,,,,,"This intensive course is designed to equip students with the knowledge and skills to leverage generative AI in business decision-making. Through learning modules, interactive case studies, and practical assignments, students will learn to create effective prompts and use Generative AI to transform business processes and decision-making.","Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,4610,Entrepreneurship and Accounting Information,3.,Lecture 3.,,,,,"Accounting information recording, dissemination, and use by entrepreneurs. Introduces pro forma financials, venture capital, private equity, and state and federal regulations for business creation and formation. Other topics include intrapreneurship, intellectual property, information privacy, cybersecurity, and internal controls, including managing the risk of embezzlement.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,4830,Application and Communication in Managerial Accounting,3.,Lecture 3.,,,,ACCT 3830 or ACCT 5810,"Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, data visualization, and oral presentation skills.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,4840,Advanced Accounting Information Systems,3.,Lecture 3.,,,,ACCT 3840,"Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,4850,Principles of Federal Income Tax,3.,Lecture 3.,,,,Minimum of C- in ACCT 3860,"Introduction to the fundamentals of federal income taxation and concepts applicable to all tax entities. Addresses issues related to the measurement and recognition of income, deductions, gains, and losses, taxation of property transactions, and basis / cost recovery concepts. Includes coverage of tax law policy objectives, tax implications of business and investment decisions, tax versus financial reporting treatment of common business transactions, and ethical issues related to tax compliance and planning.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,4870,Volunteer Income Tax Assistance,3.,"Lecture 2, Laboratory 2.",,,True,( ACCT 2850 or ACCT 5010 ) OR department permission,"Introduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.",Spring,https://catalog.iastate.edu/azcourses/acct/
ACCT,4880,Governmental and Non-profit Institution Accounting,3.,Lecture 3.,,,,ACCT 3860,"Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals. In addition, accounting and financial reporting of non-profit organizations will be addressed. Financial statements of local governmental units and the university are explored.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,4890,Sustainability Reporting,3.,Lecture 3.,,,,"Junior, Senior, or Graduate Standing","Theory and practice of social and environmental reporting, the role of the corporation in society, and the mechanisms by which society might hold corporations accountable for their actions.",Spring,https://catalog.iastate.edu/azcourses/acct/
ACCT,4900,Independent Study,1-3.,,,,True,Department Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,4930,Corporate Taxation,3.,Lecture 3.,,,,ACCT 3860,"Introduction to the fundamentals of corporate taxation issues. Discussion of concepts related to the formation and capital structure of corporations. Identification and effect of tax codes and regulations related to corporations. Discussion of operating rules, earnings and profits, distributions, as well as redemptions and liquidations of corporations.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,4950,Advanced Financial Accounting Problems,3.,Lecture 3.,,,,ACCT 3870,"Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting; Segment and Interim Reporting; Multinational accounting.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,4960,Accounting in the Global Economy,3.,Lecture 3.,,,,ACCT 3860 or ACCT 5010,"Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,4970,Introduction to Auditing,3.,Lecture 3.,,,,ACCT 3840 and ACCT 3870 and STAT 3260,"The conceptual framework of auditing. Professional ethics. External reporting concepts. Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,4980,Accounting Communication and Analysis,3.,Lecture 3.,,,,ACCT 3870,"Integrative studies in accounting. Development of critical thinking, ethical reasoning, professional research and teamwork skills. Written, visual, and oral communication with corporate stakeholders.",Fall,https://catalog.iastate.edu/azcourses/acct/
ACCT,5010,Financial Accounting,3.,Lecture 3.,,,,Ivy College of Business Graduate Student or instructor permission,"A general introduction to financial accounting information. Topics covered include the use and analysis of financial information, the regulatory environment, the role of International Financial Reporting Standards (IFRS), and the use of the internet and electronic spreadsheets as a means of accessing and analyzing financial data.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5150,Accounting Analytics,3.,Lecture 3.,,,,ACCT 3840 OR Enrolled in Master of Accounting OR Enrolled in Master of Accounting Analytics,Applications and skills for performing data analytics in accounting contexts. Explores conceptual framework for providing data-driven insights and recommendations. Includes hands-on experiences working with different types of data and the latest analysis tools.,Fall,https://catalog.iastate.edu/azcourses/acct/
ACCT,5160,Business Law,3.,Lecture 3.,,,,ACCT 2150,"Continuation of 2150. The Uniform Commercial Code as applied to sales contracts and negotiable instruments. Property law, wills and estates, insurance, secured transactions, corporation law, partnership law and antitrust law.","Fall, Spring",https://catalog.iastate.edu/azcourses/acct/
ACCT,5420X,Generative AI in Business Decision-Making,3.,Lecture 3.,,,,,"This intensive course is designed to equip students with the knowledge and skills to leverage generative AI in business decision-making. Through learning modules, interactive case studies, and practical assignments, students will learn to create effective prompts and use Generative AI to transform business processes and decision-making.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5610,Entrepreneurship and Accounting Information,3.,Lecture 3.,,,,ACCT 2840 or Graduate Classification,"Accounting information recording, dissemination, and use by entrepreneurs. Introduces pro forma financials, venture capital, private equity, and state and federal regulations for business creation and formation. Other topics include intrapreneurship, intellectual property, information privacy, cybersecurity, and internal controls, including managing the risk of embezzlement.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5710,Real Estate Law,3.,Lecture 3.,,,,Ivy College of Business Graduate Student or instructor permission,"Fundamentals of real estate finance and development from a legal perspective and in a transactional setting. Topics include land acquisition and finance, choice of entity, tax aspects, management, disposition of real property, and recent legal developments. Legal responsibilities of owners, designers, and contractors are also examined by highlighting typical contractual relationships in place throughout the design and construction process.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5800A,CPA Exam Preparation - AUD,3.,,,,,Graduate Standing or Permission of Instructor,"Preparation for the Auditing and Attestation (AUD) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two of ACCT 5800A , 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5800B,CPA Exam Preparation - BEC,3.,,,,,Graduate Standing or Permission of Instructor,"Preparation for the Business Environment and Concepts (BEC) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two of ACCT 5800A , 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5800C,CPA Exam Preparation - FAR,3.,,,,,Graduate Standing or Permission of Instructor,"Preparation for the Financial Accounting and Reporting (FAR) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two of ACCT 5800A , 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5800D,CPA Exam Preparation - REG,3.,,,,,Graduate Standing or Permission of Instructor,"Preparation for the Regulation (REG) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two of ACCT 5800A , 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5800E,CMA Exam Preparation - Part 1,3.,,,,,Graduate Standing or Permission of Instructor,"Preparation for Part 1 (Financial Planning, Performance, and Analytics) of the Certified Management Accountant (CMA) examination. Graduation Restriction: Only two of ACCT 5800A , 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5800F,CMA Exam Preparation - Part 2,3.,,,,,Graduate Standing or Permission of Instructor,"Preparation for Part 2 (Strategic Financial Management) of the Certified Management Accountant (CMA) examination. Graduation Restriction: Only two of ACCT 5800A , 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/acct/
ACCT,5810,Accounting for Decision Making,3.,Lecture 3.,,,,Graduate classification,Decision analysis applied to managerial accounting issues. Generation of information for management decision making and control. Responsibility accounting and non-recurring decisions.,,https://catalog.iastate.edu/azcourses/acct/
ACCT,5820,Corporate Governance and Top Management,3.,Lecture 3.,,,,MGMT 5030 or permission,"Duties, structure, and functioning of top management teams and corporate boards of directors. CEO/board tenure and succession planning, top management compensation, board committee composition, assessment of CEO and board performance, theories of corporate governance, management of the corporate strategic agenda, governance codes, international governance, and chairman/CEO duality. Case studies and contemporary issues discussed.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5830,Application and Communication in Managerial Accounting,3.,Lecture 3.,,,,ACCT 3830 or ACCT 5810,"Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, data visualization, and oral presentation skills.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5840,Advanced Accounting Information Systems,3.,Lecture 3.,,,,ACCT 3840 or Graduate Classification,"Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5850,Taxes and Business Strategy,3.,Lecture 3.,,,,ACCT 4850 or Graduate Classification,"Integration of concepts from accounting, finance, and economics to determine how taxes affect business decisions. Provides students with a conceptual framework for thinking about business tax planning and applies it to various common business decisions.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5860,Advanced Federal Taxation,3.,Lecture 3.,,,,Enrolled in Master of Accounting OR Enrolled in Master of Accounting Analytics OR ACCT 4850,"Advanced coverage of federal taxation including issues related to the taxation of corporations, partnerships, estates and trusts, and their owners. Includes coverage of rules, concepts, background, and planning opportunities related to a number of common transactions involving these entities.",,https://catalog.iastate.edu/azcourses/acct/
ACCT,5870,Volunteer Income Tax Assistance,3.,"Lecture 2, Laboratory 2.",,,True,( ACCT 2850 or ACCT 5010 ) OR department permission,"Introduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.",Spring,https://catalog.iastate.edu/azcourses/acct/
