subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AERE,1600,Aerospace Engineering Problems With Computer Applications Laboratory,3.,"Lecture 2, Laboratory 2.",,,,Credit or enrollment in MATH 1650 or satisfactory (76+) score on mathematics placement exam,"Introduction to aerospace engineering and systems thinking through engineering design team projects such as flight control of Lighter Than Air (LTA) vehicles. Introduction to programming using python. Solving aerospace engineering problems while learning about significant figures, estimation, units of measure, graphing, curve fitting, and presenting solutions through technical reports. Brief history of aerospace engineering. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/aer_e/
AERE,1600H,Aerospace Engineering Problems With Computer Applications Laboratory: Honors,3.,"Lecture 2, Laboratory 2.",,,,Credit or enrollment in MATH 1650 or satisfactory (76+) score on mathematics placement exam; Membership in the University Honors Program,"Solving aerospace engineering problems and presenting solutions through technical reports. Significant figures and estimation. SI units. Graphing and curve fitting. Introduction to aerospace engineering and engineering design. Spreadsheet programs. History of aerospace. Systems thinking. Team projects. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/aer_e/
AERE,1610,"Numerical, Graphical and Laboratory Techniques for Aerospace Engineering",4.,"Lecture 3, Laboratory 2.",,,,"(Credit in ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , ENGR 1600 , IE 1600 , ME 1600 , or SE 1850) OR [(Enrollment in ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , ENGR 1600 , IE 1480, ME 1600 , or SE 1850) AND Instructor Permission]","Computer-based problem solving using Matlab(R), with emphasis on numerical methods. Introduction to solid modeling and aerospace design using SolidWorks.","Fall, Spring",https://catalog.iastate.edu/azcourses/aer_e/
AERE,1610H,"Numerical, Graphical and Laboratory Techniques for Aerospace Engineering: Honors",4.,"Lecture 3, Laboratory 2.",,,,"(Credit in ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , ENGR 1600 , IE 1600 , ME 1600 , or SE 1850) OR [(Enrollment in ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , ENGR 1600 , IE 1600 , ME 1600 , or SE 1850) AND Instructor Permission]; Membership in University Honors Program","Computer-based problem solving using Matlab(R), with emphasis on numerical methods. Introduction to solid modeling and aerospace design using SolidWorks.","Fall, Spring",https://catalog.iastate.edu/azcourses/aer_e/
AERE,1920,Aerospace Seminar,Required.,Lecture 1.,,,,,"Vectors, differentiation, integration, matrices, and systems of linear equations.",Spring,https://catalog.iastate.edu/azcourses/aer_e/
AERE,1920H,Aerospace Seminar: Honors,Required.,Lecture 1.,,,,Membership in the University Honors Program,"Vectors, differentiation, integration, matrices, and systems of linear equations.",Spring,https://catalog.iastate.edu/azcourses/aer_e/
AERE,2610,Introduction to Performance and Design,3.,Lecture 3.,,,,MATH 1660 or MATH 1660H ; PHYS 2210 or PHYS 2310 or PHYS 2310H ; PHYS 2310L ; Credit or enrollment in AERE 1610,"Aerodynamics of the airplane, lift and drag, drag polar, propulsion characteristics of turbojets and piston props, level flight, range, endurance, climbing flight, turning flight, take-off and landing, design examples.","Fall, Spring",https://catalog.iastate.edu/azcourses/aer_e/
AERE,2650,Scientific Balloon Engineering and Operations,1.,Laboratory 2.,,,True,,"Engineering aspects of scientific balloon flights. Integration of science mission objectives with engineering requirements. Operations team certification. FAA and FCC regulations, communications, and command systems. Flight path prediction and control.",Fall,https://catalog.iastate.edu/azcourses/aer_e/
AERE,2900A,Aerospace Engineering Independent Study: Flight Ground Instruction,1-2.,,,,True,"Sophomore classification, approval of the department",,,https://catalog.iastate.edu/azcourses/aer_e/
AERE,2900B,Aerospace Engineering Independent Study: In-flight Training,1-2.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/aer_e/
