subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AESHM,1110,Professional Development for AESHM,1.,Lecture 1.,,,,,"Introduction to professional experiences within AESHM and CHS Career Services including CyHire. Coursework includes resume development, daily habits for success including stress management, intrapersonal skills with a wellness focus, interpersonal skills and leadership, business etiquette, and professional ethics.","Fall, Spring",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1110L,AESHM Program Orientation and Learning Community,1.,Laboratory 2.,,,,,"Orientation to policies and procedures of department and program. Overview of major and minor options, including entrepreneurship. Exploration of undergraduate research, independent studies, study abroad, and field studies. Coverage of goal setting, curriculum planning, degree audits, and registration. Peer mentor interaction in academic, extracurricular, and service learning arranged component.","Fall, Spring",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1700D,Supervised Work Experience I: Hospitality,1.,,,,True,Internship Coordinator Permission Required for Course,"Supervised work experience with a cooperating ﬁrm or organization. Employer/experience for AESHM 4700 or HSPM 4700 should be different from employer/experience used for AESHM 1700 and AESHM 2700. Graduation Restriction: No more than 12 credits total from AESHM 1700, 2700, and 4700 may be applied toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1700F,Supervised Work Experience I: Event Management,1.,,,,True,Internship Coordinator Permission Required for Course,"Supervised work experience with a cooperating ﬁrm or organization. Employer/experience for AESHM 4700 or HSPM 4700 should be different from employer/experience used for AESHM 1700 and AESHM 2700. Graduation Restriction: No more than 12 credits total from AESHM 1700, 2700, and 4700 may be applied toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1700N,Supervised Work Experience I: Apparel,1.,,,,True,Internship Coordinator Permission Required for Course,"Supervised work experience with a cooperating ﬁrm or organization. Employer/experience for AESHM 4700 or HSPM 4700 should be different from employer/experience used for AESHM 1700 and AESHM 2700. Graduation Restriction: No more than 12 credits total from AESHM 1700, 2700, and 4700 may be applied toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1750D,Financial Applications for Retail and Hospitality Industries: Hospitality Management,2.,Lecture 2.,,,,,"Using an online delivery method, students will learn basic mathematical concepts, calculations and formulas commonly used in the apparel and hospitality industries. Emphasis on problem solving, critical/creative thinking, and mathematical interpretation of calculations and formulas used within the hospitality industries.",Spring,https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1750N,Financial Applications for Retail and Hospitality Industries: Retail Merchandising,2.,,,,True,,"Using an online delivery method, students will learn basic mathematical concepts, calculations and formulas commonly used in the apparel and hospitality industries. Emphasis on problem solving, critical/creative thinking, and mathematical interpretation of calculations and formulas used within the apparel industries.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1800E,First Year Student Field Study: Hospitality and Event Management,1-2.,"Lecture 2.5, Laboratory 0.",,,True,Instructor Permission for Course,Study of and tours of regional areas of interest to majors in the HSPM and EVENT majors. Trip to regional location under supervision of faculty member. Locations vary. Journal entries and final report/analysis are required. Cost associated with trip.,"Fall, Spring",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,1800N,"First Year Student Field Study: Apparel, Merchandising, and Design",1-2.,Lecture 2.,,,True,Instructor Permission for Course,Study of and tours of regional areas of interest to AMD majors. Trip to regional location under supervision of faculty member. Locations vary. Journal entries and final report/analysis are required. Cost associated with trip.,"Fall, Spring",https://catalog.iastate.edu/azcourses/aeshm/
AESHM,2058X,Retail Entrepreneurship: A Small Business Learning Lab Experience (Assistants),3.,,,,,,"By participating in the retail laboratory, learn what it takes to become a retail entrepreneur and the small-business startup industry by getting hands-on, real-world experience in marketing, human resource management, merchandise planning, public relations, event management, visual merchandising, e-commerce, and the fundamentals of business operations. Understand entrepreneurship and the skills required to be successful by working with entrepreneurial mentors and skilled industry experts focused on the latest industry trends.This course is targeted towards sophomores, juniors, and seniors who are interested in starting their own retail business or who want to further their entrepreneurial skill set to empower them in their future careers. This class is focused on the retail industry but is open to all majors, including apparel merchandising and design, event management, graphic design, finance, marketing, and more!Students who interviewed for and were awarded the director positions for running Innovate 1858 enroll at the 4000 level and managerial level at the 3000 level, while all others chose to participate in departments enrolled at the 2000 level.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/aeshm/
