subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AFAM,2010,Introduction to African American Studies,3.,Lecture 3.,,,,,"An interdisciplinary introduction to the study of African American culture. Includes history, the social sciences, literature, religion, and the arts, as well as conceptual frameworks for investigation and analysis of the African American experience. Meets U.S. Cultures and Communities Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/af_am/
AFAM,3100,Africa to 1880,3.,Lecture 3.,,,,Sophomore classification,"Survey of the history of African societies, cultures and civilizations from earliest times to 1880. Evolution of states across the continent; social, economic, political, and cultural developments; nature and consequences of African interactions and relationship with Europeans. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3110,Africa under Colonial Rule,3.,Lecture 3.,,,,Sophomore classification,"Development of Africa from imposition of colonial rule to independence, including processes of European domination, African reaction and resistance, emergence of nationalism, and dismantling of colonialism. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3140X,Racism in American Popular Media,3.,Lecture 3.,,,,Sophomore classification or above,This course explores the history of racist tropes and caricatures in American popular media and analyzes how they taught Americans to understand race.,,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3270,Strategies of Resistance: From Slavery to Hip-Hop & Black Lives Matter,3.,Lecture 3.,,,,Sophomore classification,"Analysis of strategies of resistance and protest against inequality within African American communities; emphasis on the historical, socio-political and economic contexts in which resistance emerges; includes examination of contemporary forms of protests.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3300,Ethnic and Race Relations,3.,Lecture 3.,,,,,"Analysis of ethnic and race relations, particularly in America; emphasis on the sociology and psychology of race and ethnic relations. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/af_am/
AFAM,3340,Africana Religions,3.,Lecture 3.,,,,,"A focused study of the religious histories and cultures of West Africans and their descendants in the Americas. Topics include West African traditions, Christianity, Islam, and indigenous Afro-Caribbean religions, with attention to their gendered, theological, and cultural dimensions. Prior course work in Religious Studies or African American Studies recommended. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3350,"Race, Ethnicity, and the US Criminal Justice System",3.,"Lecture 2, Discussion 1.",,,,,"Empirical and theoretical readings on the intersection of race, ethnicity, crime, and the criminal justice system in contemporary society. Topics include, but are not limited to racial and ethnic relations in society, media, violence, policing, and disparity and discrimination in crime and punishment. Criminological theories of racial and ethnic antagonism. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3470,African American Literature,3.,Lecture 3.,,,,ENGL 2500,"Focused study of literature by African American writers. May include focus on a particular genre (fiction, non-fiction, poetry, film, drama, media), author, event, movement, or theme.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3500,Women of Color in the U.S,3.,Lecture 3.,,,,3 credits in WGS or AFAM,"Economic, social, political and cultural roles of Women of Color in the U.S. Includes literary, philosophical, and artistic expressions. Myths and realities explored.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3530,History of African Americans I,3.,Lecture 3.,,,,Sophomore classification,"Examines African roots of black culture and the African American experience in the United States from the colonial period through the Civil War. Topics include Atlantic Slave Trade, slavery and American identity, abolition, the emergence of Black Nationalism, and black participation in the Civil War. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3540,History of African Americans II,3.,Lecture 3.,,,,Sophomore classification,"Explores African American political thought and political action from Reconstruction to the present. Topics include rise of Jim Crow segregation, urban migration, Garvey movement, Harlem Renaissance, Depression and world wars, Pan-Africanism, civil rights, Black Power, and black feminism. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,3550,Understanding Sub-Saharan Africa,3.,Lecture 3.,,,,Sophomore classification,"Survey of economic, social, political and historical processes that have shaped representations of Africa and Africans. Topics include colonialism, globalization, gender and LGTBQ rights, conflict and representations in Western media. Offered even-numbered years. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/af_am/
AFAM,4600,Seminar in African American Culture,3.,Lecture 3.,,,,Sophomore classification,"Intensive study of a selected topic in African-American Studies in one or more disciplines. Selected readings of various authors, movements, eras, or genres. Primary and secondary source materials.",Spring,https://catalog.iastate.edu/azcourses/af_am/
AFAM,4690X,"History of Racial Violence in Europe and the United States, 1865-1945",3.,Lecture 3.,,,True,Permission of Instructor; Sophomore classification,"History of racial and genocidal violence comparing the experiences of Black, Latino/a/x, Native, and Asian peoples in the United States with Jewish people, the Romani, and people of African descent in Europe. The class focuses on the forms of individual and state-sponsored violence, culminating in the Holocaust. Field trip to Washington, D.C. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,4730,Civil Rights and Ethnic Power,3.,Lecture 3.,,,,Sophomore classification,"Comparative history of the civil rights and ethnic power movements (African American, Chicano, American Indian, Puerto Rican, among others) in the U.S. from World War II to the present. Topics include institutional foundations, leadership, gender and racial dynamics, and the convergences and divergences of these differing ethnic struggles for rights. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/af_am/
AFAM,4900,Independent Study,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/af_am/
