subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AGEDS,1100,Professional Development in Agricultural Education and Studies: New Student Seminar,1.,"Discussion 1, Lecture 0.5.",,,,,"Introduction to professional and educational development within university, college, department and major. Development of Resumes and Cover Letters. Career planning and assessment of professional goals.","Fall, Spring",https://catalog.iastate.edu/azcourses/ageds/
AGEDS,1110,Dean's Leadership Seminar,1.,Lecture 1.,,,,College Registration Approver Permission for Course,"Introduction to leadership in agriculture and the life sciences, problem solving applied to current case studies, global perspective required by leaders, and designing programs to respond to societal needs in the agricultural and life sciences.",Fall,https://catalog.iastate.edu/azcourses/ageds/
AGEDS,1120,Agriculture Biotechnology Colloquium,1.,Lecture 1.,,,,Department Permission for Course,The scientific basis of biological and social sciences in agriculture.,Spring,https://catalog.iastate.edu/azcourses/ageds/
AGEDS,1130,Access to Success Seminar I,1.,Lecture 1.,,,True,,"Career skills, learning strategies, and social and academic integration techniques to student members of Step Forward Learning Community. Utilization of campus resources, encouragement of self-exploration, and development of academic skills. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/ageds/
AGEDS,1150X,Professional Development in Agricultural Education and Studies: Seminar,1.,Lecture 1.,,,True,,Topics vary according to student interest. Materials related to current issues in Agricultural Education and Studies.,,https://catalog.iastate.edu/azcourses/ageds/
AGEDS,1160,Initial Field Experience in Agricultural Education,1.,Lecture 0.5.,,,,AGLSE major,"Field experience in a formal education setting designed to explore teaching as a career through guided observation and interviews, reflection, and on-campus dialogue.",Fall,https://catalog.iastate.edu/azcourses/ageds/
AGEDS,2110A,High School Agriculture Programs,1.,,,,True,Credit or concurrent enrollment in AGEDS 1100 or ANS 1100 or AGRON 1100 or ECON 1100 or NREM 1100 or BIOL 1100 or HORT 1100 or SOC 1100 or FSHN 1100 or TSM 1100 or BUSAD 1020 or BUSAD 1030 or LAS 1010 or ENGR 1010,"Forty hours on-site in an agricultural setting. Students will have an opportunity outside the classroom for career guidance, role modeling, and reflection on their observations that they can apply to their courses and other educational experiences.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ageds/
AGEDS,2110C,Agricultural Industries and Agencies,1.,,,,True,AGEDS 1100 or ANS 1100 or AGRON 1100 or ECON 1100 or NREM 1100 or BIOL 1100 or HORT 1100 or SOC 1100 or FSHN 1100 or TSM 1100 or BUSAD 1020 or BUSAD 1030 or LAS 1010 or ENGR 1010,"Forty hours on-site in an agricultural setting. Students will have an opportunity outside the classroom for career guidance, role modeling, and reflection on their observations that they can apply to their courses and other educational experiences.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ageds/
AGEDS,2150,Professional Development in Agricultural Education and Studies: Career Seminar,1.,Lecture 1.,,,,"Sophomore classification, credit or concurrent enrollment in AGEDS 1100 or ANS 1100 or AGRON 1100 or ECON 1100 or NREM 1100 or BIOL 1100 or HORT 1100 or SOC 1100 or FSHN 1100 or TSM 1100 or BUSAD 1020 or BUSAD 1030 or LAS 1010 or ENGR 1010","Career preparation including assessments, networking, interviewing skills and related life skill development. Survey of current issues in agriculture that impact career goals.","Fall, Spring",https://catalog.iastate.edu/azcourses/ageds/
AGEDS,2270,Fundamentals of Visual Communication for Agriculture and Life Sciences,3.,Lecture 3.,,,,,Introduction to the fundamentals of visual communication as used in agricultural and life sciences contexts. Overviews of photography and videography and how they are both used to communicate agricultural and life sciences topics to strategic audiences.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ageds/
