subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AGRON,1050,Leadership Experience,Required.,,,,,,A participatory experience in activities or completion of a course that enhances the development of leadership and group-dynamic skills. See advisor for departmental requirements.,,https://catalog.iastate.edu/azcourses/agron/
AGRON,1100,Professional Development in Agronomy: Orientation,1.,Lecture 1.,,,,,"Orientation to college life, the profession of agronomy, and the agronomy curriculum.",Fall,https://catalog.iastate.edu/azcourses/agron/
AGRON,1200,Introduction to Renewable Resources,3.,Lecture 3.,,,,,"Overview of soil, water, plants, and animals as renewable natural resources in an ecosystem context. History and organization of resource management. Concepts of integrated resource management.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,1400,Climate and Society,3.,Lecture 3.,,,,,"The climate system of our planet. How nature and our actions alter the existing energy balance leading to climate change. Past climates on our planet. The influence of climate on society and resource availability during the Holocene (~ 11,000 years ago to present) with focus on changes post industrial revolution. Significant climate events that have altered our way of life in the past. Projected changes in future climate and potential impacts on society, environment and resources. Adaption to and mitigation of climate change. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,1600,Water Resources of the World,3.,Lecture 3.,,,,,"Study of the occurrence, history, development, and management of world water resources. Basic hydrologic principles including climate, surface water, groundwater, and water quality. Historical and current perspectives on water policy, use, and the role of water in society and the environment. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/agron/
AGRON,1800,Global Agriculture in a Changing World,3.,Lecture 3.,,,,,"A scientific investigation of the global distribution of climate, soils and agricultural production and consumption. Physical processes that connect natural resources to agriculture and the environment. How global change drives increasing demand for agricultural production. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/agron/
AGRON,1810,Introduction to Crop Science,3.,Lecture 3.,,,,,"Basic structure and function of plants, origin and classification, growth and development. Fundamentals of photosynthesis, plant water use, plant nutrition and genetics that regulate plant growth, development and responses to the environment.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,1820,Introduction to Soil Science,3.,Lecture 3.,,,,Credit or concurrent enrollment in CHEM 1630 or CHEM 1670 or CHEM 1770,"Introduction to physical, chemical, and biological properties of soils; soil formation, classification and global distribution; soil health, soils and humanity and sustainable land management.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,1830,Basic Skills for Agronomists,1.,Laboratory 3.,,,,,"Developing the skills that agronomists employ in their work with crops, soil, and the environment through activities involving tools and methodologies used by agronomists. Enrollment is restricted to first-year students majoring in agronomy.",Fall,https://catalog.iastate.edu/azcourses/agron/
AGRON,1900X,Exploration of Agronomy,1.,Lecture 1.,,,True,,Selected agronomic experiences or discussion in areas of interest as offered by Agronomy faculty. Topics to be announced in advance.,,https://catalog.iastate.edu/azcourses/agron/
AGRON,2060,Introduction to Weather and Climate,3.,Lecture 3.,,,,,"Basic concepts in weather and climate, including atmospheric measurements, radiation, stability, precipitation, winds, fronts, forecasting, and severe weather. Applied topics include global warming, ozone depletion, world climates and weather safety.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,2100,Professional Development in Agronomy: Career Planning,1.,Lecture 1.,,,,,"Career planning, resume and cover letter preparation.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,2170,Weed Identification,1.,,,,,3 credits in Biological Sciences,"Half-semester course. Identification of important weeds of agricultural, horticultural and native habitats. Principles of plant taxonomy and classification. Field trips.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,2400,Hemp: Potential and Constraints for a New Crop,2.,Lecture 2.,,,True,,"History, biology, and agronomy of hemp as it is allowed to be grown in Iowa.",Spring,https://catalog.iastate.edu/azcourses/agron/
AGRON,2500,Environmental Geography,3.,Lecture 3.,,,,,"The distribution, origins and functions of the earth's physical systems and the spatial relationship between human activity and the natural world.",Fall,https://catalog.iastate.edu/azcourses/agron/
AGRON,2590,Organic Compounds in Plants and Soils,3.,Lecture 3.,,,,( AGRON 1820 or GEOL 2100 or ENSCI 2500 ); BIOL 2120 ; ( CHEM 1630 or CHEM 1770 ); MATH 1400 or higher,"Structure, function, and transformations of organic compounds significant in plant and soil environments.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,2700,Geospatial Technologies,3.,"Lecture 2, Laboratory 2.",,,,,"Concepts and tools for acquiring, managing, analyzing, and displaying geographic information, including GIS, remote sensing, spatial analysis, and cartography. Focus on applications in biological, ecological, environmental, and agricultural sciences.",Spring,https://catalog.iastate.edu/azcourses/agron/
AGRON,2790,Field Exploration of Agronomy,3.,,,,,AGRON 1810 and AGRON 1820,"Field-based investigation of Iowa's agronomic systems. Application of principles learned in introductory soils, crops and agronomy courses. For students majoring in agronomy.",Fall,https://catalog.iastate.edu/azcourses/agron/
AGRON,2800,"Crop Development, Production and Management",3.,Lecture 3.,,,,AGRON 1810 and AGRON 1820,"Overview of crops and cropping systems in the context of global and US agriculture. Focus on agronomic principles, constraints and opportunities as they apply to various locations in Iowa, the USA and the world.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,2810,Crop Physiology,3.,Lecture 3.,,,,AGRON 1810,Science governing plant growth and development in the context of cropping and genetic improvements.,Spring,https://catalog.iastate.edu/azcourses/agron/
AGRON,2820,Soil Conservation and Land Use,3.,Lecture 3.,,,,,"Principles of soil conservation and land use with emphasis on best management practices and use of soil maps and databases such as Web Soil Survey. AGRON 1820 recommended. Graduation Restriction: Credit In Either AGRON 2600 Or AGRON 2820 , But Not Both, May Be Applied Toward Graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
AGRON,2830,Pesticide Application Certification,2.,Lecture 2.,,,,,"Core background and specialty topics in agricultural, and horticultural pesticide applicator certification. Students can select certification categories and have the opportunity to obtain pesticide applicator certification at the completion of the course. Commercial pesticide applicator certification is emphasized.",Spring,https://catalog.iastate.edu/azcourses/agron/
AGRON,2980,Cooperative Education,Required.,,,,,Instructor Permission for Course,Students register for this course in order to retain full-time status while on a professional work experience. Students must register for this course prior to commencing each work period. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/agron/
AGRON,3100,Professional Development in Agronomy: Work Experience,Required.,,,,,,Professional work experience in agronomy. See advisor for departmental requirements.,,https://catalog.iastate.edu/azcourses/agron/
AGRON,3110,Professional Internship in Agronomy,1.,Lecture 1.,,,,Academic Advisor Permission for Course,"A supervised learning experience in a professional setting related to crop production, plant breeding, soil science or environmental science. For students majoring in Agronomy or Seed Science.",Fall,https://catalog.iastate.edu/azcourses/agron/
AGRON,3160,Crop Structure-Function Relationships,3.,Lecture 3.,,,,AGRON 1810 ; 3 credits of BIOL,"Basic principles concerning the growth, development, and production of crop communities in relation to their environment.","Fall, Spring",https://catalog.iastate.edu/azcourses/agron/
