subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AMD,5040,Innovative Textiles,3.,"Lecture 2, Laboratory 2.",,,,Instructor Permission for Course,Theories and principles of textile science. Textile product serviceability. Effect of fiber structure on properties and performance. New developments in textiles. Previous coursework in textile science and chemistry recommended.,,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5050,Quality Assurance of Textiles and Apparel,3.,,,,,Instructor Permission for Course,"Principles of product and materials evaluation and quality assurance. Developing specifications and using standard practices for evaluating materials, product characteristics, performance, and quality. Previous coursework in natural science and statistics recommended.",Fall,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5100,"Foundation of Scholarship in Apparel, Merchandising, and Design",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Overview of scholarship in apparel, merchandising, and design with emphasis on current and future directions. Fundamentals of writing literature reviews. Examination of ethical issues in scholarship and academic life. Introduction to creativity, sustainability, and entrepreneurship.",Fall,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5210,Digital Technologies in Textile and Apparel,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Digital technologies in textile and apparel design. Theories and practices connected to technology in apparel fields. Technologies explored in this class may include digital textile design and printing, 3D body scanning, avatar development for digital fitting or other advanced technologies used in the textile and apparel industries. Previous coursework in research methods recommended. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5250,Experimental Patternmaking,3.,Lecture 3.,,,,Credit or enrollment in FDM 5100,"Research, analyze, and apply experimental patternmaking techniques to original garments suitable for entry into a juried competition/exhibitions. Compare, contrast, and organize a framework of research patternmaking principles through content analysis or other appropriate research techniques. Documentation of learning and design process. Previous coursework in apparel construction and patternmaking recommended. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5390,Digital Textile Design and Theory,3.,Studio 6.,,,True,Graduate Standing or Permission of Instructor,"Focus on artisanal textile, apparel, or surface and structural design techniques. Design processes for specialty fabrics and markets. Topics vary by term. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5450,Consumer Experience and Retail Branding,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examination of hedonic nature of consumer experience and its application to experiential design and branding of retail/hospitality establishments. Emphasis on consumer behavior, environmental psychology, and marketing literature. Previous coursework in psychology, consumer behavior, or marketing recommended. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5540,Dress History Research Methods,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Using a variety of sources and methods of analysis, students will develop their ability to read and interpret primary and secondary sources and to understand the methodology underpinnings and process of constructing dress history.Anticipated Semesters Offered: Spring - Alternate offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5580,"Queer Fashions: History, Culture, and the Industry",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Focus on analyzing the dressed and undressed body of individuals in the queer and trans communities in various cultural contexts with a focus on material culture. Examine concepts related to gender and sexuality and the changing deﬁnitions and representations of individuals who identify in the queer and trans communities focusing on appearance, fashion, and the body. Historic and current representations of fashion, styles, and appearances will be analyzed and discussed. Attention to how sexuality and gender intersect with and shape other identities including race, ability, body size, and class. Examine the complex structures, systems, and ideologies that uphold discrimination and unequitable distribution of power and resources as related to the course material. Attention will mostly be given to North American perspectives. We will use material culture to explore how objects related to fashioning the body reveal lived experiences about the owners and consumers. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/a_m_d/
AMD,5620X,"Fashion Studies, Culture, Industry, and Social Justice",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Analysis of fashion and cultural practices of historically marginalized communities with a focus on power, privilege, and social justice. Heightened attention towards the 20th and 21st centuries. Examination of the way the global fashion industry intersects with and is related to the communities and their dress practices under study. Emphasis on ethnographic research methods. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/a_m_d/
