subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ANS,1010,Working with Animals,2.,"Lecture 1, Laboratory 2.",,,,,"An introductory course in skills for proper care, handling, and management of domestic animals. Terminology and skills in working with animals, identification, life-cycle management practices, and animal health management are introduced and examined.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,1020X,"Introduction to Livestock, Dairy, and Meat Evaluation",1.,"Lecture 0.5, Laboratory 1.",,,,,"Introduction to evaluation techniques for livestock, dairy, and meat judging. Emphasis on basic anatomical terms, selection criteria, decision-making, and communication skills necessary for livestock, dairy, and meat evaluation competitions.",Fall,https://catalog.iastate.edu/azcourses/an_s/
ANS,1030X,Introduction to Dairy Goat Production,1.,Lecture 1.,,,,Credit or enrollment in ANS 1010 or ANS 1140,"Introduction to the dairy goat industry. Dairy goat breeds, production and lactation cycles, common health practices, and facilities will be discussed.",Spring,https://catalog.iastate.edu/azcourses/an_s/
ANS,1100,Orientation in Animal Science and ISU,1.,"Discussion 1, Lecture 1.",,,,,"Orientation to the university and Department of Animal Science. Challenges and opportunities available to the professional animal agriculturalist. Professional goal setting, portfolio development, and development of interpersonal skills in the context of pursuing a career in animal science.",Fall,https://catalog.iastate.edu/azcourses/an_s/
ANS,1140,Survey of the Animal Industry,2.,Lecture 2.,,,,,"Principles of management and care of domestic animals, including genetics, nutrition, and reproduction. Service of domestic animals to society in terms of food, shelter, protection, fuel and emotional well-being. Basic biology, industry structure, management practices and production systems.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,1160,Practicum in Safe Equine Handling and Welfare,1.,Laboratory 3.,,,,,Development of best practices for safe horse handling and practical equine health care tasks. Course will focus on equine welfare and human safety as well as provide training in necessary every day skills needed to own a horse or to work at a horse farm. Certificate of Safe Equine Handling and Welfare available upon course completion.,Fall,https://catalog.iastate.edu/azcourses/an_s/
ANS,1900,"Livestock Handling, Safety and Welfare",2.,"Lecture 1.5, Laboratory 1.",,,,Co-requisite of ANS 1010 or 1140; Instructor permission,"Understanding of animal perception to develop best care practices involved in handing of livestock species (beef, sheep, swine, dairy, equine, poultry). Intensive development of skills associated with handling and moving healthy and compromised livestock in respect to human and animal welfare. Integration of scientific and theoretical knowledge of biosecurity and animal-human interactions as it related to livestock handling and movement.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,1990A,Marketing and Management of Livestock Events: Beef,1.,Laboratory 2.,,,True,Credit or enrollment in ANS 1010 or ANS 1140,"Management and coordination of livestock shows, sales and events, including program planning, staff and volunteer management, time management, publicity and promotion for fairs, shows, clinics, expos, and other events. Graduation Restriction: A maximum of two credits of ANS 1990 may be applied toward the total credits required for graduation. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,1990E,Marketing and Management of Livestock Events: Horses,1.,,,,True,Credit or enrollment in ANS 1010 or ANS 1140,"Management and coordination of livestock shows, sales and events, including program planning, staff and volunteer management, time management, publicity and promotion for fairs, shows, clinics, expos, and other events. Graduation Restriction: A maximum of two credits of ANS 1990 may be applied toward the total credits required for graduation. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,2070,The Art and Heritage of Livestock,3.,Lecture 3.,,,,,"Using art as a venue to understand the legacy and heritage of livestock production and livestock's contribution to civilization and society; livestock's contributions to warfare, social class, industry, economies, etc.; history of the impact of livestock on painting, poetry, music, sculpture, advertising, pop culture, movies, religion and sports in society.",Fall,https://catalog.iastate.edu/azcourses/an_s/
ANS,2100,Career Preparation in Animal Science,1.,,,,,Sophomore classification; Animal Science or Dairy Science Undergraduate Majors,"Life skill development emphasized in the context of career preparation. Assist students with career goal clarification, interview skills, resume and cover letter preparation. Internship development, job shadowing, and exploration of career option.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,2110,Issues Facing Animal Science,1.,Laboratory 2.,,,,ANS 1140 and Sophomore classification,"Overview of the factors that define contemporary ethical and scientifically based issues facing animal agriculture. Life skill development (including interactive skills, communication ability, organization, information gathering, and leadership skills) emphasized in the context of issues study.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,2111X,Issues in Global Resource Systems and Animal Agriculture,1.,Lecture 1.,,,True,,Discussion of topics of current importance in global resource systems and global animal agriculture. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/an_s/
ANS,2140,Domestic Animal Physiology,3.,Lecture 3.,,,,BIOL 2120 ; ( CHEM 1630 or CHEM 1670 or CHEM 1770 ),"Introduction to anatomy and physiology of the muscular, renal, skeletal, neural, mammary, cardiovascular, respiratory, immune, endocrine, reproductive, and digestive systems of domestic animals.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,2140L,Domestic Animal Anatomy and Physiology Lab,1.,Laboratory 2.,,,,,Basic anatomy of domestic animals.,"Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
ANS,2160,Equine Science,3.,"Lecture 2, Laboratory 2.",,,,( ANS 1010 or ANS 1140 ); ( BIOL 1010 or BIOL 2110 or BIOL 2120 ),"Introduction to contemporary concepts, and basic practices and decisions necessary when managing horses through stages of their lives.","Fall, Spring",https://catalog.iastate.edu/azcourses/an_s/
