subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ANTHR,2010,Introduction to Cultural Anthropology,3.,"Discussion 1, Lecture 2.",,,,,"Introduction to the core concepts, theories, and methods of cultural anthropology with an emphasis on understanding human cultural diversity in global society from an anthropological perspective. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/anthr/
ANTHR,2020,Human Origins,3.,"Discussion 1, Lecture 2.",,,,,"Human biological and cultural evolution; survey of the evidence from fossil primates, the human fossil record and the archaeological record, as well as living primates; introduction to research methods in archaeology and biological anthropology.","Fall, Spring",https://catalog.iastate.edu/azcourses/anthr/
ANTHR,2100,Introduction to Asian American Studies,3.,Lecture 3.,,,,,"An interdisciplinary and chronological examination of Asian American immigration experiences from the early 19th century to the 21st century. Focus on how these immigration histories are accompanied by changing racial constructions. Discussion of racial stereotyping, the model minority myth, identity development, and efforts for social justice. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,2200,Globalization and Sustainability,3.,Lecture 3.,,,,,"An introduction to understanding the key global issues in sustainability. Focuses on interconnected roles of energy, materials, human resources, economics, and technology in building and maintaining sustainable systems. Applications discussed will include challenges in both the developed and developing world and will examine the role of technology in a resource-constrained world. Graduation Restriction: Cannot be used for technical elective credit in any engineering department. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/anthr/
ANTHR,2250,American Indians of Iowa,3.,Lecture 3.,,,,,"Cultures and histories of Native people who have called the present state of Iowa home; primary focus on the period between 1700 CE and the present; Native interactions with Spanish, French, British, and American people. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,2300,Globalization and the Human Condition,3.,Lecture 3.,,,,,"An introduction to understanding key global issues in the contemporary world. Focuses on social relations, cultural practices and political-economic linkages among Africa, the Americas, Asia, Europe and the Pacific. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3060,Culture and Interpretation,3.,Lecture 3.,,,,ANTHR 2010,"Disciplinary and interdisciplinary approaches to the interpretation of contemporary and historical cultures, their contexts, and meanings. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3070,Biological Anthropology,3.,"Lecture 2, Laboratory 2.",,,,ANTHR 2020,"Human evolution as known from fossil evidence, comparative primate studies, and genetic variations in living populations. Laboratory-tutorial sessions include study and discussion of human osteology, fossil hominids, simple Mendelian traits, and bio-ethics in applied biological anthropology.",Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3080,Archaeology,3.,"Lecture 2, Laboratory 2.",,,,ANTHR 2020,"Methods and techniques for the recovery and interpretation of archaeological evidence, its role in reconstructing human behavior and past environments. Laboratory sessions include experience in the interpretation of archaeological evidence, the use of classification systems, and prehistoric technologies such as ceramics and stone tools.",Fall,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3090,Introduction to Culture and Language,3.,Lecture 3.,,,,,"Introduction to study of language, culture and society from an anthropological perspective. Focus on language and thought, ethnography of speaking, discourse and narrative, writing and literacy, and media communication. Discussion of key theories and methods of linguistic anthropology. ANTHR 2010 recommended. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3100,Environmental Anthropology,3.,Lecture 3.,,,,ANTHR 2010,Exploration of contemporary theories and methods in environmental anthropology with a focus on anthropological approaches to the global climate crisis. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3120X,Evolution of the Human Diet,3.,Lecture 3.,,,,,"Exploration of the biological and archaeological evidence for how the human diet has changed over time and space; overview of key concepts and terms involved in the study of human diet, including macronutrients and digestive physiology; a comparative survey of the diets and feeding behaviors of extant primate species; overview of the fossil record of the human lineage with an emphasis on the evidence for dietary adaptations over time; the archaeological and biological evidence for the domestication of plants and animals; and a discussion of the modern food production system.",,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3130,Kinship and Marriage in a Global Perspective,3.,Lecture 3.,,,,,"Comparative and historical overview of the family, marriage and kinship. Examination of cross-cultural differences in the construction and functioning of family and kin relations; role of kinship in structuring individual and collective activities; current critical and theoretical issues in kinship studies, especially integrating work on gender and sexuality. ANTHR 2010 recommended. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3150,Archaeology of North America,3.,Lecture 3.,,,,ANTHR 2020,Prehistory and early history of North America as reconstructed from archaeological evidence; peopling of the New World; culture- historical sequences of major culture areas; linkages of archaeological traditions with selected ethnohistorically known Native American groups.,Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3160X,Anthropology and Artificial Intelligence (AI),3.,Lecture 3.,,,,,A holistic introduction to anthropological and social scientific writing on artificial intelligence (AI) over the past several decades focusing on how the creation of humanlike machines involves making claims about human nature through their design. Includes a hands-on experimental component in which students develop AI applications that further anthropological and social-scientific goals.,"Fall, Spring",https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3170,"Primate Behavior, Ecology, and Evolution",3.,Lecture 3.,,,,,"An overview of the primates (prosimians, monkeys, and apes) with a focus on their behavior from an ecological and evolutionary perspective. Topics include: methods in primatological research; survey of the living primates; biological and social adaptations of primates; interactions between primates and their environment; and primate conservation. ANTHR 2020 and/or basic biology course recommended.",Fall,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3190,Skeletal Biology,3.,"Lecture 2, Laboratory 2.",,,,ANTHR 3070 or 3 credits BIOL,"Comprehensive study of the skeletal anatomy, physiology, genetics, growth, development and population variation of the human skeleton. Applications to forensic anthropology, paleopathology and bioarchaeology are introduced.",Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3200,Great Plains Archaeology,3.,Lecture 3.,,,,ANTHR 2020,"Prehistoric societies of the Great Plains region of North America, from initial occupation to European contact; emphasis on sociocultural changes, continuities, and adaptations to changing environments using archaeological, ecological, ethnographic information.",Fall,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3210,World Prehistory,3.,Lecture 3.,,,,,"An introduction to archaeological sites from around the world including the Near East, Africa, Europe, Mesoamerica, and North and South America. Emphasis is on the interpretation of material cultural remains in reconstructing past societies. ANTHR 2020 recommended.",Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3220,Peoples and Cultures of Native North America,3.,Lecture 3.,,,,ANTHR 2010 or AMIN 2100,"Origin, distribution, and pre-contact life of the indigenous peoples of North America. Survey of culture areas; language families, social and political systems, ecological and economic adaptations, religion and spirituality; impact of European contact; cultural resilience and revitalization in contemporary American Indian life. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3230A,Latin American Anthropology: Violence and Memory,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3230B,Latin American Anthropology: Social movements and Democracy,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3230C,"Latin American Anthropology: Race, Class and Gender",3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3230D,Latin American Anthropology: Regional Focus,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3230E,Latin American Anthropology: Culture and Sport,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3240,Health and Native American Communities,3.,Lecture 3.,,,,ENGL 2500,"Overview of historic and contemporary health and health care in Native Communities. Indian Health Service and specific regulations. Consideration of both cultural and scientific approaches to medicine. Specific health issues (e.g., diabetes, alcoholism, depression, etc.) in American Indian communities. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/anthr/
ANTHR,3280,Archaeological Discovery and Analysis,3.,,,,True,ANTHR 3080,"Identification, analysis, and interpretation of animal bones recovered from archaeological sites, emphasizing taphonomy, paleoecology, and faunal exploitation.",Spring,https://catalog.iastate.edu/azcourses/anthr/
