subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ARABC,1010,Elementary Arabic I,4.,Lecture 5.,,,,,"Beginning level development of reading, writing, listening comprehension, and speaking in Arabic, within the context of Arabic culture. Attention to the use of the Arabic alphabet.",Fall,https://catalog.iastate.edu/azcourses/arabc/
ARABC,1020,Elementary Arabic II,4.,Lecture 5.,,,,ARABC 1010 or placement by department exam,"Continuation of ARABC 1010 . Beginning level development of reading, writing, listening comprehension, and speaking in Arabic, within the context of Arabic culture. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/arabc/
ARABC,1950,Study Abroad,1-30.,,,,,,"Supervised instruction in Arabic language and culture, formal class instruction at level appropriate to student's training, augmented by practical living experience. Taught in Arabic.",Summer,https://catalog.iastate.edu/azcourses/arabc/
ARABC,2010,Intermediate Arabic I,4.,Lecture 4.,,,,ARABC 1020 or placement by department exam,"Intermediate level development of reading, writing, listening comprehension, and speaking in Arabic, within the context of Arabic culture. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/arabc/
ARABC,2020,Intermediate Arabic II,4.,Lecture 4.,,,,ARABC 2010 or placement by department exam,"Continuation of ARABC 2010 . Intermediate level development of reading, writing, listening comprehension, and speaking in Arabic, within the context of Arabic culture. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/arabc/
ARABC,2950,Study Abroad,1-30.,,,,,ARABC 1020,"Supervised instruction in Arabic language and culture, formal class instruction at level appropriate to student's training, augmented by practical living experience. Taught in Arabic.",Summer,https://catalog.iastate.edu/azcourses/arabc/
ARABC,3200X,Taste of the Middle East and North Africa,3.,Lecture 3.,,,,,"Exploration of Middle Eastern and North African food cultures through historical, religious, and social lenses. Students will engage in discussions, presentations, and cooking demonstrations and tastings. Taught in English. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/arabc/
ARABC,3710,The Arabian Nights,3.,Lecture 3.,,,,,"Focus on the tales of the famous ‘1001 Arabian Nights’ book. Discussions of the narrative tools, supernatural elements, and the culture of the Medieval Middle East. Readings, discussions, and papers in English. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/arabc/
ARABC,3750,Arab Culture,3.,Lecture 3.,,,,,"Survey of contemporary Arab culture in the Middle East and North Africa as reflected in history, language, the arts, and social institutions with attention to the Arab Diaspora. Taught in English. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/arabc/
ARABC,4900,Independent Study,1-6.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/arabc/
