subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ARCH,2010,Architectural Design I,6.,"Lecture 1, Studio 12.",,,,Admission into the Professional program in Architecture,"Introduction to architectural design including design process, drawing conventions, methods of design analysis, and model making using both analog and digital tools. Studio projects focus on formal and volumetric principles of pattern and composition, investigations of site conditions, and understanding of scale. Field trips to relevant architectural sites.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,2010H,Architectural Design I: Honors,6-7.,"Studio 13.5, Lecture 1.5.",,,,Admission into the Professional program in Architecture; Membership in the University Honors Program,"Introduction to architectural design including design process, drawing conventions, methods of design analysis, and model making using both analog and digital tools. Studio projects focus on formal and volumetric principles of pattern and composition, investigations of site conditions, and understanding of scale. Field trips to relevant architectural sites.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,2020,Architectural Design II,6.,"Lecture 1, Studio 12.",,,,,"Continuation of fundamental architectural design exploration. Studio projects focus on the generation of ideas based on experience and systematic analysis of tectonics. Emphasis on design development through detail, materiality, and spatial relationships. Students work in groups and individually. Representational methods expand on architectural conventions through experimentation. Field trips to relevant architectural sites.",Spring,https://catalog.iastate.edu/azcourses/arch/
ARCH,2020H,Architectural Design II: Honors,6-7.,"Lecture 1, Studio 12.",,,,Membership in the University Honors Program,"Continuation of fundamental architectural design exploration. Studio projects focus on the generation of ideas based on experience and systematic analysis of tectonics. Emphasis on design development through detail, materiality, and spatial relationships. Students work in groups and individually. Representational methods expand on architectural conventions through experimentation. Field trips to relevant architectural sites.",Spring,https://catalog.iastate.edu/azcourses/arch/
ARCH,2200,Contemporary Architecture,3.,Lecture 3.,,,,,"Survey of global architectural ideas and practices from 1990 to the present. Emphasis will be given to recent movements and architectural manifestations, as well as close examinations of socio-cultural conditions for contemporary practice.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,2210,Histories and Theories of Architecture to 1750,3.,Lecture 3.,,,,,"Survey of architectural ideas, theories, and practices before 1750. Emphasis on the mutually formative relationship between architecture and the social, cultural, economic, and political forces, nationally and globally, in which it is produced.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,2300,Design Communications I,3.,"Lecture 2, Studio 2.",,,,Admission into the Professional program in Architecture,Investigations of various design media and their applications to design. Exercises to develop representational skills and perceptual sensitivity.,Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,2310,Advanced Design Representation,3.,"Studio 2, Lecture 2.",,,,"ARCH 2300 ; Junior, Senior or graduate standing","Advanced investigations of various design media and their applications to design. Emphasis on careful consideration of media, mixed-media strategies and development of craft. Offered irregularly.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,3010,Architectural Design III,6.,"Lecture 1, Studio 12.",,,,ARCH 2020,"Consideration of landscape as a constructed, cultural artifact. Projects address the perceptual aspects and strategies of situation and location; examination of environmental phenomena and patterns of use and settlement as revealed and affected by the architectural artifact. Development of a critical design process is stressed.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,3010H,Architectural Design III: Honors,6-7.,"Studio 13.5, Lecture 1.5.",,,,ARCH 2020 ; Membership in the University Honors Program,"Consideration of landscape as a constructed, cultural artifact. Projects address the perceptual aspects and strategies of situation and location; examination of environmental phenomena and patterns of use and settlement as revealed and affected by the architectural artifact. Development of a critical design process is stressed.",Fall,https://catalog.iastate.edu/azcourses/arch/
ARCH,3020,Architectural Design IV,6.,"Lecture 1, Studio 12.",,,,Minimum grade of C in ARCH 3010,"Design for housing in an urban context that demonstrates a synthetic understanding of diverse scales of use and occupation as shaped by user requirements, site conditions, and principles for inclusive design. Consideration of regulatory requirements and measurable environmental impacts of the proposal on its site.",Spring,https://catalog.iastate.edu/azcourses/arch/
ARCH,3020H,Architectural Design IV: Honors,6-7.,"Lecture 1, Studio 12.",,,,Minimum grade of C in ARCH 3010 ; Membership in the University Honors Program,"Design for housing in an urban context that demonstrates a synthetic understanding of diverse scales of use and occupation as shaped by user requirements, site conditions, and principles for inclusive design. Consideration of regulatory requirements and measurable environmental impacts of the proposal on its site.",Spring,https://catalog.iastate.edu/azcourses/arch/
ARCH,3210,History of the American City,3.,Lecture 3.,,,,Sophomore classification,"Study of the development of the built environment and urban condition in the United States from the colonial period to today. Primary attention is given to urban spatial organization, built form, technological change, regulatory and funding patterns, and social categories such as class, race, and gender. Credit counts toward fulfillment of History, Theory, Culture requirements. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/arch/
ARCH,3220,Histories and Theories of Architecture after 1750,3.,Lecture 3.,,,,Sophomore classification,"Survey of architectural ideas, theories and practices from 1750 to 1990. Emphasis on the mutually formative relationship between architecture and the social, cultural, economic, and political forces, nationally and globally, in which it is produced.",Spring,https://catalog.iastate.edu/azcourses/arch/
