subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ART,1700,Exploring the Visual Arts,3.,Lecture 3.,,,,,"Visual arts and how it relates to individuals, their community, and the importance in a cultural and global context. Understand vocabulary of the visual arts, and develop strategies for observation and critical thinking through assignments including reflective writing and observational analysis on various works of art. Engage with various visual art topics and disciplines such as: defining what art is, learning about types of art and its use and meaning of materials, how art plays a role in the expression of humanity, and how personal awareness and perspective can benefit from the engagement of art. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2010,Creative Visual Thinking,3.,,,,,,"Exploration of the nature of visual perception in relation to issues of visual communication, problem solving, envisioning information, and visual thinking. Studio assignments to be digitized and sent to instructor electronically for evaluation and critique.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2020,Studio Fundamentals: Wood,2.,Studio 7.,,,,,"Half-semester course. Introduction to wood's physical properties, its potential as an expressive medium, and basic woodworking tools and techniques.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2030,Studio Fundamentals: Jewelry/Metalsmithing,2.,Studio 4.,,,,,"Half semester course. Introduction to basic jewelry/metals design and fabrication. Forming, texturing, and joining techniques (soldering/riveting) will be explored and applied to two projects.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2040,Studio Fundamentals: Ceramics,2.,Studio 7.,,,,,"Half-semester course introducing ceramic techniques including hand-building, high fire and low fire glaze applications and expressive approaches that will be applied to two projects. The emphasis is on creative communication through ceramics.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2060,Studio Fundamentals: Printmaking,2.,Studio 4.,,,,Sophomore classification,"Introduction to relief, monoprint, intaglio, lithography, and screen printing as methods for visual communication and expression.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2080,Color,2.,Studio 8.,,,,Sophomore classification,Half-semester course. Introduction to color theory and color systems using various media for visual communication and creative expression.,"Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2100,Studio Fundamentals: Photo,2.,Studio 4.,,,,Sophomore classification,Introduction to film camera operation and traditional black and white darkroom methods for visual communication and creative expression. Film cameras required for class but may be checked out for short periods during semester.,"Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2120,Studio Fundamentals: Digital Media,3.,Studio 6.,,,,Sophomore classification,"Introduction to digital media tools and concepts and digital fabrication processes to create two dimensional, three dimensional, and time-based artworks. Students will be introduced to major digital art and design software packages.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2130,Studio Fundamentals: Painting,2.,Studio 4.,,,,Sophomore classification,"Half-semester course. Introduction to preparation of painting grounds, color mixing, manipulation of paint and pictorial space as methods for visual communication and expression.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2140,Studio Fundamentals: Textiles,2.,Studio 4.,,,,Sophomore classification,Half semester course. Introduction to two-dimensional and three-dimensional textile techniques used for visual communication and expression.,"Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2270,Introduction to Creative Digital Photography,3.,Studio 6.,,,,,"The functions and operations of the digital camera, scanning and other image input devices, digital image manipulation, software usage and support, color management and printing, presentation of images, compositional dynamics and the development of 'seeing' as a medium of design, expression, and communication. Students should have access to a good or high quality digital camera with the ability to separately adjust shutter speed, f/stop and exposure, a laptop with updated Adobe Photoshop software, and enough digital storage for all class assignments.",,https://catalog.iastate.edu/azcourses/art/
ART,2270H,Introduction to Creative Digital Photography: Honors,3-4.,Studio 6.,,,,Membership in the University Honors Program,"The functions and operations of the digital camera, scanning and other image input devices, digital image manipulation, software usage and support, color management and printing, presentation of images, compositional dynamics and the development of 'seeing' as a medium of design, expression, and communication. Students should have access to a good or high quality digital camera with the ability to separately adjust shutter speed, f/stop and exposure, a laptop with updated Adobe Photoshop software, and enough digital storage for all class assignments.",,https://catalog.iastate.edu/azcourses/art/
ART,2300,Drawing II,3.,Studio 6.,,,,"DSNS 1020 , DSNS 1310 , and DSNS 1830",A continuation of DSNS 1310 . Further development of perceptual drawing skills from a variety of subject matter. Continued practice with drawing materials and techniques with emphasis on tonal and color media.,"Fall, Spring",https://catalog.iastate.edu/azcourses/art/
ART,2330,Watercolor Painting,3.,Studio 6.,,,True,,"Fundamentals of painting using water-based media applied to observation-based painting. Subject matter may include working from actual or two-dimensional references of still life, landscape, architectural space, and the human form.","Fall, Spring",https://catalog.iastate.edu/azcourses/art/
