subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ARTGR,2700,Graphic Design Studio I,3.,Studio 6.,,,,Acceptance into ARTGR major; DSNS 1020 ; DSNS 1310,Introduction to the fundamental skills required in the graphic design profession.,Fall,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2710,Graphic Design Studio II,3.,Studio 6.,,,,Enrollment in ARTGR major; ARTGR 2700,"Reinforces and further explores the fundamental skills, principles, and tools required for effective visual communication.",Spring,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2720,Digital Photography for Graphic Design,3.,Studio 6.,,,,Enrollment in ARTGR major; concurrent enrollment in ARTGR 2700 or ARTGR 2710,"This course will address the development of 'seeing' as a medium design, expression, and visual communication including compositional dynamics, advanced digital image manipulation, software usage and support, digital camera operations along with scanning and other digital input devices, color management, digital format for presentation and printing with digital ready formats.","Fall, Spring",https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2730,Typography I,3.,Studio 6.,,,,Credit or concurrent enrollment in ARTGR 2700,"Emphasizes foundational typographic principles from letterform construction to hierarchies of extended text, directed toward typographic vocabulary, and typographic organization. Students will also understand both classical and contemporary typographic forms, as well as having the ability to construct typographic compositions and systems.",Fall,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2740,Typography II,3.,Studio 6.,,,,Enrollment in ARTGR major; ARTGR 2730 ; concurrent enrollment in ARTGR 2710,"Advances the skills and principles learned in Graphic Design Typography I. Exploration of more complex problems that address typographic hierarchy, context, sequence and typography and image.",Spring,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2750,Graphic Technology I,3.,Studio 6.,,,,Graphic Design Major,Basic 2-dimensional computer skills for graphic design.,,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2760,Graphic Technology II,3.,Studio 6.,,,,Graphic Design Major,Basic 3-dimensional computer skills for graphic design.,Spring,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,2810,Visual Communication and Branding,3.,Lecture 3.,,,,Graphic Design Major,"Introduction to basic principles of visual communication that contribute to the successful comprehension of intended visual messages; these include promotional messages, such as corporate branding and marketing campaigns, as well as informational messages, such as those used in computer interface design or in the clear presentation of diagrammatic data. Emphasis is placed on sensitivity to the diversity of the intended American or global audience, and to the cross-cultural differences that may affect the ways that visual messages are interpreted. Methods for creating brand experiences are explored as they apply to both small and large enterprises, ranging from personal brand to corporate brand identities.",Fall,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3700,Graphic Design Studio III,3.,Studio 6.,,,,Graphic Design undergraduate major and ARTGR 2710 and ARTGR 2740,Creation and design of images and symbols for communication. Application and integration of typography with images and symbols.,Fall,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3710,Graphic Design Studio IV,3.,Studio 6.,,,,ARTGR 3700,"Development and preparation of design concepts for application to the printing and electronic publishing process. Creative problem-solving skills, introduction to systems design.",Spring,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3720,Graphic Materials and Processes,3.,Lecture 3.,,,,Graphic Design major and Junior classification or above,Introduction to the processes and materials involved in graphic design production. Course covers production ranging from pre-press to digital media.,,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3770,Graphic Design Internship Seminar,1.,Lecture 1.,,,,Graphic Design major and Junior classification or above,Professional preparation for graphic design internship.,,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3780,Critical Issues in Graphic Design,2.,Lecture 2.,,,,Enrollment in ARTGR major; credit or concurrent enrollment in ARTGR 3700,"Lecture, discussion and writing about the critical issues facing the communications field today and in the future.",,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3830,A Concise History of Graphics and Sports,3.,Lecture 3.,,,,Graphic Design Major,"This introduction to basic concepts of branding in design explores the processes of sports, graphics of sports, design criteria of sport objects, consumer trends, and social importance of sports will be discussed. This course takes a historical perspective of sport graphics and objects starting at the first known understanding of what could be considered 'Sport,' from ancient times to the present. Interpretation of sport graphics and sport objects. Measuring the sports impact and associated graphics with emotions; sounds that date the sport or strengthen our memories of them, photographs of objects and people from different periods, images of industrial, sport, agrarian and city landscapes to remind us of the dominant role played by sport/graphics or that sport object in the country of its origin.",Spring,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3870,Graphic Design History/Theory/ Criticism I,3.,Lecture 3.,,,,,"Late nineteenth century to the 1990s. This course will explore the cultural, social, political, industrial, and technological forces that have influenced the practice of graphic design in Britain, Europe, and the United States. Students will study the historical issues and problems facing designers, their clients, and their publics.",,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3880,Graphic Design History/Theory/ Criticism II,3.,Lecture 3.,,,,,"Critical issues that affect the contemporary practice of graphic design as it relates to the United States. Students will study a variety of issues that include, but are not exclusive to, new media, gender, class, design and the public sphere, design as social action, postmodern design theory, sustainability, and ethical practice.",,https://catalog.iastate.edu/azcourses/artgr/
ARTGR,3910,Graphic Design Field Study,1.,Lecture 1.,,,True,Graphic Design major and Junior classification or above,"Travel, study, and tours of areas of interest within the graphic design profession such as print production companies, design studios, and museums. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/artgr/
