subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ARTH,2370X,French and Francophone Animation,3.,Lecture 3.,,,,,Survey of French and Francophone cinematic animation and introduction to the principles of motion and French and Francophone decorative arts. Emphasis on interdisciplinary practices. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/art_h/
ARTH,2800,History of Art I,3.,Lecture 3.,,,,,"Development of the visual arts including painting, sculpture, architecture, and crafts, from the prehistoric through Gothic periods. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/art_h/
ARTH,2810,History of Art II,3.,Lecture 3.,,,,,"Development of the visual arts of western civilization including painting, sculpture, architecture, and crafts; from the Renaissance to the twentieth century. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/art_h/
ARTH,2810H,History of Art II: Honors,4.,"Lecture 3, Discussion 1.",,,,Membership in the University Honors Program,"Development of the visual arts of western civilization including painting, sculpture, architecture, and crafts; from the Renaissance to the twentieth century. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/art_h/
ARTH,2920,Introduction to Visual Culture Studies,3.,"Lecture 2, Discussion 1.",,,,,"An introduction to various topics in visual culture studies, including significant trends in the visual arts, mass media, scientific imagery, visual communications, and other areas related to visual literacy and visual representation in local and global contexts. Cross cultural viewpoints and issues of diversity will be presented in relation to visual culture.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,2930,Origins and Evolution of Modern Design,3.,Lecture 3.,,,,,"History of designed artifacts, their creators, and their cultural environments in Europe and America from the beginning of the Industrial Revolution to the present.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3500X,History of Photography 2,3.,Lecture 3.,,,,,"Survey of the evolution of photography from the early twentieth century to the present. Includes discussion of art photography, photojournalism, and vernacular photography.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3710X,"Chinese Calligraphy: History, Appreciation and Practice",3.,,,,,,"Chinese calligraphy is a unique form of visual art. Combining theoretical and experiential learning, this course offers a comprehensive introduction to Chinese calligraphy, including its history, theory and criticism, social functions, and cultural significance. It also provides students with opportunities to cultivate their artistic creativity and skills through hands-on practices. Taught in English, no knowledge of Chinese language required. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/art_h/
ARTH,3820,Art and Architecture of Asia,3.,Lecture 3.,,,,,"Introduction to histories of art and architecture in Asia before the modern era. Cultures may include China, Korea, Japan, and India. Art traditions of Asia are explored in relation to their cultural, historical, and religious contexts. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3830,Greek and Roman Art,3.,Lecture 3.,,,,,Greek art from Neolithic to Hellenistic periods. Roman art from the traditional founding to the end of the empire in the West.,,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3830H,Greek and Roman Art: Honors,3-4.,Lecture 3.,,,,Membership in the University Honors Program,Greek art from Neolithic to Hellenistic periods. Roman art from the traditional founding to the end of the empire in the West.,,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3840,Art of Islam,3.,Lecture 3.,,,,,"Historical survey of the painting, sculpture, crafts, and architecture of the various civilizations of the Islamic world. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3840H,Art of Islam: Honors,3-4.,Lecture 3.,,,,Membership in the University Honors Program,"Historical survey of the painting, sculpture, crafts, and architecture of the various civilizations of the Islamic world. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3850,Renaissance Art,3.,Lecture 3.,,,,,"Italian and Northern European art including painting, sculpture, architecture, and craft from 1300 to 1600. Emphasis on techniques and cultural contexts. Focus on circulation, exchange, and production of art in an age of global discovery and exploration.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3850H,Renaissance Art: Honors,3-4.,Lecture 3.,,,,Membership in the University Honors Program,"Italian and Northern European art including painting, sculpture, architecture, and craft from 1300 to 1600. Emphasis on techniques and cultural contexts. Focus on circulation, exchange, and production of art in an age of global discovery and exploration.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3860,American Art to 1945,3.,Lecture 3.,,,,,"Survey of American art from the early colonial period to 1945, with emphasis on historical and cultural issues that underlie art production in the United States. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3880,Modern Art and Theory,3.,Lecture 3.,,,,,"Visual arts and critical theory of the late 19th and early 20th centuries, including Expressionism, Cubism, Futurism, Suprematism, Dada, and Surrealism.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3950,Art and Theory Since 1945,3.,Lecture 3.,,,,,"Visual arts and critical theory after 1945, including Abstract Expressionism, Pop Art, and Performance Art. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,3960,History of Photography,3.,Lecture 3.,,,,,"Survey of the evolution of photography and photojournalism from the 1830s to the present, seen from an art historical perspective, emphasizing causative factors, cultural influences,and major masters and schools.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,4600,The World on Display,3.,Lecture 3.,,,,,"Survey of world's fairs and other international exhibitions, focusing on their displays of art, manufacturing, luxury goods and industrial products, and relating to overarching discourses of nationalism, colonialism, and political supremacy as they were articulated within the exhibitions.",,https://catalog.iastate.edu/azcourses/art_h/
ARTH,4860,Art History Field Study,Required.,,,,True,Concurrent Enrollment in an ARTH course; Permission of Instructor,"Study and tours of museums, galleries, artist and/or designer studios and other areas of interest within art history. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/art_h/
