subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ARTID,2500,Fundamentals of Interior Design,2.,Lecture 2.,,,,,"The profession, issues, and the role of interior design.",Fall,https://catalog.iastate.edu/azcourses/artid/
ARTID,2510,Human Factors in Interior Design,3.,Lecture 3.,,,,,"Overview of issues related to the human/built environment interface: introduction to health and safety factors, ergonomics, anthropometrics, sensory perception, psycho-behavioral response, physical performance, cultural factors and universal design. Emphasis on application of human factor methods to the analysis, solution, and evaluation of design problems.",Spring,https://catalog.iastate.edu/azcourses/artid/
ARTID,2550,Forces That Shape Interior Space,3.,Lecture 3.,,,,,"A survey of variables influencing the nature and function of 'interior' environments. Review of professional, geo-political, utilitarian, social-cultural, economic, humanistic, historical, technological, and other factors as generators of form and space.","Fall, Spring",https://catalog.iastate.edu/azcourses/artid/
ARTID,2610,Graphic Communication for Interior Design I,3.,Lecture 3.,,,,Admission to the Interior Design BFA and ARTID 2650,Introduction to fundamental graphic principles of communication that contribute to the successful comprehension of interior design visual presentation techniques.,Fall,https://catalog.iastate.edu/azcourses/artid/
ARTID,2630,Graphic Communication for Interior Design II,3.,Lecture 3.,,,,ARTID 2610 and Credit or concurrent enrollment in ARTID 2670,Computer visualization techniques and applications; projects employing computer graphic methods.,Spring,https://catalog.iastate.edu/azcourses/artid/
ARTID,2650,Interior Design Studio I,4.,"Lecture 1, Studio 6.",,,,Interior Design BFA students,"Introduction to technical drawing conventions, and design drawings. Emphasis on drawing layout, line quality, and lettering. Use of various rendering media and techniques on 2D and 3D drawing. Overview of presentation techniques, both visual and verbal. Enhanced creative interior design problem solving. Emphasis on research, spatial composition theories and graphic ideation and communication as applied to the interior design of small-scale environments. Modeling and manual visualization techniques.",Fall,https://catalog.iastate.edu/azcourses/artid/
ARTID,2670,Interior Design Studio II,4.,"Lecture 1, Studio 6.",,,,ARTID 2650,"Human factors issues including ergonomics, human behavior and the requirements of special groups. Color theories related to interior spaces. Residential interior design and medium scale projects. Detail drawings, and expansion of visualization techniques.",Spring,https://catalog.iastate.edu/azcourses/artid/
ARTID,3500,Interior Finish Materials,3.,Lecture 3.,,,,Admission to a College of Design program,"Exploration of concepts, materials, and assemblies associated with development of interior elements including floors, walls, ceiling, windows, and finishes. Fiber, plastic, sheet metal, and other surfacing materials. Attention to related human factors, testing, detailing, specifications writing and end-use application. To take this course, students must have drafting skills to complete scaled orthographic drawings.",Spring,https://catalog.iastate.edu/azcourses/artid/
ARTID,3510,Interior Regulations and Guidelines,3.,Lecture 3.,,,,ARTID 2670 OR Permission of Instructor,"Exploration of interior design concepts, materials, and assemblies as they contribute to the user, health, safety and general well-being. Wood, steel, masonry, and glass assemblies. Attention to related human factors, testing, codes, detailing, specifications writing and end-use application.",Fall,https://catalog.iastate.edu/azcourses/artid/
ARTID,3520,Interior Lighting & Building Systems,3.,Lecture 3.,,,,,"Exploration of concepts, materials, assemblies associated with building service systems. Overview of electrical, lighting, acoustical, mechanical, plumbing and other non-structural building features. Attention to related human factors, testing, codes, detailing, specifications writing and end-use application.",Spring,https://catalog.iastate.edu/azcourses/artid/
