subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ASTRO,1020,North Star Astronomy,1.,Lecture 1.,,,,,"An entirely web-based course covering topics in observing the sky and navigation by the stars for students with little or no previous experience. The course combines material on common naked-eye phenomena, such as daily and seasonal variations in the sky, with information on how these helped navigators determine where they are on Earth. The course ""lectures"" are on-line, interactive units with build in exercises, hands-on (offline) activities and layers of help. Graded homework and quizzes are administered via Canvas. Graduation Restriction: Students who take ASTRO 1200 may count credit in only one of ASTRO 1020 or 1030 toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/astro/
ASTRO,1030,Evening Star,1.,Lecture 1.,,,,,"An entirely web-based course covering topics in celestial mechanics (""Rocket science!"") for students with little or no previous experience. It combines the geography of the solar system with discussion of methods of traveling to the other planets. The course ""lectures"" are on-line, interactive units with built-in exercises, hands-on (offline) activities, and layers of help. Graded homework and quizzes are administered via Canvas. Graduation Restriction: Students who take ASTRO 1200 may count credit in only one of ASTRO 1020 or 1030 toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/astro/
ASTRO,1200,The Sky and the Solar System,3.,"Lecture 2, Discussion 1.",,,,,"For the nonscientist. A survey of our view of the universe, and the exploration of the solar system and beyond. The sky: constellations; motions of the Sun, Moon, and planets; seasons and the calendar; eclipses. The solar system: origin and evolution; characteristics of the Sun, planets, satellites, comets, meteorites, and asteroids. The detection and characterization of other solar systems, and the search for life in the universe. Extensive use of the planetarium is included.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/astro/
ASTRO,1500,"Stars, Galaxies, and Cosmology",3.,,,,,,"For the nonscientist. A survey of astronomy with a focus on the universe beyond our solar system. Basic observational astronomy and the history of astronomy. Stellar astronomy: motions, distances, sizes, spectra; types of stars; variability; binary systems. Stellar evolution: the birth, life, and death of stars, including supernovae, neutron stars, and black holes. The structure and evolution of the Milky Way Galaxy. Other galaxies, clusters of galaxies, quasars. Theories of the origin of the universe.","Fall, Spring",https://catalog.iastate.edu/azcourses/astro/
ASTRO,2500,Astronomy Bizarre,3.,Lecture 3.,,,,ASTRO 1200 or ASTRO 1500,"For the nonscientist. A small enrollment course examining new and exciting topics in modern astronomy. Galaxy and star formation. Black holes and pulsars. Colliding galaxies. Quasars. Dark Matter. Dark energy. Quasars. Cosmology, the Big Bang and the future of the universe. Prospects and searches for extraterrestrial life.",Spring,https://catalog.iastate.edu/azcourses/astro/
ASTRO,2900,Independent Study,1-4.,,,,True,Instructor Permission for Course,Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/astro/
ASTRO,3420,Introduction to Solar System Astronomy,3.,Lecture 3.,,,,( PHYS 2320 and PHYS 2320L ) or PHYS 2420,"An introduction to the physics of the Solar System and the planetary systems discovered around other stars. General characteristics of planetary systems: dynamics, thermodynamics, internal and surface structure of planets and minor bodies, physics of their atmosphere. Discovery techniques and characterization of extrasolar planets, and planetary systems formation models. 'Grand tour' of the Solar System, using data and imagery from probes and telescopes that have visited these worlds. The origin and evolution of life on Earth, and the ongoing search for life in the Solar System and elsewhere in the universe.",Fall,https://catalog.iastate.edu/azcourses/astro/
ASTRO,3440L,Astronomy Laboratory,3.,"Lecture 1, Laboratory 6.",,,,( PHYS 2320 and PHYS 2320L ) or PHYS 2420,"Experiments in optical astronomy. Observational techniques, ranging from stellar photometry to CCD imaging. Data processing and analysis techniques. Astronomical software packages and online databases and resources. Available instruments include a variety of small telescopes and astronomical CCD cameras.",Fall,https://catalog.iastate.edu/azcourses/astro/
ASTRO,3460,Introduction to Astrophysics,3.,Lecture 3.,,,,( PHYS 2320 and PHYS 2320L ) or PHYS 2420,"An exploration of the universe beyond our Solar System, with emphasis on the astrophysics of stars and galaxies. Observable properties of stars, physics of stellar atmospheres and interiors. Birth, evolution and death of stars, to understand the past and future of our Sun, the Milky Way galaxy and the other galaxies in the universe. Basic concepts of cosmology, dark matter and dark energy. Use of computer models to calculate the structure and evolution of stars and protostars, and to analyze actual astronomical data obtained by professional astronomers.",Spring,https://catalog.iastate.edu/azcourses/astro/
ASTRO,4050,Astrophysical Cosmology,3.,Lecture 3.,,,,,"Introduction to modern cosmology and large-scale structure; mathematical and observational fundamentals associated with the origin, structure, and evolution of the Universe. Scale of the Universe, Hubble's Law, the cosmic microwave background, Big Bang nucleosynthesis, the origin of elements, dark energy and the accelerating universe, and dark matter. For senior undergraduates and graduate students in all areas of physics. Previous coursework equivalent to ASTRO 3460 (Introduction to Astrophysics) is necessary for success in this course.",Spring,https://catalog.iastate.edu/azcourses/astro/
ASTRO,4500,Undergraduate Research,1-6.,,,,True,Instructor Permission for Course,Research under supervision of astronomy faculty. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/astro/
ASTRO,4500L,Undergraduate Research,1-6.,,,,True,ASTRO 3440L and permission of instructor,Laboratory or observational project under supervision of astronomy faculty. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/astro/
ASTRO,4900,Independent Study,1-4.,,,,True,6 credits ASTRO; permission of instructor,Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/astro/
ASTRO,4900H,Independent Study: Honors,1-4.,,,,True,6 credits ASTRO; Permission of Instructor; Membership in the University Honors Program,Graduation Restriction: No more than 9 credits of ASTRO 4900 may be counted toward graduation. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/astro/
ASTRO,5050,Astrophysical Cosmology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to modern cosmology and large-scale structure; mathematical and observational fundamentals associated with the origin, structure, and evolution of the Universe. Scale of the Universe, Hubble's Law, the cosmic microwave background, Big Bang nucleosynthesis, the origin of elements, dark energy and the accelerating universe, and dark matter. For senior undergraduates and graduate students in all areas of physics. Previous coursework equivalent to ASTRO 3460 (Introduction to Astrophysics) is necessary for success in this course.",Spring,https://catalog.iastate.edu/azcourses/astro/
ASTRO,5100,Observational Astrophysics,3.,"Lecture 2, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,"Techniques in optical and near-IR astronomy, including spectroscopy and CCD photometry. Emphasis on projects involving proficiency in the use of research telescopes and modern instrumentation. Project topics range from photometric studies of pulsating and binary star systems to deep CCD imaging of faint nebulae and galaxies. Offered irregularly. Previous coursework equivalent to ASTRO 4050 or ASTRO 5050 (Astrophysical Cosmology) is necessary for success in this course.","Fall, Spring",https://catalog.iastate.edu/azcourses/astro/
ASTRO,5800,Stellar Astrophysics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The interior structure and atmospheric properties of stars: Stellar structure equations and constitutive relations: energy generation, energy transport by radiation and convection; equation of state, nuclear energy generation and nucleosynthesis. Numerical and analytic solutions to the equations of structure and evolution. Observational connections through the theory of radiative transfer. Line and continuum processes and sources of opacity. Non-LTE and statistical equilibrium. Line profiles. Interpretation of stellar spectra: temperature, pressure, and abundance determinations. Stellar evolution from formation to final phases. Offered irregularly.","Fall, Spring",https://catalog.iastate.edu/azcourses/astro/
