subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ATH,1010B,Intercollegiate Athletics: Basketball (men),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010C,Intercollegiate Athletics: Basketball (women),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010D,Intercollegiate Athletics: Cross Country (men),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010E,Intercollegiate Athletics: Cross Country (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010F,Intercollegiate Athletics: Football (men),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010G,Intercollegiate Athletics: Golf (men),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010J,Intercollegiate Athletics: Gymnastics (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010K,Intercollegiate Athletics: Softball (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010M,Intercollegiate Athletics: Swimming/Diving (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010O,Intercollegiate Athletics: Tennis (women),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010P,Intercollegiate Athletics: Track and Field (men),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010Q,Intercollegiate Athletics: Track and Field (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010R,Intercollegiate Athletics: Volleyball (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010S,Intercollegiate Athletics: Wrestling (men),1.,Laboratory 15.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010T,Intercollegiate Athletics: Golf (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
ATH,1010U,Intercollegiate Athletics: Soccer (women),1.,Laboratory 13.,,,True,Athletic Team Coach Permission for Course,Limited to a maximum of 4. Graduation Restriction: Credit for a sport section of ATH 1010 may not be applied toward graduation if credit is also received for KIN 1660 or any skill technique course in the same sport. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ath/
