subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ATR,2170,Clinical Practicum in Athletic Training I,1.,,,,,ATR 2210 ; Permission of Athletic Training Program Director,Athletic training clinical experiences for pre-athletic training students. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/a_tr/
ATR,2180,Orientation to Athletic Training Clinical Experience,0.5.,Laboratory 2.,,,True,Pre-ATR Undergraduate Student,Pre-athletic training clinical experience designed to orientate students to the athletic training profession prior to enrolling in athletic training course sequence. Students will observe athletic trainers in various athletic training clinical sites. Open to pre-athletic training students only. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/a_tr/
ATR,2190,Anatomy Clinical Practicum,1.,Laboratory 2.,,,,,"Athletic training clinical experiences designed to review human anatomical structures including origin, insertion, action, innervations of muscles. Students will gain experience with palpation of these structures to help identify location of anatomical landmarks. Students will also gain experience identifying bones, ligaments, and tendons. Open to athletic training students only.",Spring,https://catalog.iastate.edu/azcourses/a_tr/
ATR,2200,Basic Athletic Training,2.,"Lecture 1, Laboratory 2.",,,,BIOL 1550 or ( BIOL 2550 and BIOL 2560 ),"Introduction to methods of prevention and immediate care of athletic injuries. Basic information concerning health supervision of athletes, and some basic wrapping and strapping techniques for common injuries.",,https://catalog.iastate.edu/azcourses/a_tr/
ATR,2210,Pre-Athletic Training Clinical Practicum,1.,Laboratory 3.,,,,,"Athletic training clinical observation experiences to accompany ATR 2200 . Utilize knowledge to evaluate, analyze and demonstrate appropriate taping, wrapping and basic skill techniques. Open to students interested in the athletic training option. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/a_tr/
ATR,2230,Preseason Clinical Experience Practicum,1.,Laboratory 3.,,,,Permission of Clinical Coordinator,"Athletic training clinical experiences for athletic training students during pre-season intercollegiate football. Clinical experiences include: Emergency care, splinting and spinal immobilization, medical record keeping and HIPPA regulations, environmental conditions, prevention of injury screening strategies, athletic training room and education program policies and procedures, review of athletic taping techniques, acute injury management, and anatomy review. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/a_tr/
ATR,2280,Basic Orthopedic Assessment and Evaluation Principles,2.,,,,,ATR 2190,"Assessment procedures and evaluation techniques for upper and lower body orthopedic conditions and injuries. Includes an overview of mechanisms of injury, general musculoskeletal disorders, spine or neurological dysfunction.",Fall,https://catalog.iastate.edu/azcourses/a_tr/
ATR,2290,Clinical Practicum in Athletic Training II,1.,,,,,Credit or concurrent enrollment in ATR 2280,Pre-Athletic training clinical experiences designed to orientate students to the assessment and evaluation principles of upper and lower body orthopedic conditions and injuries. Pre-athletic training students will observe athletic trainers in various athletic training clinical sites. Concurrent enrollment in ATR 2280 . Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/a_tr/
ATR,3280,Athletic Injuries Clinical Practicum,1.,Laboratory 2.,,,,ATR 2290,"Athletic training clinical experiences for pre-athletic training students. Clinical experiences include: prevention of injury screening strategies, athletic training room and education program policies and procedures, review of athletic taping techniques, acute injury management, and anatomy review. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/a_tr/
ATR,5010,"Bracing, Wrapping, and Taping Techniques",1.,Laboratory 3.,,,,Admission to graduate program in Athletic Training,"Methods to select, fabricate, and/or customize prophylactic, assistive, and restrictive devices, material, and techniques into plan of care (durable medical equipment, orthotic devices, taping, bracing, splinting, protective padding, and casting). Methods of taping and wrapping for injury care, mitigation of injury, and return to play. Exposure to different brands of bracing, how to fit a brace, and their use as well as casting techniques. Discussions of when to refer for prosthetics and overview of gait training.",,https://catalog.iastate.edu/azcourses/a_tr/
ATR,5020,Emergency Care Procedures in Athletic Training,3.,Lecture 3.,,,,Admission to graduate program in Athletic Training,"Overview of medical emergencies and other critical incidents that may occur. Evaluate and manage patients with acute conditions including triaging conditions and internal/external hemorrhage. Cardiac, respiratory, and cervical spine compromise. Conditions related to environment, fractures, dislocations, and wound care and closure. Concussion/brain injury with consideration of established protocols including: comprehensive examination, recognition, and treatment, implementation of a plan of care, referral, and return to participation.",Summer,https://catalog.iastate.edu/azcourses/a_tr/
ATR,5050,Therapeutic Modalities and Clinical Interventions,3.,"Lecture 2, Laboratory 2.",,,,"ATR 5020 , ATR 5200 , acceptance into Athletic Training program","Knowledge and skills to utilize a variety of therapeutic modalities. Detailed understanding of the psychological and physiological process of pain, healing and a problem-based approach to apply theories, principles, and techniques of thermal, electrical, mechanical, light, and alternative therapies (laser, cryotherapy). Incorporation interventions (for pre-, post-, and non-surgical conditions) designed to address a patients' identified impairments, activity limitations, injuries, and participation restrictions. Home care to include self-treatment, soft tissue techniques.",Fall,https://catalog.iastate.edu/azcourses/a_tr/
ATR,5090,Athletic Training Clinical Education I,1.,,,,,Acceptance into Athletic Training program,"Clinical experiences under the direct supervision of a clinical preceptor. Techniques and clinical skills provided in both the clinical and classroom settings including: Special Olympics, emergency department rotation, environmental conditions, off season practice and conditioning sessions, biometrics/physiological monitoring systems and translation of data into effective preventative measures, clinical interventions, and performance enhancement.",Summer,https://catalog.iastate.edu/azcourses/a_tr/
