subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BCB,4900,Independent Study,1-5.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcb/
BCB,5230,Mathematical Modeling in Biology,3.,Lecture 3.,,,,MATH 2660 or MATH 2670 or Graduate Classification,"Introduction to mathematical techniques for modeling and simulation, parameter identification, and analysis of biological systems. Applications drawn from many branches of biology and medicine. Apply differential equations, difference equations, and dynamical systems theory to a wide array of biological problems. MATH 2650 or equivalent recommended.",Fall,https://catalog.iastate.edu/azcourses/bcb/
BCB,5440,Fundamentals of Bioinformatics,4.,"Lecture 3, Laboratory 2.",,,,Graduate Standing or Permission of Instructor,"A practical, hands-on overview of how to apply bioinformatics to biological research. Recommended for biologists desiring to gain computational molecular biology skills. Topics include: sequence analysis, genomics, proteomics, phylogenetic analyses, ontology enrichment, systems biology, data visualization and emergent technologies. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/bcb/
BCB,5460,Computational Skills for Biological Data,3.,"Lecture 1, Discussion 2.",,,,Graduate Standing or Permission of Instructor,"Computational skills necessary for biologists working with big data sets. UNIX commands, scripting in R and Python, version control using Git and GitHub, and use of high performance computing clusters. Combination of lectures and computational exercises.",Fall,https://catalog.iastate.edu/azcourses/bcb/
BCB,5670,Bioinformatics Algorithms,3.,Lecture 3.,,,,Graduate Standing; ( COMS 5010X OR COMS 2280 OR COMS 2300 OR Instructor Permission),Biology as an information science. A review of the algorithmic principles that are driving the advances in bioinformatics and computational biology.,,https://catalog.iastate.edu/azcourses/bcb/
BCB,5680,Statistical Bioinformatics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Statistical models for sequence data, including applications in genome annotation, motif discovery, variant discovery, molecular phylogeny, gene expression analysis, and metagenomics. Statistical topics include model building, inference, hypothesis testing, and simple experimental design, including for big data/complex models.",Spring,https://catalog.iastate.edu/azcourses/bcb/
BCB,5690,Structural Bioinformatics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Molecular structures including genes and gene products: protein, DNA and RNA structure. Structure determination methods, structural refinement, structure representation, comparison of structures, visualization, and modeling. Molecular and cellular structure from imaging. Analysis and prediction of protein secondary, tertiary, and higher order structure, disorder, protein-protein and protein-nucleic acid interactions, protein localization and function, bridging between molecular and cellular structures. Molecular evolution.",Fall,https://catalog.iastate.edu/azcourses/bcb/
BCB,5700,Systems Biology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Algorithmic and statistical approaches in computational functional genomics and systems biology. Analysis of high throughput biological data obtained using system-wide measurements. Topological analysis, module discovery, and comparative analysis of gene and protein networks. Modeling, analysis, and inference of transcriptional regulatory networks, protein-protein interaction networks, and metabolic networks. Dynamic systems and whole-cell models. Ontology-driven, network based, and probabilistic approaches to information integration.",Spring,https://catalog.iastate.edu/azcourses/bcb/
BCB,5850,Fundamentals of Predictive Plant Phenomics,4.,"Lecture 3, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,"Principles of engineering, data analysis, and plant sciences and their interplay applied to predictive plant phenomics. Transport phenomena, sensor design, image analysis, graph models, network data analysis, fundamentals of genomics and phenomics. Multidisciplinary laboratory exercises.",Fall,https://catalog.iastate.edu/azcourses/bcb/
BCB,5900,Special Topics,1-30.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/bcb/
BCB,5920,Workshop in Bioinformatics and Computational Biology,1.,Lecture 1.,,,True,Graduate Standing or Permission of Instructor,"Workshop to prepare for careers in science with professional development, including a survey of science careers using MyIDP, a career development tool. Topics include navigating career paths, internships, application portfolios, and appropriate use of social media. Emphasis on CV preparation, cover letters, job interviews, and elevator talks. Students will prepare, and evaluate grant proposals.",Fall,https://catalog.iastate.edu/azcourses/bcb/
BCB,5980,Cooperative Education,Required.,,,,True,Graduate Standing or Permission of Instructor,Off-campus work periods for graduate students in the field of bioinformatics and computational biology.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcb/
BCB,5990,Creative Component,1-30.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/bcb/
BCB,6600,Selected Topics in Bioinformatics and Computational Biology,1-4.,Lecture 4.,,,True,,"Topics of interest in the major research areas of computational molecular biology, including genomics, structural genomics, functional genomics, and computational systems biology.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcb/
BCB,6900,Student Seminar in Bioinformatics and Computational Biology,1.,Lecture 1.,,,True,,Student research presentations.,Spring,https://catalog.iastate.edu/azcourses/bcb/
BCB,6910,Faculty Seminar in Bioinformatics and Computational Biology,1.,Lecture 1.,,,True,,Faculty research series.,,https://catalog.iastate.edu/azcourses/bcb/
BCB,6930,Entrepreneurship for Graduate Students in Science and Engineering,1.,Lecture 3.,,,True,,"Understanding key topics of starting a technology based company, from development of technology-led idea to early-stage entrepreneurial business. Concepts discussed include: entrepreneurship basics, starting a business, funding your business, protecting your technology/business IP. Subject matter experts and successful, technology-based entrepreneurs will provide real world examples from their experience with entrepreneurship. Learn about the world class entrepreneurship ecosystem at ISU and Central Iowa. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/bcb/
BCB,6970,Graduate Research Rotation,1-30.,,,,True,,Graduate research projects performed under the supervision of selected faculty members in the Bioinformatics and Computational Biology major.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcb/
BCB,6990,Research,1-30.,,,,True,Department Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcb/
