subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BIOL,1010,Introductory Biology,3.,Lecture 3.,,,,,"Life considered at cellular, organism, and population levels. Function and diversity of the living world. Presentation of basic biological principles as well as topics and issues of current human interest. Graduation Restriction: BIOL 1010 does not satisfy biology major requirements.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/biol/
BIOL,1100,Biology Major Orientation,1.,"Lecture 0.5, Discussion 0.5.",,,,,"Student orientation to the Biology program. Introduction to degree requirements, university policies and deadlines, campus resources, academic success strategies, degree planning, and registration procedures. Community building through the Biology Education Success Teams Learning Community. Required for first-year direct from high school Biology majors. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/biol/
BIOL,1110,Opportunities in Biology,0.5.,Lecture 1.,,,,,"Orientation to opportunities in Biology. Introduction to biological science disciplines, career awareness, and professional development opportunities. Required for first-year direct from high school Biology majors. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,1120,Transfer Student Orientation,1.,Lecture 1.,,,,,"Orientation to the Biology major for students transferring from other academic institutions. Reviews university resources, academic success strategies, degree requirements, opportunities for campus involvement, and professional development. Required for all new transfer students and recommended for major changes. Online with on-campus activities. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,1130X,Exploring Possibilities in Life Sciences,1.,Lecture 1.,,,,,Seminar focusing on introducing students to life science fields and careers. Explores interdisciplinary career paths and guidance on strategies for success in achieving career goals. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,1140X,Experiential Learning and Explorations in Life Sciences,1.,,,,,,"A second year experiential learning course focused on careers in life science fields. Sections offer themed learning allowing students to choose an immersive experience in an area of interest. Sections utilize hands-on engagement, field trips to on- and off-campus locations, and small group discussions with speakers working in different life science careers. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/biol/
BIOL,1550,Human Biology,3.,Lecture 3.,,,,,"A survey course of human biology, including principal structures and functions of the body systems and the diseases and disorders associated with them. Designed to meet general education requirements in natural science. Not recommended for those seeking a career in the allied health professions or for students majoring in life science. Does not satisfy biology major requirements.","Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,1730,Environmental Biology,3.,Lecture 3.,,,,,"An introduction to the structure and function of natural systems at scales from the individual to the biosphere and the complex interactions between humans and their environment. Discussions of human population growth, biodiversity, sustainability, resource use, and pollution. Does not satisfy biology major requirements.","Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,2010,Introduction to Environmental Issues,2.,Lecture 2.,,,,,"Discussion of current and emerging environmental issues such as human population growth, energy use, loss of biodiversity, water resources, and climate change.",Fall,https://catalog.iastate.edu/azcourses/biol/
BIOL,2040,Biodiversity,2.,Lecture 4.,,,,,"Survey of the major groups of organisms and biological systems. Definition, measurements, and patterns of distribution of organisms. Sources of information about biodiversity. Does not satisfy biology major requirements. Half semester course. See list of life science courses (https://www.cals.iastate.edu/student-services/lifescience) for additional information.",Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,2110,Principles of Biology I,3.,Lecture 3.,,,,,"Introduction to the nature of life, including the diversity of microbial, plant, and animal life; the nature of heredity; evolution; and principles of ecology. Intended for life science majors.","Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,2110L,Principles of Biology Laboratory I,1.,Laboratory 3.,,,,Credit or enrollment in BIOL 2110,Laboratory to accompany 2110.,"Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,2120,Principles of Biology II,3.,Lecture 3.,,,,,"Introduction to the chemical, molecular, and cellular basis of life; form and function of microbial, plant, and animal life. Intended for life science majors. HS courses in biology and chemistry necessary. Credit or enrollment in CHEM 1630 or CHEM 1770 recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,2120L,Principles of Biology Laboratory II,1.,Laboratory 3.,,,,Credit or enrollment in BIOL 2120,Laboratory to accompany 2120.,"Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,2510,Biological Processes in the Environment,3.,Lecture 3.,,,,,"Principles of Biology from the level of macromolecules to the biosphere. Biological processes that affect environmental systems: including metabolism, energy pathways, biochemical reactions in cells, plant and microbial structure and function, element and water cycles.",Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,2550,Fundamentals of Human Anatomy,3.,Lecture 3.,,,,,"An introduction to human anatomy, beginning with cells and tissues, surveying all body systems, relating form to function. Systems covered include: integumentary, bones and joints, muscles, nervous, sensory, endocrine, circulatory, lymphatic, respiratory, digestive, urinary, and reproductive. Pre-Medical students should consider BIOL 3510 for their anatomy background. Does not satisfy biology major requirements. HS courses in biology and chemistry necessary. Credit or enrollment in BIOL 1010 recommended.",Fall,https://catalog.iastate.edu/azcourses/biol/
BIOL,2550L,Fundamentals of Human Anatomy Laboratory,1.,Laboratory 3.,,,,Credit or enrollment in BIOL 2550,Investigation of human anatomy using models and dissections of preserved organs and model mammals. Pre-Medical students should consider 3510 for their anatomy background. Does not satisfy biology major requirements.,Fall,https://catalog.iastate.edu/azcourses/biol/
BIOL,2560,Fundamentals of Human Physiology,3.,Lecture 3.,,,,,"An introduction to human physiology, studying the function of all body systems. Systems covered include: integumentary, bones and joints, muscles, nervous, sensory, endocrine, circulatory, lymphatic and immune, respiratory, digestive, urinary, and reproductive. Does not satisfy biology major requirements. HS courses in biology and chemistry necessary. Credit or enrollment in BIOL 1010 or BIOL 2550 recommended.",Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,2560L,Fundamentals of Human Physiology Laboratory,1.,Laboratory 3.,,,,Credit or enrollment in BIOL 2560,Student-conducted experiments investigating concepts of human physiology with computer data acquisition and analysis. Interpretation of experimental results and preparation of lab reports. Graduation Restriction: Credit In BIOL 2560L May Not Be Applied Toward Biology Major Graduation Requirements.,Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,2570X,Bionics,2.,,,,,,"Introduction to engineering design for life sciences focusing on bionics. Cross-disciplinary experiential learning projects drawing from human anatomy, physiology, mechanical, computer, and electrical engineering disciplines. Exploration of emerging technologies for human body augmentation and how these technologies can be developed for entrepreneurship projects.","Fall, Spring",https://catalog.iastate.edu/azcourses/biol/
BIOL,2890X,Experiences in Biodiversity Research,2.,,,,,,Designed to provide early undergraduates with practical experience in biodiversity research and demystify the path to careers in the field. Exposure to a variety of research contexts to increase experiences and engagement with biodiversity sciences; teachings on how to communicate and peer-review biodiversity science; and empowerment to seek future research opportunities. Regular cohort-building opportunities to increase student sense of belonging in biodiversity research. Includes an overnight field trip towards the end of the semester. Elective credit. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/biol/
BIOL,2990X,Introduction to Undergraduate Research,1-2.,,,,,Instructor Permission for Course,Identify a research opportunity on campus and conduct guided research under the supervision.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/biol/
BIOL,3070,Women in Science and Engineering,3.,Lecture 3.,,,,ENGL 2500 ; Sophomore classification,"The interrelationships of women and science and engineering examined from historical, sociological, philosophical, and biological perspectives. Factors contributing to under-representation; feminist critiques of science; examination of successful strategies. Does not satisfy biology major advanced credit requirements. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/biol/
