subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BMS,3290,Anatomy and Physiology of Domestic Animals,3.,Lecture 3.,,,,BIOL 2120 and BIOL 2120L,Survey of body systems of domestic animals. Provides a medical science orientation particularly useful to students in a preveterinary medicine curriculum.,Spring,https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4380,Principles of Physiology,4.,Lecture 4.,,,,,"Principles of neurophysiology, endocrine and reproductive physiology, muscle physiology, cardiovascular, respiratory, renal, and digestive physiology, and regulation of body fluid.",Fall,https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4390,Principles of Pharmacology,4.,Lecture 4.,,,,,"General principles of drug actions; drug disposition; drug acting or, cardiovascular, respiratory, renal, gastrointestinal, and endocrine systems; anti-inflammatory and antibiotic drug; anti-cancer drugs; anesthetics CNS stimulants; lifestyle drugs; drug addiction, abuse and dependence; drugs in sport; drugs for obesity; biopharmaceuticals and gene therapy; drug development.",Spring,https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4470,Introduction to Human Gross Anatomy,4.,"Lecture 2, Laboratory 6.",,,,,"Examination of gross anatomy and neuroanatomy of the human. Laboratories will center on regional anatomy study through human cadaver dissection in addition to models, virtual learning solutions, radiologic imaging and case studies.",Fall,https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4480,Principles of Human Gross Anatomy,4.,"Lecture 2, Laboratory 6.",,,True,,"BMS 448 will be a laboratory-centered course that focuses on prosected human cadavers to develop an in-depth understanding of human anatomical function. The course will follow a regional approach and stress relationships between neighboring anatomical structures. During laboratory sessions, students teams will study anatomy from multiple individuals to gain an appreciation for anatomical variation and effects on the body from aging, disease, etc. Additional laboratory activities include study in osteology, radiograph interpretation and case studies.","Spring, Summer",https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4500X,Introduction to a Research Career in Industry,1.,Lecture 2.,,,,,"Explores research career paths in industry. Course will discuss ways students can prepare competitive applications and skill sets necessary for success. Concepts of regulatory constraints, quality management systems and intellectual property will also be introduced. Material will be presented by industry associates and leaders. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4900,Independent Study,0-6.,,,,True,Instructor Permission for Course,"Independent Study, approval of faculty required.","Fall, Spring",https://catalog.iastate.edu/azcourses/b_m_s/
BMS,4900H,Independent Study: Honors,1-5.,,,,True,Permission of Instructor; Membership in the University Honors Program,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/b_m_s/
BMS,5010,Selected Research Methods in Biomedical Sciences,3.,,,,,Graduate Standing or Permission of Instructor,"Experience in biomedical techniques in selected BMS laboratories that include but is not limited to cytochemical methods, molecular biological techniques, extracellular and intracellular unit recording, microiontophoresis, microinjection, spectrophoto-fluorometric analysis of chemicals, use of radioisotopes, radioimmunoassay, Ca2+ imaging, confocal microscopy, fluorescence microscopy, and immunocytochemistry.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/b_m_s/
BMS,5020,Methods in Biomedical Sciences,3.,Laboratory 6.,,,,Graduate Standing or Permission of Instructor,"Provides laboratory experience in the application of methods in biomedical sciences, including animal physiology and pharmacology laboratory techniques; human physiology recordings and urinalysis; pharmacokinetics; basic techniques in analytical laboratory; basic pathology, immunology, bacteriology, and virology laboratory techniques.",Spring,https://catalog.iastate.edu/azcourses/b_m_s/
