subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BUSAD,1020,Business Learning Team Orientation,1.,Lecture 1.,,,,,"A required orientation for all College of Business Students involved with a Business Learning Team. Review of college and university requirements, transfer credits, academic planning, university policies and deadlines and registration procedures. Includes a consideration of various business majors and careers, tools for success in college including writing skills and presentations from employers, alumni and current students.","Fall, Spring",https://catalog.iastate.edu/azcourses/busad/
BUSAD,1030,Orientation,1.,Lecture 1.,,,,,"A required orientation for all College of Business students. Review of college and university requirements, transfer credits, academic planning, university policies and deadlines, and registration procedures. Includes group advising for course selection and registration.","Fall, Spring",https://catalog.iastate.edu/azcourses/busad/
BUSAD,1050,Exploration of Majors & Careers in Business,1.,Lecture 1.,,,,,"Exploration course providing in-depth information and education regarding majors and related careers in business, with the goal for students of making a decision on which business major(s) to pursue. 8 week course. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/busad/
BUSAD,2030,Professional Development in Business,1.,Lecture 1.,,,,Credit or enrollment in BUSAD 1020 or BUSAD 1030,"Designed to develop prepared, professional and engaged students directly aligned with current workplace competencies: individual and team strengths, professional branding, developing and implementing a professional job/internship search, resume and other professional job seeking communications, interviewing, evaluating offers, and networking. Team presentations will be a requirement of this course.",,https://catalog.iastate.edu/azcourses/busad/
BUSAD,2920,CYstarters 2.0 Entrepreneurship Seminar,1.,Lecture 1.,,,True,Instructor Permission for Course,"Advanced study of entrepreneurship and student venture coaching, a continuation of the CYstarters summer accelerator experience. This hands-on course provides student entrepreneurs with the resources and support needed to grow their business. Class will include seminars with successful entrepreneurs and professional service providers, goal setting, a formal pitch presentation, group accountability, and mentoring in an immersive experiential environment. Class participants must have completed the 11-week CYstarters summer accelerator experience through the Pappajohn Center for Entrepreneurship.","Fall, Spring",https://catalog.iastate.edu/azcourses/busad/
BUSAD,3010,Introduction to International Business,3.,Lecture 3.,,,,Sophomore classification,"Foundation for international business theory and practices with an emphasis on understanding the intersection of business, culture, politics, law, and economics. Views from both the United States and countries abroad will be presented.","Fall, Spring",https://catalog.iastate.edu/azcourses/busad/
BUSAD,3910A,Professional Experiential Learning: Domestic Internship,1.,,,,True,Instructor Permission for Course,Supervised work experience in a business related discipline. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/busad/
BUSAD,3910B,Professional Experiential Learning: International Internship,1.,,,,True,Instructor Permission for Course,Supervised work experience in a business related discipline. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/busad/
BUSAD,3910C,Professional Experiential Learning: Domestic Travel and Study,1.,,,,True,,Supervised travel and study in a business related discipline. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/busad/
BUSAD,3910D,Professional Experiential Learning: International Travel and Study,1.,,,,True,,Supervised travel and study in a business related discipline. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/busad/
BUSAD,3980,Cooperative Education,Required.,,,,True,Instructor Permission for Course,Required of all cooperative education students engaged in full-time internship/co-op. Students must register for this course prior to commencing each work period. No more than three credits may be taken in addition to BUSAD 3980 during any given semester. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/busad/
BUSAD,4030X,Transitioning from College to Career,1.,Lecture 1.,,,,BUSAD 2030 and Senior Standing,"Career readiness for graduating seniors, with emphasis on personal branding, workplace communication, job search strategies, and social capital. Skill development in career mapping, ethical decision-making, and development of a professional launch plan.",Spring,https://catalog.iastate.edu/azcourses/busad/
BUSAD,4900A,Independent Study: International Business,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/busad/
