subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CDEV,5020,Community and Natural Resource Management,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Detailed introduction to community resource management. Theoretical frameworks, methodological investigation, applied practices. Enhancement of ability of community development professionals to work with communities to plan, develop and monitor conversation and development of natural resources with multiple functions.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5030,Principles and Strategies of Community Change,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Analysis of principles and practices of community change and development. Use of case studies to relate community development approaches to conceptual models from diverse disciplines. Exploration of professional practice principles, and student construction of their personal framework for practicing community development.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5040,Community Analysis: Introduction to Methods,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to research methods relevant to community development. Formulate and begin a research effort, methods of data collection and how conceptual frameworks are used to develop the questions and analyze data. Emphasis on strategies for reporting findings and applying findings in community action and methods of evaluating the entire research process. Significant attention paid to issues of research ethics and inclusiveness.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5050,Organizing for Community Change,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examines role of civil society in community planning efforts. Comparative approach to planning theories and approaches. Focus on change within communities and the roles of government, planners, and citizens in reacting to or shaping change. Dimensions of social capital and the context of change covered.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5060,Community and Regional Economic Analysis I,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to concepts of communities and regions, theories of economic growth, drivers of economic growth, the economic base of a community, sources of growth or decline in the community, roles of local government and institutions, and analytical tools. Strategies for local economic development will also be explored.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5070,Introduction to Native Communities,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"A base knowledge course. For students currently working within, in partnership with, or considering working with Native communities. Basic understanding within the context of community development of the diversity of the tribal structures and cultures and the unique history and jurisdictional considerations of these nations. Working with tribes, Federal and Indian relations, and governance and cultural issues.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5080,Ecological Economics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Approaches economy and community by looking at the inherent interdependence, jointness, and potential complimentarity between ecology and economy (utility) of a place.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5090,Building Native Community and Economic Capacity,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Focus on non-western approaches to helping Native communities build their capacity. Students will learn to take a participatory, culture-centered, and strength-based approach to development.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5100,Indian Country Agriculture and Natural Resources,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the historical and contemporary issues related to natural resource management on Native American lands. Philosophical and economic arguments concerning natural resource conservation, preservation and extraction will be explored.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5120,Sustainable Communities,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Students will learn the conceptual relationships among Community and Sustainable Development and Sustainable Communities and examine the social, environmental, and economic aspects of sustainable communities. The course includes analysis of public policy impacts on community sustainability, practical actions for enhancing sustainability, and changing power dynamics and reward structures involved in incorporating sustainability into Community Development.",,https://catalog.iastate.edu/azcourses/c_dev/
CDEV,5130,Economic Development Strategies and Programs,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Course explores theories of local economic development and addresses the development issues faced by communities in the 21st century. Students will understand and apply concepts from economic development planning, economic analysis, business development, human resource development, community-based development, and high-technology development.",,https://catalog.iastate.edu/azcourses/c_dev/
