subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CE,1110,Geomatics,3.,"Lecture 2, Laboratory 3.",,,,CE 1600 or ( ABE 1600 or AERE 1600 or BME 1600 or CHE 1600 or CPRE 1850 or EE 1850 or ENGR 1600 or IE 1600 or ME 1600 or SE 1850); CE 1700 ; MATH 1650,"Fundamentals of geospatial measurement theory, computations, analysis, and instrumentation relative to engineering surveys. Includes distance and angular measurement and analyses; elevation, area, and volume determinations; construction staking; errors in observations; traversing; horizontal and vertical curve layout; geographical information systems; and equipment used for measurements.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,1200,Civil Engineering Learning Community,1.,"Discussion 2, Lecture 1.",,,,,"Integration of first-year students into the Civil Engineering program. Assignments and activities involving teamwork, academic preparation, study skills, and preparation for entry into the Civil Engineering profession. Completed both individually and in learning teams under the direction of faculty and peer mentors.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,1600,Engineering Problems with Computational Laboratory,3.,"Laboratory 2, Lecture 2.",,,,Credit or Enrollment in MATH 1650,"Engineering approach to solving problems and presenting results with applications to examples in civil, construction, and environmental engineering, such as problems in statics. Dimensions and units. Data processing, graphing, and curve fitting. Formulating and solving fundamental and practical engineering problems with spreadsheets and a structured programming language. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,1700,Graphics for Civil Engineering,2.,Laboratory 4.,,,,Credit or concurrent enrollment in MATH 1430 or MATH 1450 or MATH 1650 (or satisfactory scores on mathematics placement assessments),"Integration of fundamental graphics, computer modeling, and engineering design. Applications of multi-view drawings and dimensioning. Techniques for visualizing, analyzing, and communicating 3-D geometries. Application of the design process. Freehand and computer methods. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,1910X,Project Based Introduction to Civil Engineering,3.,"Discussion 1, Lecture 2.",,,,(Freshmen and Sophomores: CE 1200 or equivalent); (Juniors and Seniors: Instructor Permission),"Introduction to civil engineering field through projects centering on common themes. Themes will include significant contributions to society, development of current standards within civil engineering, and ethical failures. Specific project topics chosen will introduce students to the different sub-disciplines within civil engineering including water resources, transportation, geotechnical, materials, structure, and environmental engineering. Written and oral presentations; teamwork; ethics.",Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,2060,Engineering Economic Analysis and Professional Issues in Civil Engineering,3.,Lecture 3.,,,,( CE 1200 or CONE 1210 or CONE 1220 or ENGR 1310 or ENVE 1200 ); ENGL 2500 ; MATH 1660,"Engineering/managerial analysis of the economic aspects of project proposals. Alternative sources of funds; time value of money; expenditure of capital funds and methods of evaluating alternative projects. Professionalism, licensure, liability, ethics, leadership, risk analysis, social responsibility, creative and critical thinking, and applications/impacts of regulations in civil engineering. ECON 1010 recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,2710X,Engineering Foundations of Statics,1.,"Lecture 1, Laboratory 1.",,,,MATH 1650 and (credit or enrollment in PHYS 2310 and 2310L ),Vector analysis; analysis of force systems; resultants in two and three dimensions; particle free-body diagrams; particle equilibrium; moments.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/c_e/
CE,2740,Engineering Statics,3.,Lecture 3.,,,,PHYS 2310 or PHYS 2310H ; PHYS 2310L ; and (Credit or concurrent enrollment in MATH 1660 or MATH 1660H ),"Vector analysis; analysis of force systems; resultant in two and three dimensions; free-body diagrams; equilibrium; analysis of trusses, frames, and machines; friction, belts and pulleys; shear and bending moment in beams, centroid and center of mass; second moments of areas.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/c_e/
CE,3060,Project Management for Civil Engineers,3.,"Lecture 2, Laboratory 3.",,,,Engineering Basic Program Courses,"Project management, including work breakdown structures, cost estimating, scheduling, and project control. Civil engineering project life cycle, including planning, design, construction, and maintenance processes. Techniques in interpretation of contract documents, plan reading, and in estimating quantities.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3260,Principles of Environmental Engineering,3.,"Lecture 2, Laboratory 2.",,,,[ CHEM 1670 or ( CHEM 1770 and CHEM 1780 )] AND MATH 1660 AND (credit or concurrent enrollment in ABE 3780 ),"Introduction to environmental problems, water quality indicators and requirements, potable water quality and quantity objectives, water sources and treatment methods; water pollution control objectives and treatment methods; survey of solid and hazardous waste management and air pollution control.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3320,Structural Analysis I,3.,"Lecture 3, Laboratory 1.",,,,EM 3240,"Loads, shear, moment, and deflected shape diagrams for beams and framed structures. Deformation calculations. Approximate methods. Application of consistent deformation methods to continuous beams and frames. Application of displacement or slope deflection methods to continuous beams and frames without sway. Influence lines for determinate and indeterminate structures. Computer applications to analyze beams and frames. Validation of computer results.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/c_e/
CE,3330,Structural Steel Design I,3.,"Lecture 3, Laboratory 1.",,,,"CE 3320 , EM 3270",AISC design methods for structural steel buildings. Design of steel tension members. Design of steel members for flexure. Design of members for compression. Beam-Column member design. Introduction to steel building systems. Steel moment frames and concentrically braced frames. Design of commonly used connections in steel buildings.,"Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3340,Reinforced Concrete Design I,3.,"Lecture 3, Laboratory 1.",,,,"CE 3320 , EM 3270","ACI design methods for structural concrete members. Emphasis on the analysis and design for flexure of singly reinforced and doubly reinforced sections, T-section, one-way slabs, short columns, and isolated footings. Analysis and design for shear, and serviceability. Bond, anchorage, and development of reinforcement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/c_e/
CE,3550,Principles of Transportation Engineering,3.,Lecture 3.,,,,CE 1110,"Introduction to planning, design, and operations of transportation facilities. Road user, vehicle and roadway characteristics. Technological, economic and environmental factors. Asset management, transportation planning, capacity analysis, traffic control, geometric design, traffic safety.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3600,Geotechnical Engineering,4.,"Lecture 3, Laboratory 3.",,,,"EM 3240 , credit or enrollment in GEOL 2010 or CONE 2410","Introduction to geotechnical engineering and testing. Identification and classification tests, soil water systems, principles of settlement, stresses in soils, and shear strength testing; slope stability, retaining walls, bearing capacity.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3720,Engineering Hydrology and Hydraulics,3.,Lecture 3.,,,,ABE 3780 ; ( STAT 2310 or STAT 3050 ),"The hydrologic cycle: precipitation, infiltration, runoff, evapotranspiration, groundwater, and streamflow. Hydrograph analysis, flood routing, frequency analysis and urban hydrology. Applied hydraulics including pipe and channel flow with design applications in culverts, pumping, water distribution, storm and sanitary sewer systems. Design project required.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3820,Design of Concretes,3.,"Lecture 2, Laboratory 3.",,,,CE 2740,"Physical and chemical properties of bituminous, portland, and other cements; aggregate properties and blending; mix design and testing of concretes; admixtures, mixing, handling, placing and curing; principles of pavement thickness design.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3830,Design of Portland Cement Concrete,1.,,,,,CE 2740,For CONE students only. Physical and chemical properties of portland cement and p.c. concrete. Mix design and testing of p.c. concrete. Graduation Restriction: Credit for both CE 3820 and CE 3830 may not be applied for graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,3880,Sustainable Engineering and International Development,3.,"Lecture 2, Laboratory 2.",,,,Junior Classification in an Engineering Major,"Multi-disciplinary approach to sustainable engineering and international development, sustainable development, appropriate design and engineering, feasibility analysis, international aid, business development, philosophy and politics of technology, and ethics in engineering. Engineering-based projects from problem formulation through implementation. Interactions with partner community organizations or international partners such as nongovernment organizations (NGOs). Course readings, final project/design report. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/c_e/
CE,3950,Global Perspectives in Transportation,3.,Lecture 3.,,,True,,"Background on historical civil engineering design and construction. Impacts of historical, cultural, social, economic, ethical, environmental, and political conditions on the design and construction of various infrastructure projects outside the United States. Global road safety and intermodal operations. Addressing transportation problems in a large metropolitan area. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,4030,Program and Outcome Assessment,Required.,Lecture 1.,,,,,Assessment of CE Curriculum and educational objectives. Assessments to be reviewed by the CE Department to incorporate potential improvements. Verification of undergraduate application for graduation by the end of the first week of class. Permission of instructor for students who are scheduled for summer graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/c_e/
CE,4130,Applied and Environmental Geophysics,3.,"Lecture 2, Laboratory 2.",,,,,"Seismic, gravity, magnetic, resistivity, electromagnetic, and ground-penetrating radar techniques for shallow subsurface investigations and imaging. Data interpretation methods. Lab emphasizes computer interpretation packages. Field work with seismic - and resistivity-imaging systems and radar. Introductory geology, algebra, and trigonometry recommended. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,4170,Boundary Surveys,3.,"Lecture 2, Laboratory 3.",,,,CE 1110,"Basic principles of boundary surveying with a focus on the legal principles affecting the determination of land boundaries. Concepts include boundaries, ownership, boundary law principles, easements, sequential and simultaneous conveyances, case studies, riparian rights, state laws and rules for practicing surveying, American Land Title Association (ALTA) surveys and standards, U.S. public land survey system; unwritten land transfers; plats of survey; land descriptions and boundary evidence.",Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,4280,Water and Wastewater Treatment Plant Design,3.,Lecture 3.,,,,CE 3260,"Physical, chemical and biological processes for the treatment of water and wastewater including coagulation and flocculation, sedimentation, filtration, adsorption, chemical oxidation/disinfection, fixed film and suspended growth biological processes and sludge management. Design project.",Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,4360X,Masonry Design,3.,Lecture 3.,,,,CE 3340,"The Masonry Society design methods for structural masonry members. Masonry materials. Behavior of masonry structures. Analysis and design of beams for flexure and shear. Analysis and design of columns/pilasters, walls, and diaphragms.",Summer,https://catalog.iastate.edu/azcourses/c_e/
CE,4390,"Seismic Methods in Geology, Engineering, and Petroleum Exploration",3.,"Lecture 2, Laboratory 2.",,,,,"Physics of elastic-wave propagation. Seismic surveys in environmental imaging, engineering, and petroleum exploration. Reflection and refraction techniques. Data collection, processing, and geological interpretation. Field work with state-of-the-art equipment. Introductory geology, algebra, and trigonometry recommended. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,4460,Bridge Design,3.,,,,,"CE 3330 , CE 3340",Bridge design in structural steel and reinforced concrete. Application of AASHTO Bridge Design Specifications. Alysis techniques for complex structures. preliminary designs include investigating alternative structural systems and materials. Fil designs include preparation of design calculations and sketches. Design project. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/c_e/
CE,4480,Building Design,3.,,,,,"CE 3330 , CE 3340",Building design in structural steel and reinforced concrete. Investigation of structural behavior. Gravity and lateral load resisting systems. Application of current building codes and design specifications. In-depth analysis of gravity and wind loads on buildings. Review of building designs. preliminary designs include investigating alternative structural systems. Approximate methods of structural analysis for gravity and lateral loads. Final designs include preparation of design calculations and sketches. Design project. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/c_e/
