subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CHEM,0500,Preparation for College Chemistry,0.,"Lecture 2, Discussion 1.",,,,,"An in-depth active learning experience designed to impart the fundamental concepts and principles of chemistry, with an emphasis on mathematics skills and logical thinking. For students intending to enroll in general chemistry and who have not taken high school chemistry or who have not had a high school college preparatory chemistry course who need a review of chemical problem solving and chemical concepts. 1-year high school algebra recommended. Graduation Restriction: Credit for CHEM 0500 does not count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,1010A,Chemistry Learning Community Orientation: On-Campus Orientation,1.,Lecture 1.,,,,,"Integration of first year and transfer students into the chemistry program. Introduction and overview of degree requirements and support services on campus, assistance with transition to college and community life, and team-building and leadership activities. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/chem/
CHEM,1010B,Chemistry Learning Community Orientation: Professional Development Opportunities,1.,Lecture 1.,,,,,"Integration of first year and transfer students into the chemistry program. Introduction and overview of degree requirements and support services on campus, assistance with transition to college and community life, and team-building and leadership activities. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/chem/
CHEM,1020L,Physical Sciences for Elementary Education,3.,"Lecture 1, Laboratory 4.",,,,,"Physical science principles for future elementary teachers. Emphasis on experiments that address current elementary science education standards and that are appropriate for their future students to do, such as measurements of mass, length, time, light from atoms, charge and current, motion due to forces, energy and work, heat, waves, optics, building bridges and making musical instruments, studying states of matter and chemical reactions.","Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,1100,Cutting-Edge Chemistry: Research and Career Opportunities,1.,Lecture 1.,,,,,"Overview of careers in chemistry: industrial, governmental, and academic careers; literature and compound search instruction; professional ethics; and an introduction to joining a research lab. For students majoring or minoring in chemistry or chemistry-related fields. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/chem/
CHEM,1600,Chemistry in Modern Society,3.,Lecture 3.,,,,,Aspects of chemistry visible to a non-scientist in our society. A survey of selected areas of chemistry with emphasis on the interface between chemistry and other fields of human activity.,"Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,1630,College Chemistry,4.,"Lecture 3, Discussion 1.",,,,Credit or concurrent enrollment in CHEM 1630L,"A general survey of chemistry with an emphasis on conceptual problems for those who are not physical and biological science or engineering majors. Nomenclature, chemical reactions, stoichiometry, atomic structure, periodic properties, chemical bonding, states of matter, solutions, thermochemistry, acid-base theory, oxidation-reduction reactions, basic chemical kinetics, and chemical equilibrium. 1 year of high school algebra and geometry and CHEM 0500 or 1 year of high school chemistry necessary.Graduation Restriction: Only one of CHEM 1630 , 1670, 1770, or 2010 may count toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,1630L,Laboratory in College Chemistry,1.,Laboratory 3.,,,,Credit or enrollment for credit in CHEM 1630,"Laboratory to accompany CHEM 1630 . Must be taken with CHEM 1630 . Graduation Restriction: Only one of CHEM 1630L , 1670L, and 1770L may count toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,1670,General Chemistry for Engineering Students,4.,"Lecture 3, Discussion 1.",,,,College of Engineering Students OR Open Option Undergraduate Undeclared Students,"Principles of chemistry and properties of matter explained in terms of modern chemical theory with emphasis on topics of general interest to the engineer. MATH 1400 or 2 years of high school algebra and 1 year of high school geometry and CHEM 0500 or 1 year of high school chemistry necessary. Graduation Restriction: Only one of CHEM 1630 , 1670, 1770, or 2010 may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,1670L,Laboratory in General Chemistry for Engineering,1.,Laboratory 3.,,,,College of Engineering Students OR Open Option Undergraduate Undeclared Students,"Laboratory to accompany 1670. Graduation Restriction: Only one of CHEM 1630L , 1670L, and 1770L may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,1770,General Chemistry I,4.,"Lecture 3, Discussion 1.",,,,Credit or enrollment in CHEM 1770L,"The first semester of a two-semester sequence which explores chemistry at a greater depth and with more emphasis on concepts, problems, and calculations than 1630. Recommended for physical and biological science majors, chemical engineering majors, and all others intending to take 3000-level chemistry courses. Principles and quantitative relationships, stoichiometry, chemical equilibrium, acid-base chemistry, thermochemistry, rates and mechanism of reactions, changes of state, solution behavior, atomic structure, periodic relationships, chemical bonding. Chemistry and Biochemistry majors may consider taking CHEM 2010 . MATH 1400 or 2 years of high school algebra and 1 year of high school geometry and CHEM 0500 or 1 year of high school chemistry necessary. Graduation Restriction: Only one of CHEM 1630 , 1670, 1770, or 2010 may count toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,1770L,Laboratory in General Chemistry I,1.,Laboratory 3.,,,,Credit or concurrent enrollment in CHEM 1770,"Laboratory to accompany 1770. 1770L must be taken with 1770. Graduation Restriction: Only one of CHEM 1630L , 1670L, and 1770L may count toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,1770N,Laboratory in General Chemistry I,1.,Laboratory 3.,,,,Credit or concurrent enrollment in CHEM 1770,"Laboratory to accompany CHEM 1770 . CHEM 1770N must be taken with CHEM 1770 . For Chemistry and Biochemistry majors. Laboratory to accompany CHEM 1770 . CHEM 1770N must be taken with CHEM 1770 . Graduation Restriction: Only one of CHEM 1630 , 1670, 1770, or 2010 may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/chem/
CHEM,1780,General Chemistry II,3.,"Lecture 2, Discussion 1.",,,,CHEM 1630 or CHEM 1670 or ( CHEM 1770 ; CHEM 1770L ),"Continuation of 1770. Recommended for physical or biological science majors, chemical engineering majors, and all others intending to take 3000-level chemistry courses.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,1780L,Laboratory in College Chemistry II,1.,Laboratory 3.,,,,CHEM 1770L and (Credit or concurrent enrollment in CHEM 1780 ),Laboratory to accompany 1780. 1780L is not a necessary co-requisite with 1780.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,2010,Advanced General Chemistry,5.,"Lecture 4, Discussion 1.",,,,Credit or concurrent enrollment in MATH 1650 or MATH 1660 or MATH 2650 ; concurrent enrollment in CHEM 2010L,"A one-semester course in general chemistry designed to give students an in-depth, broad-based view of modern chemistry, and, in part, to facilitate participation in independent undergraduate research. Topics include stoichiometry, atomic and molecular structure, chemical bonding, kinetics, chemical equilibria, and thermodynamics. Discussion of current trends in various chemical disciplines, which may be given by guest experts in chemistry, biochemistry, and chemical engineering, will help the student appreciate the scope of the chemical sciences and how research is carried out. One year HS chemistry and one year HS physics, or advanced chemistry necessary. Graduation Restriction: Only one of CHEM 1630L , 1670L, and 1770L may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/chem/
CHEM,2010L,Laboratory in Advanced General Chemistry,1.,Laboratory 3.,,,,Credit or concurrent enrollment in CHEM 2010,"Laboratory to accompany 2010. Introductory lab experience in synthesis and analysis to prepare students for research activities. 2010L must be taken with 2010. Graduation Restriction: Only one of 1630L, 1670L, 1770L, 1770N or 2010L may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/chem/
CHEM,2110,Quantitative and Environmental Analysis,2.,Lecture 2.,,,,( CHEM 1630 and CHEM 1630L ) or ( CHEM 1780 ) or ( CHEM 2010 and CHEM 2010L ); concurrent enrollment in CHEM 2110L,"Theory and practice of elementary volumetric, chromatographic, electrochemical and spectrometric methods of analysis. Chemical equilibrium, sampling, and data evaluation. Emphasis on environmental analytical chemistry; the same methods are widely used in biological and materials sciences as well.","Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,2110L,Quantitative and Environmental Analysis Laboratory,2.,Laboratory 6.,,,,Credit or enrollment for credit in CHEM 2110,"Introductory laboratory experience in volumetric, spectrometric, electrochemical and chromatographic methods of chemical analysis.","Fall, Spring",https://catalog.iastate.edu/azcourses/chem/
CHEM,2310,Elementary Organic Chemistry,3.,Lecture 3.,,,,( CHEM 1630 ; CHEM 1630L ) or ( CHEM 1770 ; CHEM 1770L ) or CHEM 1670 ; credit or concurrent enrollment in CHEM 2310L,"A survey of modern organic chemistry including nomenclature, structure and bonding, and reactions of hydrocarbons and important classes of natural and synthetic organic compounds. For students desiring only an elementary course in organic chemistry. Students in physical or biological sciences and premedical or pre-veterinary curricula should take the full year sequence 3310 and 3320 (with the accompanying laboratories 3310L and 3320L). Graduation Restriction: Only one of CHEM 2310 and 3310 or BBMB 2210 may count toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,2310L,Laboratory in Elementary Organic Chemistry,1.,Laboratory 3.,,,,Credit or concurrent enrollment in CHEM 2310 ; ( CHEM 1630L or CHEM 1770L ),Laboratory to accompany 2310. 2310L must be taken with 2310. Graduation Restriction: Only one of CHEM 2310L and 3310L may count toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,2980,Cooperative Education,Required.,,,,True,Permission of the department cooperative education coordinator; sophomore classification,Required of all cooperative education students. Students must register for this course prior to commencing each work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chem/
CHEM,2990,Undergraduate Research (for Freshmen and Sophomores),1-30.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/chem/
CHEM,3010,Inorganic Chemistry,2.,Lecture 2.,,,,CHEM 3240,"Atomic and molecular structure and bonding principles; molecular shapes and symmetry; acids and bases; solid-state structures and properties; inorganic chemistry of H, B, C.",Spring,https://catalog.iastate.edu/azcourses/chem/
