subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CHIN,1010,Elementary Mandarin Chinese I,4.,Lecture 4.,,,,,Introduction to spoken and written colloquial Mandarin through pinyin and simplified characters. For students whose native language is not Chinese.,Fall,https://catalog.iastate.edu/azcourses/chin/
CHIN,1020,Elementary Mandarin Chinese II,4.,Lecture 4.,,,,( CHIN 1010 ) OR (Score up to 300 on Chinese WLC Placement Exam),Introduction to spoken and written colloquial Mandarin through pinyin and simplified characters. For students whose native language is not Chinese. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/chin/
CHIN,2010,Intermediate Mandarin Chinese I,4.,Lecture 4.,,,,( CHIN 1020 ) OR (Score between 300 - 400 on Chinese WLC Placement Exam),"Development of speaking, writing, reading, and listening skills. Review and expansion of grammar skills, intensification of character acquisition. For students whose native language is not Chinese. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/chin/
CHIN,2020,Intermediate Mandarin Chinese II,4.,Lecture 4.,,,,( CHIN 2010 ) OR (Score between 300 - 400 on Chinese WLC Placement Exam),"Development of speaking, writing, reading, and listening skills. Review and expansion of grammar skills, intensification of character acquisition. For students whose native language is not Chinese. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/chin/
CHIN,3010,Advanced Mandarin Chinese I,3.,Lecture 3.,,,,( CHIN 2020 ) OR (Score greater than 400 on Chinese WLC Placement Exam),"Continuing development of speaking, writing, reading, and listening skills beyond intermediate level. Expansion of cultural literacy through a variety of texts from the humanities, social sciences, mass media and business. Native speakers of Chinese are allowed to enroll. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/chin/
CHIN,3020,Advanced Mandarin Chinese II,3.,Lecture 3.,,,,( CHIN 3010 ) OR (Score greater than 400 on Chinese WLC Placement Exam),"Continuing development of speaking, writing, reading, and listening skills beyond intermediate level. Expansion of cultural literacy through a variety of texts from the humanities, social sciences, mass media and business. Native speakers of Chinese are allowed to enroll. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/chin/
CHIN,3040,Chinese for Global Professionals,4.,Lecture 4.,,,,( CHIN 2020 ) OR (Score greater than 400 on Chinese WLC Placement Exam),"Introduction to professional language and culture in China and Chinese-speaking regions in Asia. Development of all four language skills, focusing on practical applications in the professional contexts. Development of global awareness and cross-cultural understanding. Preparation for internships. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/chin/
CHIN,3600X,Silk Painting,3.,Studio 6.,,,,,"Introduction to Chinese silk painting, an art form practiced for over 2,000 years. Gain a comprehensive understanding of silk painting’s history, techniques, and materials. Open to all skill levels. Artistic expression is encouraged through hands-on experience, blending traditional techniques and histories with innovative, contemporary interpretations.",Fall,https://catalog.iastate.edu/azcourses/chin/
CHIN,3700,Chinese Literature in English Translation,3.,Lecture 3.,,,True,,"Topics may include traditional prose, poetry, novel and drama; twentieth-century fiction and film. All readings and class discussions in English. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/chin/
CHIN,3710X,"Chinese Calligraphy: History, Appreciation and Practice",3.,,,,,,"Chinese calligraphy is a unique form of visual art. Combining theoretical and experiential learning, this course offers a comprehensive introduction to Chinese calligraphy, including its history, theory and criticism, social functions, and cultural significance. It also provides students with opportunities to cultivate their artistic creativity and skills through hands-on practices. Taught in English, no knowledge of Chinese language required. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/chin/
CHIN,3720,Introduction to Chinese Culture,3.,Lecture 3.,,,,,"Interdisciplinary introduction to Chinese society and culture from earliest times to the present. Topics include ancient literature, philosophy, religion, art, architecture, customs, transition to a modern society, social changes, urban life, popular culture, and contemporary values and ideas. Taught in English. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/chin/
CHIN,3750,China Today,3-4.,Lecture 4.,,,True,,"Topics vary by instructor but this course mainly focuses on contemporary economy, politics, religion, governance, family and healthcare, technology, society, and culture in China today. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/chin/
CHIN,3780,Chinese Film and Society,3.,Lecture 3.,,,,,"Survey of Chinese cinematic history from 1896 to the present against the background of China's constant sociocultural transformation; emphasis on narrative themes, film history, and film criticism. Topics vary according to faculty interest. Taught in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/chin/
CHIN,4030A,Seminar in Chinese Language and Culture: Translating Contemporary Chinese Texts,3.,Lecture 3.,,,,CHIN 3020,"Critical understanding of authentic texts at the advanced level through reading, translation, and/or application in professional contexts; consolidation of existing language skills, in-depth analysis of cultural issues, and development of professional language proficiency. Taught in Chinese. Native Chinese speakers may register with override request. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/chin/
CHIN,4030B,Seminar in Chinese Language and Culture: Topics on Business and Professions,3.,Lecture 3.,,,,CHIN 3020,"Critical understanding of authentic texts at the advanced level through reading, translation, and/or application in professional contexts; consolidation of existing language skills, in-depth analysis of cultural issues, and development of professional language proficiency. Taught in Chinese. Native Chinese speakers may register with override request. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/chin/
CHIN,4030C,Seminar in Chinese Language and Culture: Reading Chinese Texts,3.,Lecture 3.,,,,CHIN 3020,"Critical understanding of authentic texts at the advanced level through reading, translation, and/or application in professional contexts; consolidation of existing language skills, in-depth analysis of cultural issues, and development of professional language proficiency. Taught in Chinese. Native Chinese speakers may register with override request. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/chin/
CHIN,4900,Independent Study,1-6.,,,,True,6 credits in CHIN; Permission of Department Chair,Designed to meet student needs in areas beyond current course offerings or to accommodate the desire to integrate a study of literature or language with special issues in major fields.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/chin/
CHIN,4990,Internship in Chinese,1-3.,,,,True,9 credits of CHIN at the 3000-level; Permission of Department,"Work experience using Chinese in the public or private sector, combined with academic work under faculty supervision. Graduation Restriction: No more than 3 credits may apply toward the Chinese minor or LCP minor. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/chin/
