subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CJ,1200,The Criminal Justice League Learning Community Seminar,1.,Lecture 1.,,,,,"Orientation to academic program requirements, career awareness, strategies for successful transition to college. Topics include: University and LAS College requirements and procedures; occupational tracks and career options open to criminal justice; and introduction to career planning. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,1210,The Criminal Justice League Learning Community Seminar II,1.,Lecture 1.,,,,,Foundations for student success in the criminal justice major. Students will examine current issues in crime and criminal justice and build career awareness and planning skills through guest speakers and field trips. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,2200,Introduction to Forensic Science,3.,Lecture 3.,,,,,"Study of fundamental forensic science techniques and procedures covering types of physical, chemical, and biological evidence and how this information is used in the legal system. Assessment of crime scenes and various forensic specialties will be introduced.",Spring,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,2400,Introduction to the U.S. Criminal Justice System,3.,Lecture 3.,,,,,"Provides systematic overview of law, police organization and behavior, prosecution and defense, sentencing, the judiciary, community corrections, penology, and capital punishment. The course demonstrates the role of discretion in all of these agencies as well as the sociological influences of age, race, gender, and social class on criminal justice system processes.",Fall,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,2410,Youth and Crime,3.,Lecture 3.,,,,,"An examination of delinquency that focuses on the relationship between youth as victims and as offenders, social and etiological features of delinquency, the role of the criminal justice system, delinquents' rights, and traditional and alternative ways of dealing with juvenile crime.",Fall,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,2420,Criminology,3.,Lecture 3.,,,,,The nature of crime and criminology; the concept of crime; statistics and theories of criminality; major forms of crime; official responses to crime and control of crime.,Fall,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,3150X,Crime Victims and Victimization,3.,Lecture 3.,,,,,"Examination of the characteristics of victims of crime, victim-offender relationships, the interactions between victims and the criminal justice system, as well as the physical, emotional, and financial harm individuals suffer at the hands of offenders. In exploring these dynamics and connections, this course will address the theory, history, research, legislation, and policy implications related to victimization.",,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,3200,American Judicial Process,3.,Lecture 3.,,,,,"An overview of the American judicial process. Emphasis on specific topics such as application of constitutional rights to the states (particularly the Fourth, Fifth, Sixth, and Fourteenth Amendments), mechanics of judicial opinions, constitutional philosophies of Supreme Court Justices, decisions of first impression, and the value and scope of precedent.",Spring,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,3250,"Religion, Law, and Justice",3.,Lecture 3.,,,,,"A study of the role of religion in law and justice with a focus on the United States. Examines the history of religious freedom, key contemporary legal cases, and how religious-oriented justice movements engage ethics and the law.",Fall,https://catalog.iastate.edu/azcourses/criminaljustice/
CJ,3320,Philosophy of Law,3.,Lecture 3.,,,,3 credits in PHIL or Permission of Instructor,"Extent of our obligation to obey the law; what constitutes just punishment; how much of the immoral should be made illegal? Relation of these questions to major theories of law and the state. Discussion of such concepts as coercion, equality, and responsibility.","Fall, Spring",https://catalog.iastate.edu/azcourses/criminaljustice/
