subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
COMS,1010,Orientation,Required.,"Discussion 1, Lecture 1.",,,,,"Required orientation class for all incoming students in the Computer Science major. Topics include academic planning and policies, campus resources, and supports. Opportunity to connect with other computer science peers, faculty, alumni, and employers. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,1030,Computer Literacy and Applications,4.,"Lecture 3, Laboratory 2.",,,,,"Introduction to computer literacy and applications. Literacy: Impact of computer technology in today’s societies, hardware, software, software programming, database and information systems, communication and networks, digital media technology, computer security and safety, ethics and privacy. Applications: In-depth hands-on experience with the operating systems, Microsoft word processing, spreadsheets, database management and presentation software. No prior computer experience necessary. Offered online only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,1040,Brief Introduction to Computer Programming for Non-Majors,2.,"Lecture 1.5, Discussion 0.5.",,,,,"Offered first 8 weeks and last 8 weeks. Use of personal computer and workstation and beginning programming. Project-oriented approach to computer operation and programming, including use of tools to aid in programming. Topics from computer history, using basic Windows and MacOS tools, program structure, expression, variables, decision and logic, and iteration. No prior computer experience necessary.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,1050A,Short Course in Computer Programming: Perl,2.,"Lecture 1, Laboratory 2.",,,,COMS 1040,8-week course in programming using Perl.,,https://catalog.iastate.edu/azcourses/com_s/
COMS,1050B,Short Course in Computer Programming: MATLAB,2.,Lecture 2.,,,,COMS 1040,8-week course in programming using MATLAB.,,https://catalog.iastate.edu/azcourses/com_s/
COMS,1060,Introduction to Web Programming,3.,Lecture 3.,,,,,"Introduction to web programming basics. Fundamentals of developing web pages using a comprehensive web development life cycle. Learn to design and code practical real-world homepage programs and earn adequate experience with current web design techniques such as HTML5 and cascading style sheets. Students also learn additional programming languages including JavaScript, jQuery, PHP, SQL, and MySQL. Strategies for accessibility, usability and search engine optimization. No prior computer programming experience necessary.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,1070,Windows Application Programming,3.,Lecture 3.,,,,,Introduction to computer programming for non-majors using a language such as the Visual Basic language. Basics of good programming and algorithm development. Graphical user interfaces.,"Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,1130,Introduction to Spreadsheets and Databases,3.,"Lecture 2, Laboratory 2.",,,,,"Using Microsoft Excel spreadsheets and Microsoft Access databases to input, store, process, manipulate, query, and analyze data for business and industrial applications. Graduation Restriction: Credit in COMS 1130 may not be applied toward graduation in the SE and CPRE majors.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,1270,Introduction to Computer Programming,3.,"Lecture 2, Laboratory 2.",,,,Credit or concurrent enrollment in MATH 1400 or higher,"Introduction to computer programming with an emphasis on problem-solving. Topics include: program structures, expressions, variables, decision and logic, iteration, collections, input, and output. Program construction and testing. Programming assignments including games and applications. No prior programming experience necessary.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,1920,Explorations in Computing Research I,1.,Discussion 0.5.,,,True,,"Explore research opportunities for undergraduate students in Computer Science; understanding the nature of research and development process; reviewing the literature; development of writing, presentation, and data reporting skills; rotation under different research labs; group work.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,2030,Careers in Computer Science,Required.,Lecture 1.5.,,,,,Computer science as a profession. Introduction to career fields open to computer science majors. Relationship of coursework to careers. Presentations by computer science professionals. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,2070,Fundamentals of Computer Programming,3.,"Lecture 3, Discussion 1.",,,,MATH 1500 or credit or enrollment in MATH 1400 or higher,"An introduction to computer programming using an object-oriented programming language. Emphasis on the basics of good programming techniques and style. Extensive practice in designing, implementing, and debugging small programs. Use of variable, if-statement, looping, method, and class. Interactive and file I/O. This course is not designed for computer science, software engineering, and computer engineering majors. Graduation Restriction: Credit may not be applied toward graduation for both COMS 2070 and COMS 2270 .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,2270,Object-oriented Programming,4.,"Lecture 3, Laboratory 2.",,,,Credit or concurrent enrollment in MATH 1430 or higher; ( COMS 1270 or CPRE 1850 or SE 1850 or EE 2850),"Computer programming using objects as the mechanism for modularity, abstraction, and code reuse. Instance variables, methods, and encapsulation. Review of control structures for conditionals and iteration. Developing algorithms on strings, arrays, and lists. Recursion, searching, and sorting. Text parsing and file I/O. Interfaces, inheritance, polymorphism, and abstract classes. Exception handling. Tools for unit testing and debugging. Emphasis on a disciplined approach to specification, code development, and testing. Course intended for majors in computer science and related fields. Graduation Restriction: Credit may not be applied toward graduation for both COMS 2070 and 2270.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,2280,Introduction to Data Structures,3.,"Lecture 3, Discussion 1.",,,,Minimum of C- in COMS 2270 ; credit or concurrent enrollment in MATH 1650,"An object-oriented approach to data structures and algorithms. Object-oriented analysis, design, and programming, with emphasis on data abstraction, inheritance and subtype polymorphism, and generics. Abstract data type specification and correctness. Collections including lists, stacks, queues, trees, heaps, maps, hash tables, and graphs. Big-O notation and algorithm analysis. Searching and sorting. Graph search and shortest path algorithms. Emphasis on object-oriented design, writing and documenting medium-sized programs. This course is designed for majors.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,2300,Discrete Computational Structures,3.,"Lecture 3, Discussion 1.",,,,Minimum of C- in COMS 2270 and MATH 1650 ; ENGL 1500,"Concepts in discrete mathematics as applied to computer science. Logic, set theory, functions, relations, cardinality of sets, combinatorics, graph theory and number theory. Proof techniques, induction and recursion.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,2520,Linux Operating System Essentials,3.,Lecture 3.,,,,CPRE 1850 or SE 1850 or COMS 1270 or COMS 2070 or COMS 2270,"Introduction to installation, utilization, and administration of Linux systems. Topics include open-source software, package installation and management, shell programming and command-line utilities, process and service management, account management, network configuration, file sharing, interoperation with other computers and operating systems, automation, and system security.",Fall,https://catalog.iastate.edu/azcourses/com_s/
COMS,2900,Independent Study,1-30.,,,,True,Instructor Permission for Course,Graduation Restriction: No more than 6 credits of COMS 2900 or COMS 2900H may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
COMS,2900H,Independent Study: Honors,1-30.,,,,True,Permission of Instructor; Membership in the University Honors Program,Graduation Restriction: No more than 6 credits of COMS 2900 or COMS 2900H may be counted toward graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,2950,Programming-Based Problem Solving Practices,1.,Lecture 1.,,,True,COMS 2070 or COMS 2270,"Basics of problem solving using programming techniques. Development and implementation of simple to advanced data structures and algorithms, evaluation of problem difficulty, design and implementation of solutions, debugging, and working under time pressure.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,3090,Software Development Practices,3.,"Lecture 3, Discussion 1.",,,,Minimum of C- in ( COMS 2280 ; MATH 1650 ),"Practical introduction to methods for managing software development. Software engineering concepts, practices and tools. Requirements analysis, structured and object-oriented design, coding, testing, and maintenance. Software process models, software tools and environments. Programming projects that provide exposure to information management techniques, client/server model, networking and communication.","Fall, Spring",https://catalog.iastate.edu/azcourses/com_s/
COMS,3110,Introduction to the Design and Analysis of Algorithms,3.,"Lecture 3, Discussion 1.",,,,"Minimum of C- in ( COMS 2280 ; MATH 1660 , ENGL 1500 ); ( COMS 2300 or CPRE 3100 )","Basic techniques for design and analysis of algorithms. Sorting, searching, graph algorithms, string matching, algorithms for secure computing such as RSA, and NP-completeness. Design techniques such as dynamic programming, divide and conquer, greedy method, and approximation. Asymptotic, worst-case, average-case and amortized analyses. Topics from advanced data structures such as balanced trees and hashing. Programming projects.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/com_s/
