subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
COMST,1010,Introduction to Communication Studies,3.,Lecture 3.,,,,,"An introduction to communication theory, the development and functions of communication, and a survey of verbal, nonverbal, interpersonal, small group, organizational, and intercultural communication.",,https://catalog.iastate.edu/azcourses/comst/
COMST,1040,Orientation to Communication Studies,1.,Lecture 1.,,,,Major in Communication Studies,"Orientation to Communication Studies discipline, program requirements and career opportunities. Required of communication studies majors. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/comst/
COMST,2100,Communication and U.S. Diversity,3.,Lecture 3.,,,,,"Introduction to the role of diversity in communication. Developing competent communication with diverse social groups within interpersonal and organizational contexts in the United States. Topics may include structured reflection of one's role in diverse communication experiences, cultural variations in communication mores, impacts of racial/ethnic/gender identities on communication, workplace policies regarding cultural diversity, the intersection of communication and cultural privilege, communication practices that can reduce prejudice/discrimination, and communication characteristics of advocates for diversity. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/comst/
COMST,2110,Interpersonal Communication,3.,Lecture 3.,,,,,"Apply interpersonal communication theory and concepts to daily interactions. Develop knowledge and skills such as listening and responding, conversation management, using and interpreting nonverbals, conflict resolution, among others. Build skills leading to effective interactions in friendships, romances, families, and the workplace. .",,https://catalog.iastate.edu/azcourses/comst/
COMST,2140,Professional Communication,3.,Lecture 3.,,,,,"Develop verbal and nonverbal communication competence in organizational settings, with a particular emphasis on interpersonal skills, salary negotiation, team and meeting facilitation, informational interviewing, and team presentations.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/comst/
COMST,2180,Communication and Conflict Management,3.,Lecture 3.,,,,,"Interactive discussion and application of interpersonal conflict with an understanding of the theories and practices associated with effective conflict management. Major topics include conflict climate, power dynamics, negotiation, mediation, creativity, forgiveness, reconciliation, and workplace conflict. .",,https://catalog.iastate.edu/azcourses/comst/
COMST,3010,Communication Theories,3.,Lecture 3.,,,,COMST 1010 ; 3 additional credits in COMST,"Examination and application of several major theories in the Communication discipline, with particular emphasis on theories underlying interpersonal, small group, organizational, gender, and intercultural communication.",,https://catalog.iastate.edu/azcourses/comst/
COMST,3030,Introduction to Communication Research Methods,3.,Lecture 3.,,,,COMST 1010 and 3 additional credits in COMST,"An introduction to evaluating, analyzing, and conducting communication research. Provides an overview of quantitative and qualitative approaches to communication research that are beneficial to learn communication concepts and solve communication issues.",,https://catalog.iastate.edu/azcourses/comst/
COMST,3100,Intercultural Communication,3.,Lecture 3.,,,,COMST 1010,"Examines the theories, principles and research on intercultural communication to enhance cultural sensitivity and to recognize, accept, and adapt to cultural diversity. Interactive assignments. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/comst/
COMST,3110,Relational Communication,3.,Lecture 3.,,,,,"Examines foundational and contemporary interpersonal communication theories and research on initiating, developing, maintaining, and dissolving close relationships. .",,https://catalog.iastate.edu/azcourses/comst/
COMST,3130,Leadership Communication Theories,3.,Lecture 3.,,,,,"Exploration of the role that communication plays in the leadership process, by using theories of leadership and communication. Key topics include impact of communication on leadership results and the communication dynamics of the leader-follower dyad. Special focus on leaders who are recognized as innovators and/or entrepreneurs in their respective fields, including leaders from the U.S. as well as other nations.","Fall, Spring",https://catalog.iastate.edu/azcourses/comst/
COMST,3140,Organizational Communication,3.,Lecture 3.,,,,COMST 1010,"Explores the centrality of communication in organizational successes and failures. Provides strategies for assessing and improving individual and organizational communication effectiveness. Addresses issues such as leadership, technology, diversity, work-life negotiation, conflict, emotion, conflict, socialization, and organizational culture. .",,https://catalog.iastate.edu/azcourses/comst/
COMST,3170,Small Group Communication,3.,Lecture 3.,,,,,"Apply communication theories and concepts to enhance small group and team functioning. Provides insights into how to improve individual and group communication dynamics. Explores topics such as teamwork, group formation, leadership, group member roles, cohesion, and decision-making.",,https://catalog.iastate.edu/azcourses/comst/
