subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CONE,1100,Leadership and Professionalism in Construction and Design,Required.,Lecture 1.,,,,Instructor Permission for Course,"Orientation to the design and construction industry. Emphasis on teambuilding and professionalism, including teamwork, communication, career opportunities, leadership, and interacting with engineers in other disciplines. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
CONE,1210,Cornerstone Learning Community: Orientation to Academic Life,1.,Laboratory 2.,,,,,"Integration of first-year and transfer students into the engineering profession and the Construction Engineering program. Assignments and activities completed both individually and in learning teams involving teamwork, academic preparation, and study skills. Introduction to construction industry professionals. Teamwork topics include interdisciplinary teamwork, skills for academic success, diversity issues and leadership. Introduction to organization of program, department, college, and university. Overview of faculty, staff, policies, procedures and resources.",Fall,https://catalog.iastate.edu/azcourses/con_e/
CONE,1220,Cornerstone Learning Community: Orientation to Professional Life,1.,Laboratory 2.,,,,,"Continuation of CONE 1210 . Integration of first year and transfer students into the engineering profession. Career preparation, professional ethics, construction research, leadership. Introduction to construction industry professionals including how they interact with engineers in other disciplines. Continued introduction to program, department, college, and university organization. Overview of faculty, staff, policies, procedures and resources.",Spring,https://catalog.iastate.edu/azcourses/con_e/
CONE,2220,Contractor Organization and Management of Construction,3.,"Lecture 2, Laboratory 2.",,,,Credit or concurrent enrollment in ( CHEM 1670 or CHEM 1770 ); Credit or concurrent enrollment ( ABE 1600 or AERE 1600 or BME 1600 or CE 1600 or CHE 1600 or CPRE 1850 or EE 1850 or ENGR 1600 or IE 1600 or ME 1600 or SE 1850); Credit or concurrent enrollment ENGL 1500 ; Credit or concurrent enrollment ENGR 1010 ; Credit or concurrent enrollment LIB 1600 ; Credit or concurrent enrollment MATH 1650 or MATH 1650H; Credit or concurrent enrollment MATH 1660 or MATH 1660H ; Credit or concurrent enrollment PHYS 2310 or PHYS 2310H ; Credit or concurrent enrollment PHYS 2310L,Entry level course for construction engineering: integration of significant engineering and management issues related to construction company operations. Company organization and operations; construction and project administration; construction contracts; project delivery systems; quality management; construction safety; contract and project documents.,"Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
CONE,2410,Construction Materials and Methods,3.,"Lecture 2, Laboratory 3.",,,,Engineering Basic Program Courses,"Introduction to materials and methods of building construction and to construction drawings. Foundation, structural framing, floor, roof, and wall systems. Blueprint reading and quantity takeoff techniques.","Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
CONE,2510,Mechanical/Electrical Materials and Methods,1.,Laboratory 3.,,,,Credit or enrollment in CONE 2410,"Introduction to the materials and methods for mechanical and electrical construction systems and drawings. HVAC, water and waste water, power distribution, lighting, and fire protection. Blueprint reading and quantity takeoff.","Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
CONE,3220,Construction Equipment and Heavy Construction Methods,3.,"Lecture 2, Laboratory 2.",,,,CE 3060 or ( CONE 2220 and CONE 2410 ),Selection and acquisition of construction equipment. Application of engineering fundamentals and economics to performance characteristics and production of equipment. Heavy construction methods and economic applications.,Fall,https://catalog.iastate.edu/azcourses/con_e/
CONE,3400,Concrete and Steel Construction,3.,"Lecture 2, Laboratory 2.",,,,EM 3240 and CONE 2220 or CE 3060,Planning and field engineering for concrete and steel construction. Design and applications of concrete formwork to construction. Erection of structural steel. Emerging industry themes.,"Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
CONE,3520,Mechanical Systems in Buildings,3.,"Lecture 2, Laboratory 2.",,,,( CONE 2220 ; CONE 2510 ; PHYS 2320 ; PHYS 2320L ),"Comprehensive coverage of mechanical systems, plumbing, fire protection. Analysis techniques and design principles for each system. Required comprehensive design project for a major building project.","Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
CONE,3530,Electrical Systems in Buildings,3.,"Lecture 2, Laboratory 2.",,,,Credit or concurrent enrollment in CONE 3520 ; PHYS 2320 or PHYS 2320H ; PHYS 2320L,"Comprehensive coverage of building electrical systems including power, lighting, fire alarm, security and communications. Analysis techniques and design principles for each system. Required comprehensive design project for a major building project.","Fall, Spring",https://catalog.iastate.edu/azcourses/con_e/
