subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CPRE,1310,Introduction to Computer Security Literacy,1.,Lecture 1.,,,,,"Basic concepts of practical computer and Internet security: passwords, firewalls, antivirus software, malware, social networking, surfing the Internet, phishing, and wireless networks. This class is intended for students with little or no background in information technology or security. Basic knowledge of word processing required. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,1610,Programming Practice for Engineers,1.,Lecture 1.,,,,,"Applied introduction to computer programming for engineering students. Topics include variables and objects, control flow, iteration and looping, string processing, and file input/output. Modern software development practices, tooling, and testing. Individual programming assignments and projects.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,1660,Professional Programs Orientation,Required.,Lecture 1.,,,,,"(1-0) Overview of the nature and scope of electrical engineering and computer engineering professions. Overview of portfolios. Departmental rules, advising center operations, degree requirements, program of study planning, career options, and student organizations. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,1840,Computer Engineering Learning Community,1.,Lecture 1.,,,,,"Integration of first-year students into the Computer Engineering program. Assignments and activities involving teamwork, academic preparation, study skills, and preparation for entry into the Computer Engineering profession. Completed both individually and in learning teams under the direction of faculty and peer mentors.",Fall,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,1850,Introduction to Computer Engineering and Problem Solving I,3.,"Lecture 2, Laboratory 2.",,,,( MATH 1430 or satisfactory scores on mathematics placement examinations) OR ( MATH 1650 or satisfactory scores on mathematics placement examinations),"Introduction to Computer Engineering. Project based examples from computer engineering. Individual interactive skills for small and large groups. Computer-based projects. Solving engineering problems and presenting solutions through technical reports. Solution of engineering problems using a programming language. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.",,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,1860,Introduction to Computer Engineering and Problem Solving II,1.,Laboratory 2.,,,,CPRE 1850,Project based examples from computer engineering. Group skills needed to work effectively in teams. Group problem solving. Computer based projects. Technical reports and presentations. Students will work on 2 or 3 self-directed team based projects that are representative of problems faced by computer engineers.,Spring,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,2300,Cyber Security Fundamentals,3.,"Lecture 2, Laboratory 2.",,,,COMS 2270 or EE 2850 or MIS 2070,"Introduction to computer and network infrastructures used to support cyber security. Basic concepts of computer and network configuration used to secure environments. Computer virtualization, network routing and address translation, computer installation and configuration, network monitoring, in a virtual environment. Laboratory experiments and exercises including secure computer and network configuration and management.",Fall,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,2310,Cyber Security Concepts and Tools,3.,"Lecture 2, Laboratory 2.",,,,CPRE 2300 or CYBE 2300,"Basic concepts of practical computer and Internet security and the tools used to protect and attack systems and networks. Computer and network security methods including: user authentication, access control, firewalls, intrusion detection, use of vulnerability assessment tools and methods, and penetration testing. Ethics and legal issues in cyber security will also be covered. Laboratory experiments and exercises including evaluating systems for vulnerabilities, understanding potential exploits of the systems, and defenses for the systems.",Spring,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,2320,Professional and Ethical Issues in Electrical and Computer Engineering,3.,Lecture 3.,,,,COMS 2270 or EE 2850,"Professional and ethical issues in electrical and computer engineering. Soft skills, including communication and leadership skills, and how they relate to the engineering profession. Case studies illustrating ethical decision making in an engineering context and differentiating between moral and professional ethics. Issues of diversity, equity, and inclusion in the engineering profession.",,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,2340,"Legal, Professional, and Ethical Issues in Cyber Systems",3.,Lecture 3.,,,,COMS 2270 or EE 2850 or MIS 2070,"Emphasizes legal, ethical, and professional issues in cyber systems. Other topics include privacy, government regulation, and compliance as applied to professional practice. Guest lecturer from government and industry, as well as discussions including current legal and ethical issues found in the main stream.",Spring,https://catalog.iastate.edu/azcourses/cpr_e/
CPRE,2610,Transfer Orientation,Required.,Lecture 1.,,,,,"Introduction to the College of Engineering and the engineering profession specifically for transfer students. Information concerning university and college policies, procedures, and resources. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/cpr_e/
