subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CRP,2010,The North American Metropolis,3.,"Lecture 2, Laboratory 2.",,,,,Examination of the evolution of American urban centers from the colonial era to the present. Considers the demographic changes and social movements underway in urban America and explores how an understanding of the history of cities provides us with knowledge that we can use to improve our cities today.,"Fall, Spring",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,2110,Digital Design Methods for Landscape Architecture,3.,Lecture 3.,,,,,"Foundational knowledge and basic skills in 2D, 3D, and 4D computer applications used for design development and communication, with emphasis on 3D modeling and workflow interoperability.",Spring,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,2510,Fundamentals of Geographic Information Systems,3.,"Lecture 2, Laboratory 2.",,,,,"Fundamentals of the concepts, models, functions and operations of Geographic Information Systems (GIS). Principals of spatial problems, spatial questions and hypotheses and their solutions based on spatial data, GIS tools and techniques. Integration of concepts and applications through lectures and facilitated labs. Applications from a variety of areas including design; physical, social, and human science; engineering; agriculture; business and medicine, landscape architecture, architecture, urban planning, geology, forestry, biology, and ecology.",Fall,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,2910,World Cities and Globalization,3.,Lecture 3.,,,,,"World cities and globalization in developed and developing countries. Topics include globalization, world cities and regions, uneven economic development, the international division of labor, multinational corporations, international environmentalism, tourism, popular culture and place-based identity. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,2930,Environmental Planning,3.,"Lecture 2, Laboratory 2.",,,,,"Comprehensive overview of the field of environmental relationships and the efforts being made to organize, control, and coordinate environmental, aesthetic, and cultural characteristics of land, air, and water.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3010,Urban Analytical Methods,4.,"Lecture 3, Studio 2.",,,,STAT 1010,"An introduction to the methods and analytical techniques used by planners to study community change. Course includes identification of key sources of planning information and data. Students learn to use quantitative methods for analysis of population, land use, economic and transportation data. Students learn to apply basic analytic methods to community problems and learn the art of effective written, graphic, and oral presentation of data.",Spring,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3020,Plan Analysis and the Development Process,3.,Lecture 3.,,,,CRP 3010,"Course introduces how to read and understand different types of plans, including land use plans, comprehensive plans, transportation plans, parks and recreation plans, housing plans, neighborhood plans, downtown plans, climate action plans. Students will learn plan analysis, staff report writing, presentations to the public and elected officials, and the development proposal process.",,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3200,Urban Geography,3.,Lecture 3.,,,,,"An introduction to urban geography. Study of urban centers, including people and infrastructure. Investigation of the origin and evolution of urban areas and the processes that shape urban change. Topics include urban form, and the social, economic, political, cultural, and institutional factors that shape cities.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3250,Introduction to Housing,3.,Lecture 3.,,,,,Introduction to issues related to the topic of housing in the United States. Particular focus on the social and spatial segmentation of housing in the U.S. and the role of policy in housing production and regulation. Meets U.S. Cultures and Communities Requirement.,Spring,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3300,Practicum,1-3.,,,,True,Major in CRP,"Structured work experience under close supervision of a professional planner. Practical planning experience; relationships between theory and practice, professional responsibilities, and the scope of various planning roles. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3310,Professional Practice Seminar,2.,Lecture 2.,,,,CRP 3010 and Junior classification,"Preparation for working as a planning professional; development of resume and portfolio; discussion of professional ethics and expectations of employers and clients; presentations from planning professionals, and discussion of the range of career choices within the planning profession.",Fall,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3510,Geospatial Analysis and Visualization,3.,"Lecture 2, Laboratory 2.",,,,CRP 2510,"Intermediate GIS course for students who are interested in learning advanced functions and operations of Geographic Information Systems. Principles of spatial problem types and solutions, geographical concepts and tools and techniques will be shared during lecture and several ESRI ArcGIS Pro software components will be used in a facilitated lab setting. Emphasis will be on regional planning and transportation studies, as well as environmental, social and sustainable practices and related applications. Latest GIS applications will be integrated in the coursework to allow visualizing city plans and projects in one place for collaboration among stakeholders.","Fall, Spring",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3760,"Rural, Urban and Regional Economics",3.,Lecture 3.,,,,ECON 1010,"Firm location with respect to regional resources, transport, scale economies, externalities, and policies. Measures of local comparative advantage and specialization. Spatial markets. Population location considering jobs, wages, commuting, and local amenities. Business, residential, and farm land use and value. Migration. Other topics may include market failure, regulation, the product cycle, theories of rural and urban development, developmental policy, firm recruiting, local public goods and public finance, schools, poverty, segregation, and crime.",,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3830,Theory of the Planning Process,3.,Lecture 3.,,,,Junior classification,"The nature of planning and its relation to social and economic planning; levels of planning, place of planning in decision making; steps in the planning process, uses and limitation of knowledge in planning, relation of facts and values.",Fall,https://catalog.iastate.edu/azcourses/c_r_p/
CRP,3910,Field Travel,1-2.,,,,True,Major in CRP,Observation of professional practice and community or regional problems and issues. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,4100,Professional Work Experience,Required.,,,,True,Instructor Permission for Course,Approved professional work experience.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/c_r_p/
CRP,4160,Urban Design and Practice,6.,,,,,CRP 3010,Principles of urban design and their application to residential and commercial development in studio projects.,Spring,https://catalog.iastate.edu/azcourses/c_r_p/
