subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CYBSC,1310,Introduction to Computer Security Literacy,1.,Lecture 1.,,,,,"Basic concepts of practical computer and Internet security: passwords, firewalls, antivirus software, malware, social networking, surfing the Internet, phishing, and wireless networks. This class is intended for students with little or no background in information technology or security. Basic knowledge of word processing required. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,3320,Cyber Defense Competition,1.,Laboratory 2.,,,True,,"Participation in cyber defense competition driven by scenario-based network design. Includes computer system setup, risk assessment and implementation of security systems, as well as defense of computer and network systems against trained attackers. Team based. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,3700,Fundamentals of Network Security,3.,Lecture 3.,,,,,"Fundamentals of network security, including common network protocols, potential security risks, and countermeasures. Network routing and its impact on security.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,3710,Adversarial Thinking,2.,Lecture 2.,,,,,"Mindset and tactics of cyber adversaries. Anticipating and countering cybersecurity threats. Analyzing and predicting the strategies of cyber adversaries, including understanding their motives, methods, and techniques to evade detection. Multi-week team project where students will assume the role of attackers and plan an attack against a fictitious target.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,3720,Fundamentals of Data Security and Privacy,2.,Lecture 2.,,,,,"Introduction and application of basic mechanisms for protecting data. Security issues related to safeguarding sensitive personal and corporate information against inadvertent disclosure. Real-world effects of data breaches on individuals and businesses and the balancing of interests among individuals, government, and enterprises. Emerging technologies that may affect security and privacy concerns. Issues related to developing enterprise data security programs, policies, and procedures that consider the requirements of all relevant constituencies, e.g., technical, business, and legal.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4300,Network Protocols and Security,3.,Lecture 3.,,,,( CPRE 3080 or COMS 2520 or COMS 3520 ) OR CPRE 2880,"Detailed examination of networking standards, protocols, and their implementation. TCP/IP protocol suite, network application protocols. Network security issues, attack and mitigation techniques. Emphasis on laboratory experiments.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4600,Application of Security Literacy,1.,Lecture 1.,,,,ENGL 3140 or ENGL 3140H,"Training of teaching of basic cybersecurity concepts and running effective security awareness campaigns. Communication strategies, collaboration with departments such as HR, and promoting a security culture within organizations. Preparation to become advocates for security awareness in professional settings.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4610,Cyber Exercise Design,1.,Lecture 1.,,,,ENGL 3140 or ENGL 3140H,"Introduction to designing and facilitating cybersecurity exercises, including tabletop exercises and livesimulations. Creation of tabletop exercises and live simulations that enhance cybersecurity awareness,preparedness, and response capabilities. Scenario planning, facilitation skills, post-exercise evaluation,adaptation for various roles, and evaluation using federal guidelines.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4700,Threat Hunting and Intelligence,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720 and CYBSC 4300,"Tools and methods for threat hunting and intelligence gathering to strengthen organizational defense. Techniques for identifying and mitigating cyber threats, utilizing various security tools and intelligence sources.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4710,Digital Forensics and Incident Response,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720 and CYBSC 4300,"Fundamentals of digital forensics and incident response, including evidence collection, analysis, andresponse planning techniques. Preparation to handle security incidents effectively, covering forensicanalysis techniques, evidence collection and handling, response planning, and incident response policydevelopment.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4720,Applications of Cryptography,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720 and CYBSC 4300,"Cryptographic methods for information security, privacy assurance, and authenticity verification.Encryption techniques, cryptographic protocols, secure key management, and digital signatures,emphasizing practical applications in cybersecurity.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4730,Fundamentals of Operating Systems Security,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Introduction of security principles for operating systems, focusing on securing Windows and Linuxenvironments. Access control, privilege management, file system security, memory management, andsystem hardening techniques to protect against vulnerabilities. Exploring vulnerabilities in operatingsystems, analysis of security features, and defensive strategies for enhancing OS security.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4740,Fundamentals of Cloud Security,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Introduction to cloud security concepts, architectural principles, secure cloud design, and best practicesfor cloud service providers and users. Cloud security principles, including secure design, data protection, identity management, and regulatory compliance. Protecting cloud environments from uniquecybersecurity threats.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4750,Fundamentals of Software Security,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Overview of secure software development, common vulnerabilities, secure coding practices, and testingmethods. Basic secure coding practices, threat modeling, vulnerability assessment, and techniques formitigating risks such as buffer overflows, injection attacks, and improper input validation.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4760,Fundamentals of Cybersecurity Scripting,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Scripting for cybersecurity tasks, focusing on automation and custom tool development. Basics ofscripting languages commonly used in cybersecurity, such as Python and PowerShell. Writing scripts for data parsing, log analysis, and network monitoring, as well as developing custom scripts for security tasks like vulnerability scanning and incident response.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4770,Fundamentals of Cyber Resilience,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Strategies for designing systems that can withstand and recover from cyber-attacks, detection, response, and recovery from cyber-attacks while minimizing impact. Resilience planning, incident response, maintaining operational continuity, and strategies to ensure operational continuity under adverse conditions.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4780,Fundamentals of Cyber-Physical and Critical Infrastructure Security,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Cybersecurity challenges unique to cyber-physical systems and critical infrastructure sectors. Securingcyber-physical systems, critical infrastructure, threat modeling, risk management, and incident response. Emphasizes security challenges in energy, manufacturing, agriculture, and transportation sectors.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4790,Fundamentals of Web Security,2.,Lecture 2.,,,,CYBSC 3710 and CYBSC 3720,"Securing web applications by addressing vulnerabilities such as SQL injection and cross-site scripting.Fundamental principles of web security and secure applications. SQL injection, cross-site scripting(XSS), authentication and session management, and the Open Web Application Security Project(OWASP) Top Ten.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,4890,Cybersecurity Capstone,3.,Lecture 3.,,,,"CYBSC 3710 , CYBSC 3720 , CYBSC 4300 , and 8 additional credits CYBSC courses","Culminating capstone experience. Development a cybersecurity solution, including threat assessment,architecture design, incident response plan, and final plan presentation.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5300,Network Protocols and Security,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Detailed examination of networking standards, protocols, and their implementation. TCP/IP protocol suite, network application protocols. Network security issues, attack and mitigation techniques. Emphasis on laboratory experiments.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5310,Information System Security,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Computer, software, and data security: basic cryptography, security policies, multilevel security models, attack and protection mechanisms, legal and ethical issues.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5320,Information Warfare,3.,Lecture 3.,,,,CPRE 4300 or 5300,"Computer system and network security: implementation, configuration, testing of security software and hardware, network monitoring. Authentication, firewalls, vulnerabilities, exploits, countermeasures. Study and use of attack tools. Ethics in cyber security. Emphasis on laboratory experiments.",Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5330,Cryptography,3.,Lecture 3.,,,,"Graduate Standing or ( MATH 2300 / COMS 2300 , MATH 3010 , and CPRE 3100 )","Basic concepts of secure communication, DES and AES, public-key cryptosystems, elliptic curves, hash algorithms, digital signatures, applications. Relevant material on number theory and finite fields.",Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5340,Legal and Ethical Issues in Cyber Security,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Legal and ethical issues in computer security. State and local codes and regulations. Privacy issues.,Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5350,Steganography and Digital Image Forensics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Basic principles of covert communication, steganalysis, and forensic analysis for digital images. Steganographic security and capacity, matrix embedding, blind attacks, image forensic detection and device identification techniques. Related material on coding theory, statistics, image processing, pattern recognition.",Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5360,Computer and Network Forensics,3.,Lecture 3.,,,,CPRE 4890 OR CPRE 4300 OR CPRE 5300,"Fundamentals of computer and network forensics, forensic duplication and analysis, network surveillance, intrusion detection and response, incident response, anonymity and pseudonymity, privacy-protection techniques, cyber law, computer security policies and guidelines, court testimony and report writing, and case studies. Emphasis on hands-on experiments.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5380,Reverse Engineering and Security Testing,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Techniques and tools for understanding the behavior of software/hardware systems based on reverse engineering. Flaw hypothesis, black, grey, and white box testing as well as other methods for testing the security of software systems. Discussion of counter-reverse engineering techniques.",Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5600,Data-Driven Security and Privacy,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examination of applications of machine learning and big data techniques to various security and privacy problems, as well as secure and privacy-preserving machine learning algorithms. Offered irregularly.",Spring,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,5920,Seminar in Cyber Security,1-3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,Projects or seminar in Cyber Security.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,6310,Cyber Security Operations Practicum,3.,Lecture 1.,,,True,,"Practical experience in cyber operations. Cyber security threat analysis, malware analysis, and intrusion detection management. Cyber security data analysis methods. Pen testing tools and techniques. Weekly threat analysis briefings. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,6320,Cyber Security Capstone Design,3.,Lecture 3.,,,,,"Capstone design course which integrates the security design process. Design of a security policy. Creation of a security plan. Implementation of the security plan. The students will attack each other's secure environments in an effort to defeat the security systems. Students evaluate the security plans and the performance of the plans. Social, political and ethics issues. Student self-evaluation, journaling, final written report.",,https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,6340,Current Research Problems in Cyber Security,3.,Lecture 3.,,,True,,"Discussion of complex cyber security problems. Students will learn how to apply research techniques, think clearly about these issues, formulate and analyze potential solutions, and communicate their results. Working in small groups under the mentorship of technical clients from government and industry, each student will formulate, carry out, and present original research on complex current cybersecurity problems of interest to the nation. This course will be run in a synchronized distance fashion, coordinating some activities with our partner schools and our technical clients.","Fall, Spring",https://catalog.iastate.edu/azcourses/cybersecurity/
CYBSC,6970,Cyber Security Summer Internship,Required.,,,,,,One semester and one summer maximum per academic year professional work period. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/cybersecurity/
