subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
DH,5010,Research Methods and Ethics of Health Technology,2.,Lecture 2.,,,,Admission to Digital Health graduate program or Permission of Program Director,"Multidisciplinary nature of harnessing technology in health initiatives. Evolution of digital health, agile methodologies for designing interventions, and symbiotic relationships of innovation and health systems efficiency. Funding strategies and business models for digital health startups.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dh/
DH,5020,Foundations of Digital Health,2.,Lecture 2.,,,,Admission to Digital Health graduate program or Permission of Program Director,"Methods and techniques for designing and interpreting research in the digital health ecosystem. Ethical, legal, and regulatory dimensions of health technologies to critically appraise research and assess the ethics of various health technologies including wearables, apps, and social media. Ethical intricacies and regulatory landscape of emerging health innovations.",Fall,https://catalog.iastate.edu/azcourses/dh/
DH,5160,Analytics and AI for Health Strategies,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Structured query language (SQL), power BI/Tableau BI, R/Python, machine learning, and artificial intelligence (AI) to analyze exercise and health data. Data analytics applications and health systems, data mining and visualization, predictive modeling for health outcomes.",Spring,https://catalog.iastate.edu/azcourses/dh/
DH,5680,"Behavioral Health and Technology: Strategies for Digital Adoption, Policy, and Impact",3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Anthropology of technology and the influence on health and well-being. Strategies for effective health technology adoption and digital tools for promoting physical activity, wellness, and adherence to health guidelines. Evidence-based policy making, regulatory frameworks, and government initiatives in digital health.",Fall,https://catalog.iastate.edu/azcourses/dh/
DH,5690,Digital Health Solutions for Physical Activity and Health,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Digital tools from wearables, mobile apps, and telehealth platforms. Methods for assessing digital health interventions, scrutinize design for health solutions, cost effectiveness analysis, and health outcomes assessment.",Fall,https://catalog.iastate.edu/azcourses/dh/
DH,5710,Health Data Management and Interoperability,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Strategies to mobilize health information across organizations, regions, and systems using electronic health records and health information exchange. Data sharing across health systems, data security, HIPAA regulations, privacy protection, risk management, and incident response. Ethical dimensions of health technology and data privacy in the digital age. .",Summer,https://catalog.iastate.edu/azcourses/dh/
DH,5720,Prognostic Insights and Innovative Rehabilitation Techniques for Advancing Health,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Digital tools for rehabilitation to enhance accessibility, affordability, and scalability. Strategies, frameworks, and determinants for the successful implementation and evaluation of digital interventions, transforming the landscape of healthcare practices such as physical therapy. .",Spring,https://catalog.iastate.edu/azcourses/dh/
DH,5730,Precision Medicine: Tailoring Digital Health Solutions,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Digital technology and personalized treatment plans for exercise and nutrition prescriptions, disease prevention, and wellness promotion. Digital tools for precision in prognosis and rehabilitation. Delivery of health and exercise guidelines with Motivational Interviewing (MI). Tailoring prescriptions and guidelines according to individual goals.",Spring,https://catalog.iastate.edu/azcourses/dh/
DH,5740,Digital Disease Management and Public Health,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,Digital technologies and disease management strategies for individuals and populations. Design of digital interventions with innovative tools such as wearables and implants to address public health challenges. Technology-driven disease management and public health initiatives.,Summer,https://catalog.iastate.edu/azcourses/dh/
DH,5750,Leading Inter-Professional Teams in Health Initiatives,3.,Lecture 3.,,,,(Admission to Digital Health graduate program; credit or concurrent enrollment in DH 5010; credit or concurrent enrollment in DH 5020) or permission of Program Director,"Core principles of leadership and their application in multidisciplinary health settings. Organizational outcomes and metrics to drive success in health initiatives, dynamics of team cohesion, and effective collaboration. Conflict resolution skills to navigate interprofessional healthcare teams. .",Summer,https://catalog.iastate.edu/azcourses/dh/
DH,5900X,Special Topics: Digital Health,1-9.,Lecture 9.,,,True,Instructor Permission for Course,Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dh/
DH,5930,Capstone Project in Digital Health,1-3.,Lecture 3.,,,True,(18 credits completed or in process from Digital Health courses) or Permission of Program Director,"The Digital Health Capstone Project shows substantial evidence of individual accomplishment and serves as a culminating experience for students in the Master of Digital Health program. It provides an opportunity for students to demonstrate their understanding of digital health concepts, apply their acquired skills, and integrate their knowledge into a substantial project. The project can be an applied internship in collaboration with industry partners or healthcare organization, a literature review and analysis, completed either individually or in groups, and will involve documentation and a presentation to faculty and students. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dh/
