subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
DIET,5110,Research Methods,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,An overview of diverse research approaches focusing on methods for collecting and analyzing quantitative and qualitative data.,"Fall, Spring",https://catalog.iastate.edu/azcourses/diet/
DIET,5120,Nutritional Epidemiology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Important issues related to designing, conducting, and interpreting research on the role of diet or physical activity in the development of disease (& health) in human populations. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5260,Obesity Across the Lifespan,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Exploration of the affects that obesity has on public health, the healthcare system, and society in general. Overview of strategies to prevent obesity across the lifespan.",Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5300,Nutrition and Wellness,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Addresses wellness promotion through nutrition. Nutritional risk and protective factors will be examined in relation to public health and individual nutrition.,Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5310,Nutrition Therapy for Eating Disorders,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"An online study of eating disorders management and nutrition care. Topics include eating disorders medical complications, clinical care guidelines, basic pharmacology, clinical nutrition education, nutrition care planning, psychology of eating disorders, team collaboration, and therapeutic modalities for nutrition counseling.",Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5320,Maternal and Child Nutrition,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Critical examination of behavioral, physiological, and public health issues impacting dietary and nutritional factors that support normal growth and development. Content focuses on early stages of the life cycle: gestation, lactation, infancy, preschool, school age, and adolescence. Offered even-numbered years.",Summer,https://catalog.iastate.edu/azcourses/diet/
DIET,5340,Nutrition Education in the Community,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Principles and practices of teaching individuals and groups to translate nutrition knowledge into action. Emphasis on research in and evaluation of nutrition education.,Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5380,Nutrition: A Focus on Life Stages,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Explores influence of normal physiological stresses on nutritional needs throughout the life span. Evaluates dietary intake and identification of appropriate community nutrition services in on-line discussions. Specific considerations, such as the influence of age and cultural heritage, are incorporated.",,https://catalog.iastate.edu/azcourses/diet/
DIET,5400,Nutrition and Physical Activity in Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,WWW only. Basic physiologic changes during aging and their impacts in health and disease. The focus will be on successful aging with special emphasis on physical activity and nutrition. Practical application to community settings is addressed.,Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5410,Food Culture,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Survey of topics that affect how we perceive food in the modern world. Food is examined as a badge of cultural identity, focus of media scrutiny and promotion, symbol of religion, and driver of technology. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5440,Pediatric Clinical Nutrition,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Pediatric Clinical Nutrition.,Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5460,Phytochemicals,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Overview of phytochemicals (non-nutritive biologically active compounds) from fruits, vegetables, cereals and oilseeds. Covers recent findings of chemistry, physiological functions, and potential health implications of phytochemicals. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5470,Functional Foods in Chronic Disease Prevention,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examination of nutritional science, food science, regulatory principles, and nutrient metabolism to understand and explain functional foods, nutraceuticals, and dietary supplements. Additionally students will evaluate the biochemical basis, technologies, legal requirements, and clinical assessment in the marketplace. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5480,Nutrition and Physical Activity Assessment,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to a variety of nutrition and physical activity assessment tools. Opportunity to discuss the strengths and weaknesses of different tools and gain experience collecting, analyzing, and interpreting nutrition and physical activity data. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5510,"Advanced Nutrition: Nutrigenomics, Nutrigenetics & Advanced Lipid Metabolism in Human Nutrition",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Exploration and integration of topics and ideas that are at the forefront of the field of nutritional science. Examination of topics that are new and/or controversial and have implications that range from the cellular/molecular/biochemical level up to clinical/educational level. Emphasis on the integrative and complex nature of human nutrition research from basic science to clinical studies to population studies and dietary recommendations.,Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5540,Statistics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Tools used to make statistical decisions. Major emphasis on explanation and understanding of important concepts involved; basic theme is understanding of data and methods used to analyze such data. Offered irregularly.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/diet/
DIET,5550,Public Health Nutrition,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examines U.S. public health and nutrition concerns in diverse U.S. populations, examines nutritional status in communities, looks at health communication, and considers nutrition policies and community-based nutrition interventions. Students explore roles of dietitians, nutritionists, and others in developing and delivering nutrition policies and interventions in U.S. communities.","Fall, Spring",https://catalog.iastate.edu/azcourses/diet/
DIET,5560,Micronutrients in Human Nutrition,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Interrelationships of micronutrients in terms of biochemistry, physiology, genetics, and nutrition. Emphasis on developing understanding of how the coordination of structure and function is related to metabolic needs of the cell and its response to the environment. This integrated approach forms the basis for evaluating the micronutrient needs of humans in both normal and altered metabolic states.","Spring, Summer",https://catalog.iastate.edu/azcourses/diet/
DIET,5580,Advanced Human Nutrition: Macronutrients,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Integration of the molecular, cellular and physiological aspects of macronutrients and energy metabolism in mammalian systems. Dietary energy, carbohydrates, fiber, lipids, proteins, their interactions, metabolic consequences, and major research methodologies.",Summer,https://catalog.iastate.edu/azcourses/diet/
DIET,5600,Advanced Medical Nutrition Therapy,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Pathophysiology of selected acute and chronic disease states and their associated medical problems. Specific attention directed to medical nutrition needs of patients in the treatment of each disease state.,Summer,https://catalog.iastate.edu/azcourses/diet/
DIET,5650,International Nutrition and World Hunger,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Identification and assessment of malnutrition in low-income countries. Social, cultural, political, economic, and geographic determinants of malnutrition. Protein-energy malnutrition, vitamin and mineral deficiencies. Intervention approaches; international efforts and local sustainability.",Fall,https://catalog.iastate.edu/azcourses/diet/
DIET,5660,Nutrition Counseling and Education Methods,3.,,,,,Graduate Standing or Permission of Instructor,"Application of counseling and learning theories with individuals and groups in community and clinical settings. Includes discussion and experience in building rapport, assessment, diagnosis, intervention, monitoring, evaluation, and documentation. Literature review of specific counseling and learning theories.","Fall, Spring",https://catalog.iastate.edu/azcourses/diet/
DIET,5680,Entrepreneurship Theory and Practice,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Definition and discussion of entrepreneurship and its importance to economic and business environment. Offered odd-numbered years.,Summer,https://catalog.iastate.edu/azcourses/diet/
DIET,5690,Dietary and Herbal Supplements,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Develop skills to partner with patients in making dietary supplement decisions. Explore the safe, efficacious use of botanicals and supplements in nutritional support of aging, maternal health and wellness. Discussions on supplementation in the prevention and treatment of chronic disease include: arthritis, cancer, cardiovascular, diabetes, digestive, liver and renal disorders.",Summer,https://catalog.iastate.edu/azcourses/diet/
DIET,5700,Nutrition and Human Performance,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Develop an understanding of nutrition based on knowledge of the biochemical and physiological process and functions of specific nutrients in meeting nutritional requirements. Emphasis on the relationship of optimal nutrition and physical efficiency and performance.,Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5710,Foundation of Leadership in Dietetics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Using leadership theories to develop the fundamental concepts and skills to bridge the gap between theory and practice. Students will be able to successfully evaluate classic and contemporary leadership theories, investigate current leadership trends and identify positive applications in the dietetics community.",Summer,https://catalog.iastate.edu/azcourses/diet/
DIET,5720,Current Issues or Trends,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Overview of current topics, issues, and trends in dietetics practice.","Fall, Spring",https://catalog.iastate.edu/azcourses/diet/
DIET,5740,Nutrition and Immunology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Principles and issues related to nutrition and immunology. Impact of nutrients and nutritional status on immune responses. Impact of disease states on nutritional status. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5760,Diabetes Medical Nutrition Therapy,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"An in-depth study of diabetes management with emphasis in nutrition care. Topics will include diabetes pathophysiology, clinical care guidelines, basic pharmacology, clinical nutrition education and counseling strategies, and nutrition care planning.",,https://catalog.iastate.edu/azcourses/diet/
DIET,5970,Nutritional Aspects of Oncology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Understanding of basic cancer biology and methodology used to study nutrition and cancer relationships. Using current research as a basis, the role of nutrition in specific cancers will be explored. Students will learn about sources of information for cancer prevention programs, and how to apply this information to clinical patient management. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5980,Clinical Aspects of Nutrition Support,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Specialized nutrition assessment and support. Review of energy expenditure and substrate utilization in specific disease states. Current Methods for the initiation and management of enteral and parenteral nutrition therapy including access, metabolic and mechanical complications. Evaluation of nutrition support methodology in selected disease states.",Spring,https://catalog.iastate.edu/azcourses/diet/
DIET,5990,Creative Component,1-30.,,,,True,Graduate Standing or Permission of Instructor,For non-thesis option only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/diet/
