subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
DSNS,1020,Design Studio I,4.,"Lecture 1, Studio 6.",,,,,"A foundation design studio exploring twoand three-dimensional design. Emphasis on fundamental skills and ideas shared across design disciplines. Creative processes, visual order, materials, and critical thinking are investigated through studio projects. Lectures and discussions cover the topics introduced in studios.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1100,Design Exchange Seminar I,1.,Studio 2.,,,,,Orientation to the College of Design. Introduction to the design disciplines and studio pedagogy.,Fall,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1110,Design Exchange Seminar II,1.,Studio 2.,,,,,Development and clarification of career and academic plans.,Spring,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1150,Design Collaborative Seminar,1.,Lecture 1.,,,,,Orientation to the College of Design. Introduction to the design disciplines and studio pedagogy.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1310,Drawing I,4.,"Lecture 1, Studio 6.",,,,,"An introduction to methods of visual thinking and drawing through studio experiences and lectures. All design fields utilize visual communication and drawing. Focus on the use of drawing as a method for creative problem solving, design development and visual communication. Explore, from observation and imagination, the use of fast sketching and in-depth drawing, using various scales, mediums and processes.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1320,Digital Design Literacy,1.,Lecture 1.,,,,Admission to a College of Design program,"Introduction to cross-disciplinary concepts on digital literacy. Covers basic computer fundamentals, addresses file and image handling, illustrates the basic principles of documentation, demonstrates how to effectively present your work, and introduces the basic software necessary for design disciplines.","Fall, Spring",https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1450,Diversity in Art,1.,Lecture 1.,,,True,,"Discussion on issues of diversity and inclusion utilizing the Art on Campus and University's Permanent Collection. Topics include ethnic heritage, family background, religious traditions, and interpersonal relationships, with a significant focus on instilling visual analysis skills.",Spring,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,1830,Design in Context,3.,"Discussion 1, Lecture 2.",,,,,"Explores designed media, objects, places, spaces, structures, and systems as products of varied and often intersecting contexts. Using historical and contemporary case studies, investigates how cultural, economic, environmental, spatial, social, and temporal contexts, among others, affect design. Explores in particular how design addresses complex and multifaceted problems.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,2320,Digital Design Communications,3.,Lecture 3.,,,,,"Introductory investigations of various digital design media to develop multi-dimensional problem solving, digital communication skills and perceptual sensitivity. Open to all university majors.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3010,Study Abroad Preparation Seminar,1.,Lecture 1.,,,True,,"Cultural introduction to host country, introduction to faculty sponsor and program of study, the particulars of traveling and living abroad, and financial and logistical preparations. Guest lectures. Required of all students planning to participate in a College of Design study abroad program for 9 or more credits. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3020,Design Leadership Seminar,2.,"Lecture 1, Studio 2.",,,True,,"For students serving as peer mentors for the Core Design Program, under faculty supervision. Development of teaching and leadership skills within the context of design education experiences. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3030,Design Ambassadors,1-2.,"Lecture 1, Studio 2.",,,True,Instructor Permission for Course,"Opportunity to strengthen leadership, communication and presentation skills. Introduction to student development theory. Students participate in collaborative projects focused on prospective design students. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3040,Global Challenges: Intro to UN Sustainable Development Goals,3.,Lecture 3.,,,,,"The United Nations Sustainable Development Goals - also known as the SDGs or the Global Goals - cover a wide range of sustainability issues; highlighting local, national and international priority areas to end poverty and hunger, improve health and education, make cities more sustainable and combat climate change. Students are empowered & challenged to become self-directed as they explore each issue individually and collectively from a personal, academic, and professional perspective. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3100,Practical Experience,Required.,,,,,Instructor Permission for Course,Independent educational enrichment through practical experience. Students must register for this course prior to commencing each term. Available only to students taking course loads of eleven credits or less. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3320,Multi-Dimensional Digital Design Communication,3.,Lecture 3.,,,,ARCH 2300 or ARTGR 2750 or DSNS 2320 or ART 2120,"Investigations if interoperable digital-design tools, techniques and methods directed at human scale interactive hybrid design from ideation to visualization, synthesis to analysis, and realization to fabrication.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3330,Time-Based Digital Media,3.,Lecture 3.,,,,ARCH 2300 or ARTGR 2750 or DSNS 2320 or ART 2120,"Introduction to various time-based digital media tools to develop basic skills including sequencing, storytelling, animation, sound editing, and video production.",Spring,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3400,Design Entrepreneurship,3.,Lecture 3.,,,,,"Focus on the interconnection between entrepreneurial thinking and applied design practices of innovation. Explores several business management tools, models and frameworks, relating it to the development of design projects. Critical areas for successful growth, open innovation, and entrepreneurial mindset. Designer entrepreneurs are more attuned to the social and meaningful values of their creations, than economic growth for an industrial venture. Social impact, inclusive responsibility, future foresight and change mindset are the key motors of their dive into innovation and creative problem-solving. By developing an attitude towards risk-taking, initiative, uncertainty and creative leaps, the course is substantiated by strategy planning and leadership skill sets that allow students to turn their innovative ideas and conceptual solutions into products (or services or experiences), and to distribute them in a viable market and/or a business venture.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,3450X,Design Justice,3.,Lecture 3.,,,True,,"Introduction to concepts of equity, inclusion, and social justice in relationship to the fields and practices of design. Students examine how art, design, and planning influence institutions capacity to support, educate, liberate, and or oppress those who engage with them.",Spring,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4450,Public Art/Public Space,3.,Lecture 3.,,,,Junior classification,"Exploration of the history, precedents, and practice of public art and public space with a focus on developments since 1970 in the United States and abroad. Course includes development of a proposal for a site specific work of art.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4460,Interdisciplinary Design Studio,4-6.,Studio 12.,,,True,Instructor Permission for Course,Advanced interdisciplinary design projects.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4460H,Interdisciplinary Design Studio,5-7.,Studio 12.,,,True,Permission of Instructor; Membership in the University Honors Program,Advanced interdisciplinary design projects.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900A,Independent Study: History,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900B,Independent Study: Technology,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900C,Independent Study: Communications,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900D,Independent Study: Design,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900E,Independent Study: Entrepreneurship,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900F,Independent Study: Social/Behavioral,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900G,Independent Study: Outreach,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900H,Independent Study: Honors,1-4.,,,,True,Department Permission for Course; Membership in the University Honors Program,Independent investigation of a topic of special interest to the student.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4900I,Independent Study: Sustainability,1-4.,,,,True,Department Permission for Course,Independent investigation of a topic of special interest to the student. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,4920,Introduction to Italian Culture,1.,Lecture 1.,,,True,Instructor Permission for Course,"Introduction to Italian contemporary culture for design students, including food, religion, fashion, politics, media, and social mores.",,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,5010,Introduction to Research Design,3.,Lecture 3.,,,,,Introduction to research design and methodology in social science research. Essential knowledge and skills required to frame and conduct research independently. Emphasizes various aspects of research design including: foundations of research; understanding research -related concepts; research ethics; developing research questions; reviewing literature and theory; critiquing and evaluating research studies; exploring data collection and analysis; writing research proposal and presenting findings to a diverse audience.,Fall,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,5460,Interdisciplinary Design Studio,4-6.,Studio 12.,,,True,Graduate or senior level status or Permission of Instructor,Advanced interdisciplinary design projects.,,https://catalog.iastate.edu/azcourses/dsn_s/
DSNS,5900,Special Topics,1-4.,,,,True,Instructor Permission for Course,Independent investigation of a topic of special interest to the student.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/dsn_s/
