subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ECON,1010,Principles of Microeconomics,3.,Lecture 3.,,,,,"Resource allocation, opportunity cost, comparative and absolute advantage. Supply and demand. Marginal analysis. Theories of production and consumption, pricing, and the market system. Perfect and imperfect competition and strategic behavior. Factor markets. Present discounted value.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/econ/
ECON,1010H,Principles of Microeconomics: Honors,3.,Lecture 3.,,,,Membership in the University Honors Program,"Resource allocation, opportunity cost, comparative and absolute advantage. Supply and demand. Marginal analysis. Theories of production and consumption, pricing, and the market system. Perfect and imperfect competition and strategic behavior. Factor markets. Present discounted value.",,https://catalog.iastate.edu/azcourses/econ/
ECON,1010L,Laboratory in Principles of Microeconomics,1.,Laboratory 2.,,,,,Discussion of material typically covered in ECON 1010 . Application of economic principles to real world problems. Economic principles and basic business management concepts applied to decision-making in agribusiness operations.,Fall,https://catalog.iastate.edu/azcourses/econ/
ECON,1020,Principles of Macroeconomics,3.,Lecture 3.,,,,,"Measurement of macro variables and general macro identities. Classical models of full employment. Production and growth. Savings and investment. Employment and unemployment. Money, inflation, and price levels. Operation of the U.S. banking system. Fiscal and monetary policy. Elements of international finance. ECON 1010 recommended.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/econ/
ECON,1020H,Principles of Macroeconomics: Honors,3.,Lecture 3.,,,,Membership in the University Honors Program,"Measurement of macro variables and general macro identities. Classical models of full employment. Production and growth. Savings and investment. Employment and unemployment. Money, inflation, and price levels. Operation of the U.S. banking system. Fiscal and monetary policy. Elements of international finance. ECON 1010 recommended.",,https://catalog.iastate.edu/azcourses/econ/
ECON,1030X,Introduction to Economics: Real World Applications,3.,Lecture 3.,,,,,"Introduction to key economics concepts in the context of current events and real-world questions. Topics will address some or all of the following concepts: market supply and demand, consumer and producer behavior, government policy and regulation, market structure, market failures, time value of money, inflation, gross domestic product, economic growth, labor markets, financial markets, and international trade. Cannot be used as a substitute for ECON 1010 or ECON 1020 prerequisite.",,https://catalog.iastate.edu/azcourses/econ/
ECON,1100,Orientation in Agricultural Business,1.,"Discussion 0.5, Lecture 0.5.",,,,,Orientation course for freshman and new transfer students in agricultural business.,Fall,https://catalog.iastate.edu/azcourses/econ/
ECON,2070,Applied Economic Optimization,3.,"Lecture 2, Discussion 2.",,,,MATH 1510 or MATH 1600 or MATH 1650,"Application of linear algebra, calculus and unconstrained and constrained optimization techniques to economic problems. Learning outcomes include the ability to (i) identify the objective, decision variables and constraints in economic decision problems, (ii) represent elements of an economic problem in simple mathematical models, (iii) identify and apply mathematical tools that can be used to solve the problems, (iv) identify the strengths and limitations of the solution method, and (v) interpret the economic meaning and implications of the solution.","Fall, Spring",https://catalog.iastate.edu/azcourses/econ/
ECON,2300,Farm Business Management,3.,Lecture 3.,,,,ACCT 2840 ; ECON 1010,"Business and economic principles applied to decision making and problem solving in the management of a farm business. Cash flow, partial, enterprise, and whole farm budgeting. Information systems for farm accounting, analysis, and control. Obtaining and managing land, capital, and labor resources. Alternatives for farm business organization and risk management.","Fall, Spring",https://catalog.iastate.edu/azcourses/econ/
ECON,2340,Small Business Management,3.,Lecture 3.,,,,ECON 1010,"An introduction to small business management, entrepreneurship, and economics utilizing a series of case studies. Exploration of issues related to starting or acquiring a new business and development of knowledge and skills for successful management of a small business, with an emphasis on agricultural business.",,https://catalog.iastate.edu/azcourses/econ/
