subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ECP,2010,Child Development - Ages Birth to 3,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Development from conception to age three. Covers major theories and research about development including growth patterns; influences of disabilities; risk and resilience factors; environmental factors and attachment styles; language acquisition; brain development; cognitive; social-emotional, and physical development.",Fall,https://catalog.iastate.edu/azcourses/ecp/
ECP,2020,Child Development - Ages 3 to 8,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Development from ages three through eight. Covers major theories and research about development including growth patterns; influences of disabilities; risk and resilience factors; environmental factors and attachment styles; language acquisition; brain development; cognitive; social-emotional, and physical development.",Spring,https://catalog.iastate.edu/azcourses/ecp/
ECP,3050,Professional Development for Early Childhood Educators,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Exploring the role of a professional as a teacher, administrator, or advocate in early childhood programming. Topics include professionalism and ethics in relation to working with children, families, and professional colleagues.","Fall, Spring",https://catalog.iastate.edu/azcourses/ecp/
ECP,3060,"Health, Safety, and Nutrition",3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Examine culturally relevant elements for planning, promoting, and maintaining healthy and safe environments for young children birth through age 8 and the adults who care for them. Understand childhood illnesses, healthy lifestyles, first aid, and self-care practices. Maintain safe relationships with others and identify and report abuse and neglect. Additional content includes nutrition, food preparation, food safety, food allergies and intolerances, and appropriate feeding practices.",Summer,https://catalog.iastate.edu/azcourses/ecp/
ECP,3070,Social and Emotional Development and Child-Centered Guidance,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Use of developmentally appropriate practice to guide prosocial development, self-regulation, and task engagement of children birth through age 8. Focus is on promoting prosocial behaviors through supportive relationships, classroom management, and carefully planned environments within diverse early learning settings.",Spring,https://catalog.iastate.edu/azcourses/ecp/
ECP,3220,Diversity in the Lives of Young Children and Families,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Understand diversity in the lives of children and families, develop and engage in effective culturally responsive teaching beliefs and practices. Anti-bias education, with intentional teaching practices focused on diversity, equity, inclusion, and belonging provides equitable opportunities and experiences for young children and their families. Issues critical to understanding teaching and learning in today’s diverse society will be explored.",Spring,https://catalog.iastate.edu/azcourses/ecp/
ECP,3230,Working with Families,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Study and apply family system theories to understand variation in parental roles, professional roles, perspectives, relationships, approaches, and challenges in working with diverse families with young children. Develop family-professional partnerships and community connections.",Summer,https://catalog.iastate.edu/azcourses/ecp/
ECP,3240,Technology and Young Children,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Learn how screen time and digital technology impacts young children in educational, home, and community environments, and how technology can be used to enhance teaching and learning. Students will be critical thinkers and informed consumers of technology related to developmentally appropriate uses with young children, program administration, and communication with families.",Fall,https://catalog.iastate.edu/azcourses/ecp/
ECP,4120,Development of Curriculum for Children Ages Birth to 3,3.,Lecture 3.,,,,ECP 2010 and ECP 3070,"Learn and use assessment and documentation to inform curriculum and evaluate developmentally appropriate activities. Learn about effective ways to share curriculum information with families in all developmental domains. Students intentionally plan for diversity in family composition, culture, and individual abilities.",Fall,https://catalog.iastate.edu/azcourses/ecp/
ECP,4130,Development of Curriculum for Children Ages 3 to 8,3.,Lecture 3.,,,,ECP 2020 and ECP 3070,"Learn and use assessment and documentation to inform curriculum and evaluate developmentally appropriate activities. Learn about effective ways to share curriculum information with families in all developmental domains and content areas. Students intentionally plan for diversity in family composition, culture, and individual abilities.",Spring,https://catalog.iastate.edu/azcourses/ecp/
ECP,4240,Assessing Young Children and Their Environments to Enhance Development,3.,Lecture 3.,,,,"ECP 2010 , ECP 2020 , ECP 3050","Select, evaluate, and use appropriate assessment tools for children birth to age 8. Use assessment data to inform decisions about teaching environments, practice, and intervention. Knowledge of ethical considerations, reliability and validity, multicultural sensitivity, in partnership with families and professional colleagues.",Fall,https://catalog.iastate.edu/azcourses/ecp/
ECP,4250,Understanding and Adapting for Developmental Differences,3.,Lecture 3.,,,,"ECP 2010 , ECP 2020 , ECP 3060 , ECP 3070","Knowledge of disability conditions, assessment and identification, interventions in inclusive environments, and collaborations among family members and service providers.",Fall,https://catalog.iastate.edu/azcourses/ecp/
ECP,4400,Practicum Experiences with Young Children,3.,,,,,ECP 2010 or ECP 2020,"Guided learning experience in a professional setting that provides services to young children and families. Learning experiences and projects provide opportunities to use and implement theories and practices learned in other courses. By completing this practicum in an approved early childhood setting, students will meet one of the age groups/program type requirements. NOTE: Prior to enrolling in Practicum Experiences with Young Children students must take six credit hours including Introduction to Early Care and Education in a Mobile Society (Professional Development) and either (a) Child Development - Birth to 3 (Infant/Toddler) or (b) Child Development - 4 to 8 (Early Childhood). The Child Development course not previously taken must be taken concurrently with Practicum.","Fall, Spring",https://catalog.iastate.edu/azcourses/ecp/
ECP,4420,Administration and Supervision in Early Childhood Settings,3.,Lecture 3.,,,,ECP 3060 ; ECP 3070 ; either ECP 4120 or ECP 4130,Study of leadership and management skills for administering community-based early childhood programs for children and their families. Develop a comprehensive understanding of the program planning cycle and administrative practices required to launch and maintain successful programs that meet community and family needs.,Spring,https://catalog.iastate.edu/azcourses/ecp/
ECP,4600,Senior Capstone,6.,,,,,Senior standing and instructor permission,"Focus on integrating, extending, critiquing, and applying knowledge within the early childhood profession through a combination of coursework and hands-on experience. Students will complete field experience or an action research project in their own early childhood setting.","Fall, Spring",https://catalog.iastate.edu/azcourses/ecp/
