subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
EDADM,5410,Principles of Inclusive Educational Leadership,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Basic principles of educational organizations, including an understanding of organizational behavior and theoretical approaches to administration. Exploration of substantive elements related to school reform, such as the change process, current issues in education, and developing a shared vision and mission around inclusive leadership. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5430,Leadership and Evaluation for Equitable Outcomes,3.,Lecture 3.,,,,EDADM 5410,"Exploration and application of school and community-level action research and evaluation strategies to facilitate equitable school outcomes and inclusive learning environments. Develop future school administrators' understanding of action research and evaluation tools to analyze state and locally produced learning data, initiate educational program planning, and assess program effectiveness. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5510,Supervision for Learning Environments,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Study of effective classroom instructional practices that reflect current principles of learning. Understanding and practice of supervisory techniques that support teachers in improving the teaching and learning process, including skills in observational data collection, data analysis, collaboration, and conferencing skills. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5520,Contemporary Issues in Principal Leadership,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Develops an equity-centered principal and building-level leadership understanding of school/work and community context. Emphasis placed on understanding essential tasks of building-level leadership and management; connecting management and operational decisions to mission and vision; building expertise in instructional leadership to improve teacher practice and student learning; leveraging school culture/atmosphere to provide opportunities and success for all students and their learning needs; advocacy for resources; and, examining the role of principals in a changing world. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5540,Leading School Reform,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Study of principles of transformational leadership and collaborative decision-making skills. Leadership activities that facilitate the development of a school culture that embraces change and school reforms that result in high quality schools dedicated to improved student achievement. Clinical field experience hours required in PK-12 school settings.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5560,Leading for Equitable Learning in School Systems,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"This course explores how a leader can establish a vision for equitable and excellent learning. It provides historical, practical and theoretical perspectives on the culture and systems of schools. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5570,Human Resource Development for Learning,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Leadership theory and practice that focuses on the professional development of school staff to promote improved student learning. Principles of school personnel evaluation; legal issues related to hiring, retention, and dismissal; evaluation models for professional and classified staff; and effective professional development models to support lifelong learning and reflective practice. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5580,Diverse Learning Needs,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"This course is designed to address practical and ethical dimensions of school leadership, especially related to disability status, race, gender, language status, and other minoritized statuses. Specific focus will be on the various ecological contexts of the school, the community, and the family as means of making effective use of multiple resources to enrich education. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5590,Curriculum Leadership,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Analysis of PK-12 school curricula (hidden, explicit, and null), including current and historical curriculum and instructional issues; design, development, and evaluation of instructional materials. Promoting a vision of learning and instructional program conducive to student learning and staff professional growth. Examining the role curricula play in maintaining and advancing bodies of thought, norms, and historic attitudes. Draws on critical curriculum leadership theories to promote socially just curriculum leadership. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5750,Education Law and Ethics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examination of constitutional, statutory, and judicial provisions as a basis for the legal operation of educational institutions. Rights and ethical responsibilities of school leaders are examined in relation to their roles and responsibilities with boards, other school personnel, and students. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5900,Special Topics,1-4.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5910A,Supervised Field Experience: Elementary Principal,1-6.,,,,True,Instructor Permission for Course,Supervised on-the-job field experience in special areas.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5910B,Supervised Field Experience: Secondary Principal,1-6.,,,,True,Instructor Permission for Course,Supervised on-the-job field experience in special areas.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5930,Workshops,1-4.,Lecture 4.,,,,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,5990,Creative Component Development,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6150A,Seminar: Client Focus,1-3.,Lecture 3.,,,True,,In-depth study of administrative topics of contemporary interest and importance.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6150B,Seminar: Research,1-3.,Lecture 3.,,,True,,In-depth study of administrative topics of contemporary interest and importance.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6150C,Seminar: Quality Improvement,1-3.,Lecture 3.,,,True,,In-depth study of administrative topics of contemporary interest and importance.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6150D,Seminar: Special Services,1-3.,Lecture 3.,,,True,,In-depth study of administrative topics of contemporary interest and importance.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6150E,Seminar: Assessment,1-3.,Lecture 3.,,,True,,In-depth study of administrative topics of contemporary interest and importance.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6150F,Seminar: Leadership,1-3.,Lecture 3.,,,True,,In-depth study of administrative topics of contemporary interest and importance.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6200,Program Induction Leadership Seminar,3.,Lecture 3.,,,,,"Assessment of candidate skill areas, including communication, leadership, technology, and team facilitation for the development of an individualized learning plan for the program. Orientation to program expectations and leadership challenges in the context of schooling for a global society.",Summer,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6210,Aligning the System for Student Achievement,5.,Lecture 5.,,,,,"Alignment of system goals and leadership theory with student achievement, governance, systems thinking, and communication and collaboration with various publics.",Fall,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6220,Maximizing Human and Financial Resources for Student Achievement,3.,Lecture 3.,,,,,Allocation of system resources to enhance student achievement; human resource development and negotiations; and coaching and evaluating the administrative team.,Spring,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6230,Mid-Program Leadership Seminar,1.,Lecture 1.,,,,,Mid-program assessment of candidate progress and exploration of leadership strategies for working with diverse populations.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6240,School Finance,2.,Lecture 2.,,,,,"General issues of school finance and managing a school district’s financial responsibilities. Role of the federal, state and local governments in educational finance, tax issues, and structures; budgeting procedures; and financial analysis and accountability.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6250,Social Justice Leadership in Organizations,3.,Lecture 4.,,,,,"Study of the principles of transformative leadership and leadership for social justice. Exploration of scholarly and practitioner-based perspectives on equitable school organizations, with particular emphasis on how to develop culturally responsive and community oriented systems-level leadership.",Fall,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6260,Equitable School Finance,3.,Lecture 3.,,,,,"Examine the equitable management of a school district’s financial responsibilities. Coursework addresses the role of the federal, state, and local governments in educational finance, tax issues, and structures; bonding; budgeting procedures; and financial analysis and accountability. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6270,Transformative Instructional Leadership,3.,,,,,,"Accountability strategies for applying leadership theory to student achievement, evaluation, governance, systems thinking, change agentry, and communication and collaboration with various publics. Conduct an analysis of PK-12 school curricula (hidden, explicit, and null), including current and historical curriculum and instructional issues; design, development, and evaluation of instructional materials. Develop a vision of learning and instructional program that promotes student learning and staff professional growth. Examine the role curricula play in maintaining and advancing bodies of thought, norms, and historic attitudes. Utilize critical curriculum leadership theories to promote socially just curriculum and instructional leadership. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6310,Achieving Results Through Accountability Strategies,5.,Lecture 5.,,,,,"Accountability strategies for applying leadership theory to student achievement, governance, systems thinking, change agentry, and communication and collaboration with various publics.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6320,Using System Assets to Create a Culture of Learning,3.,Lecture 3.,,,,,"Leadership strategies to promote a culture of high student achievement; effective human capital management, including recruitment and induction of new personnel; and effective communication with parents and other patrons.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6330,Career Induction Leadership Seminar,1.,Lecture 1.,,,,,Development of entry plan for creating a culture of collaboration; professional growth plan for first year in new position; and authentic performance assessment of values and beliefs platform.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6340,School Business Management and Accountability,2.,Lecture 2.,,,,,"Management of school operations; accountability and ethical business practices; risk management; school plant operations, food service and student transportation.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6350,Ethical Governance and Policy,3.,Lecture 3.,,,,,"Explores ethics to support equitable systems-level administrative practice, with attention to the development of personal and professional codes of ethics and social justice. Examine constitutional, statutory, and judicial provisions as a basis for the legal operation of educational institutions which serve school boards, school personnel, students, and communities. Clinical field experience hours required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6360,Culturally Responsive Leadership,3.,Lecture 3.,,,,,Culturally Responsive Leadership as a pillar of social justice in educational settings. Historical origins of and emerging frameworks of Culturally Responsive Leadership; contextualizing how educational leaders can embed culturally responsive practices. Clinical field hours required in PK-12 school settings.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6370,Equity in HR and Fiscal Management,3.,Lecture 3.,,,,,"Hiring of personnel and management of school operations; accountability and ethical business practices; risk management; school plant operations, food service and student transportation. Additional topics include legal governance, human resources, risk management insurance, support services:transportation, nutrition services, facility planning, and management and fiscal management. Clinical field experience hours are required in PK-12 school settings.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6510,"Ethics, Spirituality, and Social Justice in Administrative Practice",3.,Lecture 3.,,,,,"Exploration of ethical models and practice of educational administrators. Participants develop personal and professional codes of ethics: define concepts of care, spirituality, democracy, equity, diversity, and social justice; and explain how those concepts relate to students' academic and social success. Case studies offer opportunities to consider moral and legal consequences of decision-making. Participants develop their own vision of leadership. Offered even-numbered years.",,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6900,Advanced Special Topics,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6910,Clinical Dilemmas of Practice,1-3.,,,,True,Instructor Permission for Course,Supervised on-the-job field leadership experience in clinical dilemmas of practice. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/edadm/
EDADM,6990,Dissertation Research,1-30.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/edadm/
