subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
EDUC,2010,Educational Technologies in the PK-6 Classroom,3.,"Lecture 2, Laboratory 2.",,,,,"Overview of ways to use educational technologies to support instruction in PK-6 settings. Focus on pedagogical approaches that integrate technologies to support learning in the content areas. Laboratory experiences include development of activities to use web 2.0 tools, apps, multimedia, web page development, digital video and other technologies to facilitate learning and teaching.","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2020,Educational Technologies in the 7-12 Classroom,3.,"Lecture 2, Laboratory 2.",,,,,"Overview of ways to use educational technologies to support instruction in 7-12 settings. Focus on pedagogical approaches that integrate technologies to support learning in the content areas. Laboratory experiences include development of activities to use tool software, multimedia, web page development, digital video and other technologies to facilitate learning and teaching.","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2040,Social Foundations of Education in the United States: Secondary,3.,Lecture 3.,,,,,Introduction to the historical and contemporary landscape of schooling in the United States. Emphasis is placed on topics and tensions in the relationship between school and society (e.g. equity of access to education and competing purposes of education) and the implications of these topics and tensions for teaching and learning at the secondary level in public schools. For prospective teachers in an ISU Secondary Educator Preparation program; open to students who are considering teaching and/or work in education as a career path.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/education/
EDUC,2050,Social Foundations of Education in the United States: Early Childhood and Elementary Education,3.,Lecture 3.,,,,,"Introduction to the historical and contemporary landscape of schooling in the United States. Emphasis on topics and tensions in the relationship between school and society (e.g., equity of access to education and competing purposes of education) and the implications of these topics and tensions for teaching and learning in public schools. Student in K-12 education, or a non-education major should take EDUC 2040 .","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2160,Learning Community Orientation to Teacher Education,1.,Lecture 1.,,,,,Learning Community for Elementary Education majors to help with their transition to university life. Offers an overview of K-8 teacher certification in Iowa as well as degree and career planning. With the help of guest speakers and peer mentors students learn about elementary teaching as a profession and are introduced to a social justice orientation to teaching. All first semester freshman Elementary Education majors are required to register. Open to those interested in pursuing education. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/education/
EDUC,2190,"Orientation to Teacher Education: English, FCS, History, Math, Science and World Language Majors",1.,Lecture 1.,,,,,"Overview of English, mathematics, science, family and consumer sciences and history, and world language and cultures secondary education (grades 5-12), teacher licensure requirements in Iowa and other states. Program and career planning. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2450,Landscape of Teaching,3.,Lecture 3.,,,,EDUC 2050 ; sophomore classification.,"Introduction to the landscape of teaching including the exploration of outside influences that impact schools, classroom structures (including classroom management systems) that help classrooms function efficiently and effectively, and instructional planning (basic lesson design and assessment) that addresses state standards and students' needs. Open to students majoring in Elementary Education or Early Childhood Education.","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2750,International Travel Study - Pre-departure Orientation,1.,Lecture 1.,,,True,,"Orientation to the international travel study, offered during the semester preceding the trip.",Spring,https://catalog.iastate.edu/azcourses/education/
EDUC,2800A,Pre-Student Teaching Experience,1-2.,Lecture 0.4.,,,True,Admitted to the Educator Preparation Program,"Pre-Student teaching experience in school settings. Two, half days per week needed for school experience. Clinical Experience Level 2 or 3. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2800B,Pre-Student Teaching Experience I: Educational Technologies,1.,,,,,EDUC 2010 or EDUC 2020 or EDUC 2030,Pre-Student teaching experience with technologies in various educational settings with K-12 technology leaders. 2 1/2-hour blocks of time needed. Clinical Experience Level 1. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2800I,Pre-Student Teaching Experience I: Mild/Moderate Disabilities,1.,,,,True,,"Pre-Student teaching experience in mild/moderate disabilities in school settings. One, half-day per week needed for school experience. Clinical Experience Level 1. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/education/
EDUC,2800J,Pre-Student Teaching Experience I: Mathematics Clinic,1.,,,,True,,Early field experience where students explore and develop an understanding of research-based instructional practices that could be implemented with middle level students to teach mathematical concepts. Clinical Experience Level 1. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/education/
EDUC,2800K,Pre-Student Teaching Experience I: Music,0.5.,,,,True,,Pre-student teaching experience in music in school settings. Permission of Music coordinator required prior to enrollment. Clinical Experience Level 1. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/education/
EDUC,2800L,Pre-Student Teaching Experience I: Secondary Education,0.5.,,,,True,,"Pre-student teaching experience for secondary education students in school settings. One, half-day per week needed for school experience. Clinical Experience Level 1. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/education/
EDUC,2800N,Pre-Student Teaching Experience I: Elementary Education,0.5-1.,"Laboratory 1.5, Lecture 0.5.",,,True,,"Pre-student teaching experience for students in school settings. One, half-day per week needed for school experience. Clinical Experience Level 1. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/education/
