subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
EE,1660,Professional Programs Orientation,Required.,Lecture 1.,,,,,"(1-0) Overview of the nature and scope of electrical engineering and computer engineering professions. Overview of portfolios. Departmental rules, advising center operations, degree requirements, program of study planning, career options, and student organizations. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_e/
EE,1850,Introduction to Electrical Engineering and Problem-Solving I,3.,"Lecture 2, Laboratory 2.",,,,( MATH 1430 or satisfactory scores on mathematics placement examinations) OR ( MATH 1650 or satisfactory scores on mathematics placement examinations),"Project based examples from electrical engineering. Systematic thinking process for engineering problem solving. Group problem solving. Mathematical, conceptual and computer-based projects. Solving engineering problems and presenting solutions through technical reports and oral presentations. Solutions of engineering problems using computation tools and basic programming. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/.Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_e/
EE,1860,Introduction to Electrical Engineering and Problem Solving II,1.,,,,,EE 1850,Project based and hands on continuation of 1850. Group skills needed to work effectively in teams. Individual interactive skills for small and large groups. Learning to use tools and methods for solving electrical engineering problems.,Spring,https://catalog.iastate.edu/azcourses/e_e/
EE,2010,Electric Circuits,4.,"Lecture 3, Laboratory 2.",,,,PHYS 2310 OR PHYS 2310H ; PHYS 2310L OR PHYS 2210; credit or concurrent enrollment in MATH 2670,"Emphasis on mathematical tools. Circuit elements (resistors, inductors, capacitors) and analysis methods including power and energy relationships. Network theorems. DC, sinusoidal steady-state, and transient analysis. AC power. Frequency response. Two port models. Diodes, PSPICE. Laboratoryinstrumentation and experimentation. Graduation Restriction: Credit for only EE 2010 or 4420 may be used towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_e/
EE,2240,Signals and Systems I,4.,"Lecture 3, Laboratory 3.",,,,EE 2010 ; MATH 2670,"Mathematical preliminaries. Introduction to signals and systems. Signal manipulations. System properties. LTI systems, impulse response and convolution. Fourier Series representation and properties. Continuous and discrete-time Fourier Transforms and properties. Sampling and reconstruction. Modulation and demodulation. Applications and demonstrations using Matlab.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_e/
EE,2300,Electronic Circuits and Systems,4.,"Lecture 3, Laboratory 3.",,,,EE 2010 ; MATH 2670,"Frequency domain characterization of electronic circuits and systems, transfer functions, sinusoidal steady state response. Time domain models of linear and nonlinear electronic circuits, linearization, small signal analysis. Stability and feedback circuits. Operational amplifiers, device models, linear and nonlinear applications, transfer function realizations. A/D and D/A converters, sources of distortions, converter linearity and spectral characterization, applications. Design and laboratory instrumentation and measurements.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_e/
EE,2320,Professional and Ethical Issues in Electrical and Computer Engineering,3.,Lecture 3.,,,,COMS 2270 or EE 2850,"Professional and ethical issues in electrical and computer engineering. Soft skills, including communication and leadership skills, and how they relate to the engineering profession. Case studies illustrating ethical decision making in an engineering context and differentiating between moral and professional ethics. Issues of diversity, equity, and inclusion in the engineering profession.",,https://catalog.iastate.edu/azcourses/e_e/
EE,2610,Transfer Orientation,Required.,Lecture 1.,,,,,"Introduction to the College of Engineering and the engineering profession specifically for transfer students. Information concerning university and college policies, procedures, and resources. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/e_e/
EE,2850,Problem Solving Methods and Tools for Electrical Engineering,4.,"Lecture 3, Laboratory 3.",,,,,"Integration of field-specific computational tools for practically solving electrical engineering problems. Methods for systematically reducing problems into sequential steps compatible with computer based tools. Structuring computer programs for efficiency and maintainability. Integration of multi-platform operating systems and multi-vendor tools for solving engineering problems. Hands-on laboratory experiences using Matlab, C, and other computational tools.",,https://catalog.iastate.edu/azcourses/e_e/
EE,2940,Program Discovery,Required.,Lecture 1.,,,,CPRE 1660 or EE 1660,The roles of professionals in computer and electrical engineering. Relationship of coursework to industry and academic careers. Issues relevant to today's world. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/e_e/
