subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
EEOB,5070,Advanced Animal Behavior,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Analysis of current research in animal behavior. Topics covered may include behavioral ecology, mechanisms of behavior, evolution of behavior, applications of animal behavior to conservation biology, and applications of animal behavior to wild animals in captivity.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5140,Life History and Reproductive Strategies,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Evolution of ecological adaptations at the individual, population, and species level. Emphasis is on evolutionary mechanisms and adaptive strategies related to life histories and reproduction; age and size at maturity; lifespan and senescense; offspring size/number trade-offs; sex and mating systems; sex determination and sex ratios. BIOL 3150 or equivalent recommended.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5210,Biological Principles of Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Basic biological principles of aging. Course modules include an introduction to the aging process, body systems and normal aging, and environment and the biology of aging. In addition, disorders and diseases of aging, prevention and treatment and exercise and aging topics will be covered.",Summer,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5310,Conservation Biolgy,3.,Lecture 3.,,,,"BIOL 3120 , BIOL 3130 ; or graduate standing","Examination of conservation issues from a population and a community perspective. Population-level analysis will focus on the role of genetics, demography, and environment in determining population viability. Community perspectives will focus on topics such as habitat fragmentation, reserve design, biodiversity assessment, and restoration ecology. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5340,Endocrinology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Chemical integration of vertebrate organisms. The structure, development, and evolution of the endocrine glands and the function and structure of their hormones.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5350,Restoration Ecology,3.,"Lecture 2, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,"Theory and practice of restoring animal and plant diversity, structure and function of disturbed ecosystems. Restored freshwater wetlands, forests, prairies and reintroduced species populations will be used as case studies. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5420A,Introduction to Molecular Biology Techniques: DNA Techniques,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes genetic engineering procedures, sequencing, PCR, and genotyping. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/eeob/
EEOB,5420B,Introduction to Molecular Biology Techniques: Protein,1.,,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/eeob/
EEOB,5420C,Introduction to Molecular Biology Techniques: Cell Techniques,1.,Laboratory 2.,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection.ular biology techniques and related procedures. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/eeob/
EEOB,5420E,Introduction to Molecular Biology Techniques: Proteomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes: two-dimensional electrophoresis, laser scanning, mass spectrometry, and database searching. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5420F,Introduction to Molecular Biology Techniques: Metabolomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,Includes: metabolomics and the techniques involved in metabolite profiling. For non-chemistry majoring students who are seeking analytical aspects into their biological research projects. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5440,Intro Bioinformatcs,4.,Lecture 4.,,,,Graduate Standing or Permission of Instructor,Intro Bioinformatcs.,Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5460,Computational Skills for Biological Data,3.,"Lecture 1, Discussion 2.",,,,Graduate Standing or Permission of Instructor,"Computational skills necessary for biologists working with big data sets. UNIX commands, scripting in R and Python, version control using Git and GitHub, and use of high performance computing clusters. Combination of lectures and computational exercises.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5510,Plant Evolution and Phylogeny,4.,"Lecture 3, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,"Survey of land plant evolution; phylogenetic comparison of anatomical, reproductive, and life history specializations. Relationships among bryophytes, lycophytes, pteridophytes, gymnosperms, and angiosperms emphasizing significant evolutionary changes documented by paleobotanical, morphological, and molecular studies.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5530,Agrostology,3.,,,,,Graduate Standing or Permission of Instructor,"Structure, identification, classification, phylogeny, and economic aspects of grasses and related families. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5550,Bryophyte and Lichen Biodiversity,3.,"Lecture 2, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,"Introduction to the biology and ecology of mosses, liverworts, and lichens. Emphasis on identification and diversity of local representatives of these three groups of organisms. Required field trips and service-learning.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5610,Evolutionary and Ecological Genomics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Use of genomic and other 'omic' data in evolution and ecology. Review of data-generation platforms, computational methods, and examples of how phylogenomics, metagenomics, epigenomics, and population genomics are transforming the disciplines of evolution and ecology. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5620,Evolutionary Genetics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Seminar/discussion course covering the genetic basis of evolutionary processes in multicellular organisms. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5630,Molecular Phylogenetics,3.,,,,,Graduate Standing or Permission of Instructor,An overview of the theory underlying phylogenetic analysis and the application of phylogenetic methods to molecular datasets. The course emphasizes a hands-on approach to molecular phylogenetics and combines lecture presentations with computer exercises and discussion of original scientific literature.,Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5640,Wetland Ecology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Ecology, classification, creation and restoration, and management of wetlands. Emphasis on North American temperate wetlands.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5650,Macroevolution,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The history and diversity of life on earth; evolutionary patterns and processes above the species level. Diversity from a phylogenetic perspective. Empirical exercises include: phylogeny estimation, ancestral states, estimating diversification rates, evaluating the tempo and mode of evolution, biogeographic patterns, and trait associations across the tree of life. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5660,Molecular Evolution,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Seminar/discussion course covering the fundamentals of molecular evolution. Emphasis is placed on original scientific literature and current topics, including rates and patterns of genetic divergence; nucleotide and allelic diversity; molecular clocks; gene duplications; genome structure; organellar genomes; polyploidy; transposable elements; and modes and mechanisms of gene and genome evolution. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5670,Empirical Population Genetics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"An overview of fundamental population genetic theory and the ecological and evolutionary factors underlying the distribution of genetic variation within and among natural populations. Emphasis on the analysis of inbreeding, breeding systems, parentage, relatedness, spatial autocorrelation, effective population size, hierarchial population models, and phylogeography.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5690,Biogeography,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Principles underlying the geographic distribution of organisms throughout the world; biological influences of geological history and tectonic movements; role of climate, migration, dispersal, habitat, and phylogeny on past and present organismal distribution patterns; biogeographic methods.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5760,Functional Ecology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The nature of adaptations to physical and biotic environments. Biophysical, biomechanical, and physiological bases of the structure, form, growth, distribution, and abundance of organisms.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5770,Concepts in Theoretical Ecology and Evolution,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Readings and discussion of influential ideas in ecological and evolutionary theory, with an emphasis on how models are used as conceptual tools for building synthetic paradigms. Topics are chosen according to student interests; may include spatial ecology, behavioral theory, chaos, community assembly and biodiversity, and others. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5810,Analysis of Environmental Systems,3.,,,,,Graduate Standing or Permission of Instructor,"Systems approach to the analysis and modeling of material and energy flows in natural and managed environmental systems and the primary environmental factors controlling these systems. Applications in hydrology, biogeochemistry, and population dynamics.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5840,Ecosystem Science,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Advanced studies of ecosystems and the biological and physical factors that influence their properties and dynamics. Conceptual foundations and modern approaches to ecosystem studies. Interactions among organisms, biological diversity, and ecosystem attributes. Quantitative analyses of accumulations, transformations, and fluxes of nutrients, water, and energy within and among ecosystems. Global change issues. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/eeob/
EEOB,5850,Community Ecology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The effect of interspecific interactions on the structure and dynamics of natural and managed communities; including concepts of guild structure and trophic web dynamics and their importance to the productivity, diversity, stability, and sustainability of communities. The implications of interspecifc interactions in the management of wild species will be emphasized with illustrative case histories of interactions between plants, invertebrates, and vertebrates.",Spring,https://catalog.iastate.edu/azcourses/eeob/
