subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ELPS,5910,Social Justice Field Experience,1-3.,,,,,Instructor Permission for Course,Supervised field experience in equity and social justice inside/outside higher education.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6150A,Thematic Seminars: Communication and Team Building,1.,Lecture 1.,,,,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6150B,"Thematic Seminars: Governance, Politics and Policies",1.,Lecture 1.,,,,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6150C,"Thematic Seminars: Law, Equity, Equality",1.,Lecture 1.,,,,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6150D,"Thematic Seminars: Ethics, Justice, and Caring",1.,Lecture 1.,,,,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6150E,Thematic Seminars: Problem Solving and Planning,1.,Lecture 1.,,,,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6150F,Thematic Seminars: Critical and Creative Thinking,1.,Lecture 1.,,,,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6160,Capstone Experience,3.,,,,,Instructor Permission for Course,This experience is designed to explore a topic addressed in one of the thematic seminars. The product of the capstone experience is a written paper of sufficient quality to be submitted to a scholarly journal for review.,"Fall, Spring",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6200,Education for Social Justice,3.,Lecture 3.,,,,,"Introduction to social justice theory, research, and practice from a variety of theoretical perspectives in the context of education and broader society.",Fall,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6210,Pedagogies of Dissent,3.,Lecture 3.,,,,,"Critical examination of the theoretical foundations of contemporary and historical pedagogical traditions that seek to challenge the status quo, expand justice,and deepen democracy.",Spring,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6220,Decolonizing Praxis,3.,Lecture 3.,,,,,"Critically probes the philosophical and historical foundations of indigenous epistemologies and knowledge systems. Examination of policy, social, theoretical, research, and P-20 educational issues from a decolonial perspective.",Spring,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6240,Critical Race Theory in Education,3.,Lecture 3.,,,,,"Exploration of the central tenets of critical race theory. Examination of policy, social and educational issues from a critical race perspective.",Summer,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6250,Gender and Sexuality in Education,3.,Lecture 3.,,,,,Exploration of gender and sexuality in education.,Summer,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6260,Social Justice and Social Change in Education,3.,Lecture 3.,,,,,An examination of how changes in the interest of social justice have occurred historically in education. Exploration of social movements and theories of social change.,Fall,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6300,Education Policy and Analysis,3.,Lecture 3.,,,,,"Introduction to current theoretical, practical, and research-based policy debates related to the P-20 educational system. Critical analysis and evaluation of government policies, initiatives, funding, and other regulatory levers related to education. Intensive reading and discussion of the nature of theory, evidence, practice of education policy. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6510,Social Foundations of Education,3.,Lecture 3.,,,,Admission to Ed.D. program,"Introduction to the historical and contemporary landscape of P-20 schooling in the United States. Emphasis on topics and tensions in the relationship between school and society (e.g. equity of access to education and competing purposes of education) and the implications of these topics and tensions for teaching, learning, and leadership in schools across the P-20 continuum. Offered irregularly.",,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6520,Organizational Theory in P-20 Systems,3.,Lecture 3.,,,,Graduate standing and admission to Ed.D. program,"Theory of inclusive leadership and organizations for the Education Doctorate program in the School of Education. Topics for practitioner-scholars related to educational leadership, current issues in the field, and program success.",,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6530,Contemporary Issues of Equity and Diversity,3.,,,,,,"Contemporary issues of equity and diversity across P-20+ school settings. Relevant history, philosophy, theory, and research is highlighted to understand how equity and diversity is conceptualized, addressed, researched, and contextualized at micro and macro levels of educational settings. Offered irregularly.",,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6540,Scholar-Practitioner Inquiry,3.,Lecture 3.,,,,,"Introductory doctoral research course addresses the fundamental concepts and procedures that form the foundations of empirical research in the social sciences and education. Orient scholar-practitioners regarding how to design an empirical research study that identifies a problem of practice, and developing the necessary knowledge and skills to complete an action research dissertation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6550,Qualitative Inquiry in P-20 Education,3.,Lecture 3.,,,,Admission to Ed.D. program,"Qualitative research approaches and methods for applied research in P-20 education settings; research designs, data collection, and data analysis with a focus on action research.",,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6560,Statistics for P-20 Education,3.,Lecture 3.,,,,Admission to Ed.D. program,"Quantitative research approaches and methods for applied research in P-20 education settings; research designs, data collection, and data analysis with a focus on action research.",,https://catalog.iastate.edu/azcourses/el_ps/
ELPS,6570,Dissertation in Practice Seminar,3.,Lecture 3.,,,,Admission to Ed.D. program,"Development of dissertation in practice proposal. Formulating research questions, theoretical/conceptual frameworks, literature review, research design, and methodology. Offered irregularly.",,https://catalog.iastate.edu/azcourses/el_ps/
