subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
EM,3240,Mechanics of Materials,3.,Lecture 3.,,,,CE 2740,"Plane stress, plane strain, stress-strain relationships, and elements of material behavior. Application of stress and deformation analysis to members subject to centric, torsional, flexural, and combined loadings. Elementary considerations of theories of failure, buckling.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/e_m/
EM,3270,Mechanics of Materials Laboratory,1.,Laboratory 2.,,,,EM 3240,Experimental determination of mechanical properties of selected engineering materials. Experimental verification of assumptions made in 3240. Use of strain measuring devices. Preparation of reports.,"Fall, Spring",https://catalog.iastate.edu/azcourses/e_m/
EM,3620,Principles of Nondestructive Testing,3.,Lecture 3.,,,,PHYS 1320 OR PHYS 2320 or PHYS 2320H,"Radiography, ultrasonic testing, magnetic particle inspection, eddy current testing, dye penetrant inspection, and other techniques. Physical bases of nondestructive tests, materials to which applicable, effects of material condition, types of defects detectable, calibration standards, and reliability safety precautions.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_m/
EM,3620L,Nondestructive Testing Laboratory,1.,Laboratory 2.,,,,Credit or enrollment in MATE 3620 or EM 3620,"Application of nondestructive testing techniques to the detection and sizing of flaws in materials and to the characterization of material's microstructure. Included are experiments in hardness, dye penetrant, magnetic particle, x-ray, ultrasonic and eddy current testing.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_m/
EM,4170,Experimental Mechanics,3.,"Lecture 2, Laboratory 2.",,,,"EM 3240 , and MATE 2730","Introduction to fundamental concepts for force, displacement, stress and strain measurements for structures and materials applications. Strain gage theory and application. Full field deformation measurements with laser interferometry and digital image processing. Advanced experimental concepts at the micro- and nano-scale regimes. Selected laboratory experiments. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/e_m/
EM,4240,Intermediate Mechanics of Materials,3.,Lecture 3.,,,,EM 3240,"Analysis of stresses, strains, and deflections. Torsion and bending of unsymmetrical members. Analysis of thick wall pressure vessels and shrink fit problems. Dynamic load effects, fatigue and fracture mechanics introduction. Work-strain energy methods.","Fall, Spring",https://catalog.iastate.edu/azcourses/e_m/
EM,4250,Introduction to the Finite Element Method,3.,Lecture 3.,,,,EM 3240 and MATH 2660 or MATH 2670,"Introduction of finite element analysis through applications to one-dimensional, steady-state problems such as elastic deformation, heat and fluid flow, consolidation, beam bending, and mass transport. Transient heat conduction and wave propagation. Two-dimensional triangular and quadrilateral elements. Plane problems of torsion, thermal and potential flow, stress analysis. Simple computer programs for one- and two-dimensional problems.",Spring,https://catalog.iastate.edu/azcourses/e_m/
EM,4510,Engineering Acoustics,3.,Lecture 3.,,,,[(MATH 2660 OR MATH 2670) AND PHYS 2310 AND 2310L] OR Graduate Standing,The basics of acoustic wave propagation in fluids with an emphasis on sound propagation in air. Topics include transmission and reflection of sound at a boundary; role of acoustic sources in directing sound fields; diffraction of sound around solid objects; reverberation of sound in a room; and the measurement of sound fields.,Fall,https://catalog.iastate.edu/azcourses/e_m/
EM,4800,Ultrasonic Nondestructive Evaluation,3.,Lecture 3.,,,,EM 3240 or MATE 3190 ; MATH 2660 or MATH 2670 ; PHYS 2320,"Introduction to stress/strain, Hooke's law, and elastic wave propagation in two dimensions in isotropic media. Ultrasonic plane-wave reflection and transmission; and simple straight-crested guided waves. Transducer construction, behavior, and performance. Simple signal analysis and discrete signal processing. The last few weeks of the course are devoted to case studies.",Spring,https://catalog.iastate.edu/azcourses/e_m/
EM,4900,Independent Study,1-30.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/e_m/
