subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENGL,0100,Intensive English,0.,Lecture 21.,,,,,Intensive English.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
ENGL,0100A,Intensive English,0.,Lecture 15.,,,,,Intensive English. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
ENGL,0100B,Intensive English,0.,Lecture 10.,,,,,Intensive English. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
ENGL,0100C,Intensive English,0.,Lecture 5.,,,,,Intensive English. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
ENGL,0100D,Intensive English,0.,Lecture 2.5.,,,,,Intensive English. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
ENGL,0990S,Nonnative Speaking,0.,,,,,,Open to all interested international students.,"Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,1010B,English for Native Speakers of Other Languages: Academic English,3.,Lecture 3.,,,,,For undergraduates: Completion of ENGL 1010 requirement prepares students for ENGL 1500 . For graduates: Completion of ENGL 1010 satisfies the English requirement of the Graduate College. ENGL 1010 courses are limited to students who are nonnative speakers of English. See English Requirement for International Students in Index for additional information about placement exam. Graduation Restriction: Credit from ENGL 1010 does not count toward graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,1010C,English for Native Speakers of Other Languages: Academic English II--Undergraduates,3.,Lecture 3.,,,,For students in EPT Advisory Program - [(Result of “Test attempted and course is Not Required” or “Test attempted and course was Waived” on EPT for ENGL 1010B OR Credit in ENGL 1010B ) AND (Undergraduate Student)],For undergraduates: Completion of ENGL 1010 requirement prepares students for ENGL 1500 . For graduates: Completion of ENGL 1010 satisfies the English requirement of the Graduate College. ENGL 1010 courses are limited to students who are nonnative speakers of English. See English Requirement for International Students in Index for additional information about placement exam. Graduation Restriction: Credit from ENGL 1010 does not count toward graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,1010D,English for Native Speakers of Other Languages: Academic English II--Graduates,3.,Lecture 3.,,,,For students in EPT Advisory Program - [(Result of “Test attempted and course is Not Required” or “Test attempted and course was Waived” on EPT for ENGL 1010B OR Credit in ENGL 1010B ) AND (Graduate Student)],Available P/NP to graduate students at their department's option. For undergraduates: Completion of ENGL 1010 requirement prepares students for ENGL 1500 . For graduates: Completion of ENGL 1010 satisfies the English requirement of the Graduate College. ENGL 1010 courses are limited to students who are nonnative speakers of English. See English Requirement for International Students in Index for additional information about placement exam. Graduation Restriction: Credit from ENGL 1010 does not count toward graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,1200,Computers and Language,3.,Lecture 3.,,,,,Introduction to the use of linguistic knowledge in computer applications today and the basic computational techniques used in such applications. The development of these techniques throughout the history of computational linguistics. How the study of language has contributed to the advancement of technology and how certain computational problems have influenced the way linguists study language.,,https://catalog.iastate.edu/azcourses/engl/
ENGL,1500,Critical Thinking and Communication,3.,Lecture 3.,,,,For students in EPT Advisory Program - [(Status of “Satisfied” for ENGL 1010C )],"Application of critical reading and thinking abilities to topics of civic and cultural importance. Introduction of basic oral, visual, and electronic communication principles to support writing development. Initiation of communication portfolio. Concurrent enrollment in LIB 1600 is recommended.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
ENGL,1690X,A Linguistic Approach to Taboo Language,3.,Lecture 3.,,,,,"An introduction to linguistics through the study of taboo language. Topics such as etymology of taboo words, psychological effects of swearing, cross-cultural taboos, and censorship. Students sensitive to explicit language or those with only a non-scholarly interest in taboo language are discouraged from enrolling.",Spring,https://catalog.iastate.edu/azcourses/engl/
ENGL,2010,Introduction to Literature,3.,Lecture 3.,,,,Credit or concurrent enrollment in ENGL 1500,"Introduction to the diversity of literary texts. Students will explore work across different genres (drama, poetry, short fiction, the novel) and traditions (Indigenous, postcolonial, global, British, American). Recommended for nonmajors.",,https://catalog.iastate.edu/azcourses/engl/
ENGL,2070,Introduction to Creative Writing,3.,Lecture 3.,,,,Credit or concurrent enrollment in ENGL 1500,"Course introduces students to the fundamentals of writing fiction, poetry, and creative nonfiction. Extensive readings in all three genres. Students learn creative processes through writing exercises, workshops, and conferences.","Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,2140,Introduction to Technical Communication,3.,Lecture 3.,,,,ENGL 1500 .,"A broad introduction to the culture of professional work as a technical communicator, with particular emphasis on principles and best practices for developing and managing technical information and digital media. Examination of user-centered design, the history of the discipline, cross-cultural communication, and the ethics of communicating complex information to lay audiences. Study and practice of team-based collaboration, project management, and technical editing.",Fall,https://catalog.iastate.edu/azcourses/engl/
ENGL,2190,Introduction to Linguistics,3.,Lecture 3.,,,,,"Introduction to linguistic concepts and principles of linguistic analysis with English as the primary source of data. Sound and writing systems, sentence structure, vocabulary, and meaning. Issues in the study of usage, regional and social dialects, language acquisition, and language change.","Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,2200,Descriptive English Grammar,3.,Lecture 3.,,,,,"Overview of grammatical structures and functions. Parts of speech; phrase, clause, and sentence structure; sentence types and sentence analysis; rhetorical grammar and sentence style; terminology. Not a remedial, English composition, or ESL course.","Fall, Spring",https://catalog.iastate.edu/azcourses/engl/
ENGL,2210X,Introduction to Communication Disorders,3.,Lecture 3.,,,,,"Overview of speech, language, and hearing differences across the lifespan. Exploration of how we produce speech and language, how communication can break down, and how professionals support individuals with various communication needs. Topics include speech sound disorders, aphasia, developmental language disorders, voice and swallowing disorders, and hearing loss. Examination of contemporary, affirming perspectives on communication variation — particularly as related to Stuttering and Deafness.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engl/
