subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENGR,1010,Engineering Orientation,Required.,Lecture 1.,,,,,"Introduction to the College of Engineering and the engineering profession. Information concerning university and college policies, procedures, and resources. Undeclared sections: Considerations in choosing an engineering curriculum. Opportunities to interact with departments. Declared sections: Introduction to major-specific topics. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/engr/
ENGR,1040,LEAD Program Orientation,1.,Lecture 1.,,,,,"Orientation for LEAD Learning/Living Community participants. Introduction to college and university resources, tools and techniques to promote academic, professional and social/cultural development and success. Focus on building support networks with peers, faculty, and staff. Introduction to core engineering competencies including but not limited to initiative, communication, teamwork, and cultural adaptability. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/engr/
ENGR,1050,LEAD Program Seminar,1.,Lecture 1.,,,,,"Seminar for LEAD Learning/Living Community participants. Focus on professional development and exposure to various engineering disciplines through hands-on lab experiences, industry visits and networking opportunities with alumni, faculty, and staff. Development of core competencies: engineering/technical knowledge, communication and teamwork. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/engr/
ENGR,1310,Learning Community Seminar,Required.,Lecture 1.,,,,,Peer-mentored review of course topics in engineering undeclared learning communities. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/engr/
ENGR,1500,Foundations of Leadership Development and Learning,1.,Lecture 1.,,,,,"Leadership development with focus on global context and awareness of events shaping the context. Exposure to theory of leadership with examples. Necessary characteristics of a leader, and strategies for leadership skills development. Exposure to non-traditional career paths for engineers. Outline of personalized leadership development. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/engr/
ENGR,1600,Engineering Problems with Computer Applications Laboratory,3.,,,,,MATH 1430 or satisfactory score of 76 on mathematics placement exam,"Solving engineering problems and presenting solutions through technical reports. Significant figures. Use of SI units. Graphing and curve-fitting. Flowcharting. Introduction to mechanics, statistics and engineering economics. Use of spreadsheet programs to solve and present engineering problems. Solution of engineering problems using computer programming languages. (The honors section includes application of programming to mobile robotics). Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engr/
ENGR,2030,Engineering Career and Employment Preparation,1.,Lecture 1.,,,,,"Development of practical career knowledge and skills such as understanding employers of engineers, determining career goals, identifying employers of interest, developing effective application materials, applying for positions, networking, interviewing, and evaluating offers. Overview of professional resources and tools available to aid in the employment process. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/engr/
ENGR,2500,Leadership in Engineering Teams,1.,Lecture 1.,,,,,"Building and sustaining decision-making engineering teams. Students will explore the interrelated processes of discerning purpose, thinking systemically, developing reflective judgment, and exercising leadership by mobilizing and setting the direction for adaptive change within a team. Industry based examples and information from engineering and natural resource sciences will be infused into the course. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/engr/
ENGR,2650,Survey of the Impacts of Engineering Activity,3.,Lecture 3.,,,,,"Survey of the economic, environmental, societal, and political benefits and problems resulting from engineering activity. Effects of engineering projects on human health, social structures, and the environment. Examination of improvements in economic opportunities and quality of life resulting from engineering activity. Case studies of the effects of engineering activity.","Fall, Spring",https://catalog.iastate.edu/azcourses/engr/
ENGR,3200,International Experience Report,3.,,,,,,Critique of work/study abroad experience as it relates to professional development. Taken the semester after completion of work abroad or study abroad. Written report and presentation. Meets International Perspectives Requirement. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/engr/
