subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENSCI,1100,Orientation to Environmental Science,1.,Lecture 1.,,,,,Overview of Environmental Science curriculum and discussion of professional opportunities. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,2010,Introduction to Environmental Issues,2.,Lecture 2.,,,,,"Discussion of current and emerging environmental issues such as human population growth, energy use, loss of biodiversity, water resources, and climate change.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,2020,Exploration of Environmental and Sustainability Issues,1.,Lecture 1.,,,,,Exploration of specific environmental and sustainability issues; designed to complement ENSCI 2010 .,Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,2030,Exploration of Environmental Science,1.,Lecture 1.,,,,,Continued exploration of specific environmental science issues developed in ENSCI 2020 . Topics may vary in different years.,Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,2500,Environmental Geography,3.,Lecture 3.,,,,,"The distribution, origins and functions of the earth's physical systems and the spatial relationship between human activity and the natural world.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,2510,Biological Processes in the Environment,3.,Lecture 3.,,,,,"Principles of Biology from the level of macromolecules to the biosphere. Biological processes that affect environmental systems: including metabolism, energy pathways, biochemical reactions in cells, plant and microbial structure and function, element and water cycles.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,2700,Geospatial Technologies,3.,"Lecture 2, Laboratory 2.",,,,,"Concepts and tools for acquiring, managing, analyzing, and displaying geographic information, including GIS, remote sensing, spatial analysis, and cartography. Focus on applications in biological, ecological, environmental, and agricultural sciences.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3010,Natural Resource Ecology and Soils,4.,"Lecture 3, Laboratory 3.",,,,"BIOL 2110 , BIOL 2110L ; FOR 2010 or a second course in biology","Effects of environmental factors on ecosystem structure and function using forest, prairie and agricultural ecosystems as models. Special emphasis is given to soil-forming factors and the role of soil in nutrient and water cycling and ecosystem dynamics. Additional emphasis is given to human influences on natural ecosystems and the role of perennial plant communities in agricultural landscapes.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3120,Ecology,4.,"Lecture 3, Laboratory 3.",,,,BIOL 2110 ; ( BIOL 2120 or BIOL 2510 ),"Fundamental concepts and principles of ecology dealing with organisms, populations, communities, and ecosystems. Laboratory and field exercises examine ecological principles and methods as well as illustrate habitats.","Fall, Summer",https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3180,Introduction to Ecosystems,3.,Lecture 3.,,,,"12 credits in WFCE, AGRON, BIOL, CHEM, FOR, GEOL, NREM",Biological and physical processes affecting material and energy flows in natural and managed ecosystems. Understanding and predicting climate and management impacts on ecosystem services and sustainability.,Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3190,Analysis of Environmental Systems,3.,,,,,ENSCI 3120 ; junior classification,"Systems approach to the analysis and modeling of material and energy flows in natural and managed environmental systems and the primary environmental factors controlling these systems. Applications in hydrology, biogeochemistry, and population dynamics.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3240,Energy and the Environment,3.,Lecture 3.,,,,,"Exploration of Earth's energy resources and the environmental and climatic impacts of energy acquisition and consumption. Renewable and non-renewable energy resources within an Earth-system context. Various environmentally-relevant topics such as water quality and availability, habitat destruction, greenhouse-gas emissions, and health and safety hazards to wildlife and human communities. Designed for students with a college-level understanding of chemistry and physics.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3450,Natural Resource Photogrammetry and Geographic Information Systems,3.,"Lecture 2, Laboratory 3.",,,,Junior classification,"Measurement and interpretation of aerial photos in resource management. Introduction to Geographic Information Systems (GIS) using ArcGIS including digitizing, development and query of attribute tables, georeferencing, and use of multiple GIS layers in simple spatial analyses.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3600,Environmental Soil Science,3.,Lecture 3.,,,,,Application of soil science to contemporary environmental problems; comparison of the impacts that different management strategies have on short- and long-term environmental quality and land development. Emphasis on participatory learning activities. AGRON 1820 or ENSCI 2500 or GEOL 1010 recommended.,Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3700,GIS for Ecology and Environmental Science,1-6.,,,,True,6 credits in BIOL or ENSCI,"Introduction to geographic information systems (GIS) with emphasis on ecological and environmental applications. No prior GIS experience required. Guided, individualized study of topics based on student background and interest. For students with prior experience, topics and activities are selected to build upon any previous experience and minimize duplication to previous GIS coursework. Potential topics include: basic concepts of GIS, data structures, database management, spatial analysis, modeling and visualization of ecological and environmental data. Case studies in ecological and environmental applications using ArcGIS. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3750,Marine Ecology and Ecosystems Dynamics,3.,Lecture 3.,,,,BIOL 2110,"Overview of the ecological processes, ecosystems, and biodiversity in marine environments. Ever-changing dynamics caused by environmental disturbances, internal forces, or by human impacts on species and ecosystems.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3900,Internship in Environmental Science,1-30.,,,,True,Instructor Permission for Course,Supervised off-campus work experience in the field of environmental science. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ensci/
ENSCI,3910,Apprenticeship,1-30.,,,,True,Instructor Permission for Course,"Practical experience in an approved setting such as a research laboratory, government office, or private office. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4020,Watershed Hydrology,3.,"Lecture 2, Laboratory 3.",,,,,"Examination of watersheds as systems, emphasizing the surface components of the hydrologic cycle. Combines qualitative understanding of hydrological processes and uncertainty with quantitative representation. Laboratory emphasizes field investigation and measurement of watershed processes.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4040,Global Change,3.,Lecture 3.,,,,,"Recent changes in global biogeochemical cycles and climate; models of future changes in the climate system; impacts of global change on agriculture, water resources and human health; ethical issues of global environmental change.","Fall, Spring",https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4050,Soil-Plant-Animal-Atmosphere Physics,3.,Lecture 3.,,,,MATH 1600 or MATH 1650,"The movement of energy and mass among the soil, vegetation, and atmosphere. The heat and water budget of humans, other animals, plants, and plant communities. Relevance to weather and climate, the effect of climate change on organisms, and remote sensing. Some exposure to computer programming (any language) recommended. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4060,World Climates,3.,Lecture 3.,,,,AGRON 2060 or MTEOR 2060,"Distribution and causes of different climates around the world. Effects of climate and climate variations on human activities including society, economy and agriculture. Current issues such as climate change and international efforts to assess and mitigate the consequences of a changing climate. Semester project and in-class presentation required. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4070,Watershed Management,4.,"Lecture 3, Laboratory 3.",,,,1 course in BIOL,"Managing human impacts on the hydrologic cycle. Field and watershed level best management practices for modifying the impacts on water quality, quantity and timing are discussed. Field project includes developing a management plan using landscape buffers.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4090,Field Methods in Hydrogeology,3.,Laboratory 6.,,,,"GEOL 4020 / ENSCI 4020 , GEOL 4110 / ENSCI 4110 or CE 4730","Introduction to field methods used in groundwater investigations. In-field implementation of pumping tests, slug tests, monitoring well installation and drilling techniques, geochemical and water quality sampling, seepage meters, minipiezometers, stream gaging, and electronic instrumentation for data collection. Field trips to investigate water resource, water quality, and remediation projects. Offered even-numbered years.",Summer,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4110,Hydrogeology,4.,"Lecture 3, Laboratory 2.",,,,,"Physical principles of groundwater flow, nature and origin of aquifers and confining units, well hydraulics, groundwater modeling, and contaminant transport. Lab emphasizes applied field and laboratory methods for hydrogeological investigations.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4120,Micropaleontology,3.,"Lecture 2, Laboratory 2.",,,,GEOL 2020 and GEOL 2020L,"Evolution, identification and utility of major microfossil groups from the Mesozoic to present. Focus on Cenozoic applications including biostratigraphy, paleoclimate, and paleothermometry using assemblages, stable isotopes, Mg/Ca, and molecular fossils. Laboratory includes processing and analysis of specific microfossils. Major groups covered include foraminifera, calcareous nanofossils, sponge spicules, diatoms, radiolarians, and silicoflagellates. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4130,Applied and Environmental Geophysics,3.,"Lecture 2, Laboratory 2.",,,,,"Seismic, gravity, magnetic, resistivity, electromagnetic, and ground-penetrating radar techniques for shallow subsurface investigations and imaging. Data interpretation methods. Lab emphasizes computer interpretation packages. Field work with seismic - and resistivity-imaging systems and radar. Introductory geology, algebra, and trigonometry recommended. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4140,Applied Groundwater Flow Modeling,3.,"Lecture 2, Laboratory 2.",,,,( GEOL 4110 or CE 4730); MATH 1650,"Introduction to the principles of modeling groundwater flow systems. Finite-difference and analytic-element methods, spreadsheet models, boundary conditions, calibration, sensitivity analysis, parameter estimation, particle tracking, and post-audit analysis. Application of MODFLOW to regional flow-system analysis. Computer laboratory emphasizes assigned problems that illustrate topics discussed in the course. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4150,Paleoclimatology,3.,Lecture 3.,,,,,"Introduction to mechanisms that drive climate, including the interplay between oceanic and atmospheric circulation and fluctuation in Earth's orbital parameters. Examination and analysis of past climate records ranging from historical documentation to ecological and geochemical proxies (e.g. tree ring analysis; O and C isotopes of skeletal carbonates and soils). Dating methods used to constrain and correlate climatic periods; utility of computer models to reconstruct past climates and predict future climate change. Emphasis placed on paleoclimatology and paleoecology of the late Quaternary (last ~1 million years). Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4160,Hydrologic Modeling and Analysis,3.,"Lecture 2, Laboratory 3.",,,,,"Study of the basic principles of hydrologic modeling, including rainfall-runoff analysis, lumped and distributed modeling, conceptual and physical models, parameter estimation and sensitivity analysis, input and validation data, uncertainty analysis, and the use of models in surface water hydrology. A range of common models are applied to study hydrologic topics such as flood forecasting and land use change impacts. Previous experience with Matlab or other programming language is needed. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4180,Stream Ecology,3.,"Lecture 2, Laboratory 3.",,,,WFCE 4860,"Biological, chemical, physical, and geological processes that determine the structure and function of flowing water ecosystems. Current ecological theories as well as applications to stream management for water quality and fisheries. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ensci/
ENSCI,4190,Aqueous and Environmental Geochemistry,3.,"Lecture 2, Laboratory 2.",,,,CHEM 1780 and CHEM 1780L,"Geochemistry of natural waters and water-rock interactions. Acid-base equilibria, carbonate chemistry and buffer systems, mineral dissolution and precipitation, sorption, ion exchange, and redox reactions. Introduction to thermodynamics and kinetics. Laboratory emphasizes chemical analysis of waters and computer modeling. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ensci/
