subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENT,2010,Introduction to Insects,1.,Lecture 2.7.,,,,,Biological and ecological aspects of insects. Offered online only. 5 weeks.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ent/
ENT,2110,Insects and Society,2.,Lecture 2.7.,,,,,The importance of insects in human well-being. Insect-human interactions. Primarily for non-science and non-agriculture majors. Offered online only. 11 weeks.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ent/
ENT,2140,Insects in Forensic Science,3.,Lecture 3.,,,,,"Introduction to the use of insects as evidence in court and how they can assist in solving crimes. Topics covered include basic insect biology, systematics, behavior, with emphasis on applications of forensic entomology. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,2200,Introduction to Forensic Science,3.,Lecture 3.,,,,,"Study of fundamental forensic science techniques and procedures covering types of physical, chemical, and biological evidence and how this information is used in the legal system. Assessment of crime scenes and various forensic specialties will be introduced.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,2400,Hemp: Potential and Constraints for a New Crop,2.,Lecture 2.,,,True,,"History, biology, and agronomy of hemp as it is allowed to be grown in Iowa.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,2830,Pesticide Application Certification,2.,Lecture 2.,,,,,"Core background and specialty topics in agricultural, and horticultural pesticide applicator certification. Students can select certification categories and have the opportunity to obtain pesticide applicator certification at the completion of the course. Commercial pesticide applicator certification is emphasized.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,3580,"Bee Biology, Management, and Beekeeping",3.,Lecture 3.,,,,Introductory (2000-level) biology coursework or permission of an instructor,"Bee diversity and evolution, ecology, role as pollinators, behavior, anatomy, and development. Management of bees as agricultural pollinators and honey producers, focusing on honey bees. Working with live bee hives and demonstration of practical beekeeping skills will occur during several field trips to local hives.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,3700,Insect Biology,3.,"Lecture 2, Laboratory 3.",,,,BIOL 1010 or BIOL 2110,"Structure, physiology, evolution, behavior, life histories, and recognition of insects. Collection required.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,3740,Insects and Our Health,3.,Lecture 3.,,,,3 credits in Biological Sciences,"Identification, biology, and significance of insects and arthropods that affect the health of humans and animals, particularly those that are vectors of disease. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,3740L,Insects and Our Health Laboratory,1.,Laboratory 3.,,,,Credit or concurrent enrollment in ENT 3740 or MICRO 3740,"Laboratory and field techniques for studying medical or public health entomology, including: collection, identification and maintenance of medically significant arthropods and experimental design and execution related to the biology of arthropods or arthropod-pathogen interactions. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,3760,Fundamentals of Entomology and Pest Management,3.,"Lecture 2, Laboratory 3.",,,,BIOL 1010 or BIOL 2110,"Introduction to entomology and insect-pest management, including life processes, ecology, economics, tactics of population suppression, and ecological backlash.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,4250,Aquatic Insects,3.,"Lecture 2, Laboratory 3.",,,,BIOL 3120,"Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,4350,Entomology Field Trip,2.,,,,True,BIOL 3120 ; Permission of Instructor,Field trip to study insects of major terrestrial and aquatic ecosystems. Location and duration vary. ENT 3700 or ENT 4250 recommended. Offered irregularly.,"Spring, Summer",https://catalog.iastate.edu/azcourses/ent/
ENT,4520,Integrated Management of Diseases and Insect Pests of Turfgrasses,3.,Lecture 3.,,,,HORT 3510,Identification and biology of important diseases and insect pests of turfgrasses. Development of integrated pest management programs in various turfgrass environments. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,4600X,Chemical Ecology,3.,Lecture 3.,,,,BIOL 2120,"Chemical interactions between organisms occur at various scales, ranging from cell-to-cell interactions to community-wide processes. A focus on plant-insect interactions and the ways that plants and insects communicate, how plants defend themselves and how these signals can sometimes be co-opted or modified.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,4710,Insect Ecology,3.,,,,,9 credits of BIOL,"The contribution of insects to ecosystem function is staggering. This course will focus on insect population ecology, predator-prey interaction and chemical ecology. The role insects in nutrient cycling, pollination and pest management will be discussed with case studies used to highlight the applied nature of insect ecology and its relationship to agriculture. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,4900E,Independent Study: Research or Work Experience,1-3.,,,,True,"15 credits in biological sciences, Junior or Senior classification; Permission of Instructor",Graduation Restriction: A maximum of 9 credits of all (university-wide) 4900 courses may be applied toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ent/
ENT,5110,Integrated Management of Tropical Crops,3.,Lecture 3.,,,,( ENT 3700 or ENT 3760 or HORT 2210 or PLP 4080 or PLP 4160 ) or Graduate Classification,"Applications of Integrated Crop management principles (including plant pathology, entomology, and horticulture) to tropical cropping systems. Familiarization with a variety of tropical agroecosystems and Costa Rican culture is followed by a 10-day tour of Costa Rican agriculture during spring break, then writeup of individual projects. Offered odd-numbered years. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,5250,Aquatic Insects,3.,"Lecture 2, Laboratory 3.",,,,BIOL 3120 or graduate standing,"Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,5300,Ecologically Based Pest Management Strategies,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Durable, least-toxic strategies for managing weeds, pathogens, and insect pests, with emphasis on underlying ecological processes. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,5520,Integrated Management of Diseases and Insect Pests of Turfgrasses,3.,Lecture 3.,,,,HORT 3510 or Graduate Classification,Identification and biology of important diseases and insect pests of turfgrasses. Development of integrated pest management programs in various turfgrass environments. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,5550,Insect Physiology,4.,"Lecture 3, Laboratory 3.",,,,ENT 3700 or Graduate Classification,"Life processes of the insects, including reviews of current problems in insect physiology. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,5600X,Chemical Ecology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Chemical interactions between organisms occur at various scales, ranging from cell-to-cell interactions to community-wide processes. A focus on plant-insect interactions and the ways that plants and insects communicate, how plants defend themselves and how these signals can sometimes be co-opted or modified.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,5700,Plant-Insect Interactions,2.,Lecture 2.,,,,9 credits in BIOL or Graduate Classification,"Physiological, behavioral, ecological, and evolutionary factors that govern interactions between insects and plants, applications of this knowledge to agriculture, and important results from the study of natural systems. Additional topics covered during the semester include: tritropic interactions, biological control of plants by insects, and pollination biology. Student-led discussions and draws on both the primary and secondary literature. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,5710,Insect Ecology,3.,,,,,9 credits in BIOL or Graduate Classification,"The contribution of insects to ecosystem function is staggering. This course will focus on insect population ecology, predator-prey interaction and chemical ecology. The role insects in nutrient cycling, pollination and pest management will be discussed with case studies used to highlight the applied nature of insect ecology and its relationship to agriculture. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,5740,Medical Entomology,4.,"Lecture 3, Laboratory 3.",,,,9 credits in BIOL or Graduate Classification,"Identification, biology, and significance of insects and other arthropods that attack people and animals, particularly those that are vectors of disease. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/ent/
ENT,5760,Systematic Entomology,5.,"Lecture 3, Laboratory 6.",,,,ENT 3700 or Graduate Classification,"Classification, distribution, and natural history of insects, including fundamentals of phylogenetic systematics, biogeography, taxonomic procedures, and insect collection and curation. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/ent/
ENT,5810,Experience in Plant Science Extension and Outreach,1.,,,,,Graduate Standing or Permission of Instructor,"A supervised learning experience in several extension delivery methods used in the plant sciences. Participation in Iowa State University-based extension programs that may include field crops horticulture, or Master Gardener programming. Offered odd-numbered years.",Summer,https://catalog.iastate.edu/azcourses/ent/
ENT,5900A,Special Topics: Biological Control and Pathology,1-3.,,,,True,Instructor Permission for Course,Special Topics: Biological Control and Pathology.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ent/
ENT,6000,Seminar,1.,Lecture 1.,,,,,Presentation of research results.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ent/
