subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENTSP,3100,Entrepreneurship and Innovation,3.,Lecture 3.,,,,Sophomore classification,"Introduction to the entrepreneurial process, from the creation and discovery of entrepreneurial opportunities to starting viable business ventures. Develops core entrepreneurial and innovation skills instrumental for business startups as well as for established businesses, and fosters fundamental understanding of how to organize, structure, finance, market and launch new ventures. Opportunities to apply introduced skills, tools and frameworks through class projects and exercises.","Fall, Spring",https://catalog.iastate.edu/azcourses/entsp/
ENTSP,3130,Feasibility Analysis for New Ventures,3.,Lecture 3.,,,,ENTSP 3100,"Focuses on the knowledge and practical skills required for developing an idea for a new business venture, researching potential markets, analyzing competition, conducting formal feasibility analyses, and considering business plan implications. Includes discussion of basic business functions in terms of their application to conducting feasibility analyses and to exploiting related business opportunities.","Fall, Spring",https://catalog.iastate.edu/azcourses/entsp/
ENTSP,3200,Corporate Entrepreneurship,3.,Lecture 3.,,,,Sophomore classification,"Introduces entrepreneurial approaches aimed at the identification, development and exploitation of technical and organizational innovations, the management of new product or process developments, and the effective management of new ventures. Focuses on mid-size to large corporations, especially in the manufacturing and service industries. Develops an awareness and understanding of the range, scope, and complexity of issues related to the creation of a corporate environment that is supportive of entrepreneurial endeavors as well as the effective implementation of technological and organizational innovations in corporate settings.","Fall, Spring",https://catalog.iastate.edu/azcourses/entsp/
ENTSP,3670,International Entrepreneurship,3.,Lecture 3.,,,,Sophomore classification,"Introduces the essentials of two key components of international entrepreneurship: operating an entrepreneurial firm in an international environment, and starting and developing a new venture in an international market. Topics include choosing and entering an international market, organizing international ventures, and other issues related to managing the business and employees in an international context. Offers students the opportunity to create an international business plan for their own business idea or an existing company. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/entsp/
ENTSP,3810,Managing Family Businesses,3.,Lecture 3.,,,,Sophomore classification,Introduction to the important role family businesses play in the domestic and global economies as well as the complex and unique challenges and opportunities encountered by such businesses and their family members and other employees. Explores best practices for successfully managing family businesses.,,https://catalog.iastate.edu/azcourses/entsp/
ENTSP,4100,Social Entrepreneurship,3.,Lecture 3.,,,,Sophomore classification,"Introduces the role of entrepreneurship in helping to solve social issues and societal problems, and the idea of social entrepreneurs as pursuers of the public good and as change agents in the social sector. Emphasis on how entrepreneurial topics such as innovation and opportunity recognition can be leveraged to address social problems, as well as on the planning and launch of new non-profit or not-for-profit ventures.","Fall, Spring",https://catalog.iastate.edu/azcourses/entsp/
ENTSP,4310,New Venture Financing,3.,Lecture 3.,,,,FIN 3100 or [(ENSTP 3130 or MGMT 3130) and FIN 3010 ],"Exploration of the foundations of financing entrepreneurial companies. Emphasis on the roles of the entrepreneurs, venture capitalists, and limited partners in the full financing cycle of early-stage ventures, including pitching and raising capital, deal sourcing and due diligence, deal structuring, and post-investment management. Extensive use of case studies and interactive presentations to a mock investor-based board of directors to illustrate the key concepts and processes involved in start-up financing.",Spring,https://catalog.iastate.edu/azcourses/entsp/
ENTSP,4540,Entrepreneurial Marketing,3.,Lecture 3.,,,,MKT 3400,"Basic understanding of marketing for those interested in creating or working for a start-up or an innovation-oriented company or consultancy. Relevant to marketing roles in entrepreneurial firms across both B2B and B2C markets. Integrates theory and practice, and provides insight into how entrepreneurs take both strategic and tactical marketing decisions in uncertain business environments. For hands-on perspective, incorporates projects involving real-world marketing problems confronting start-ups, and guest talks from entrepreneurs and frequent case analyses.",Fall,https://catalog.iastate.edu/azcourses/entsp/
ENTSP,4550X,Current Issues in Entrepreneurship,3.,Lecture 3.,,,,ENTSP 3100,"Designed to complement the required curriculum in the Entrepreneurship (ENTSP) major. Explores a rotating selection of cutting edge and timely topics in the areas of new venture creation, social entrepreneurship, and intrapreneurship, with an emphasis on the application of entrepreneurial knowledge and skills to the challenges facing today’s organizations and new ventures. Develops an awareness and understanding of the range, scope, and complexity of issues related to entrepreneurial mindsets and the creation of new ventures in different contexts and in our post-pandemic world. Opportunities to apply introduced knowledge, skills, and tools through class projects and exercises.",,https://catalog.iastate.edu/azcourses/entsp/
ENTSP,4600X,Franchising Strategy,3.,Lecture 3.,,,,,"Go-to-market practices with focus on franchising. Connecting franchising with other sister disciplines (entrepreneurship, marketing, and retailing). Developing and managing a franchise from a franchisor’s standpoint and understanding franchising from a franchisee’s standpoint.",Spring,https://catalog.iastate.edu/azcourses/entsp/
