subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENVE,1200,Environmental Engineering Learning Community,1.,,,,,,"Integration of first-year students into the Environmental Engineering program. Assignments and activities involve personal and leadership skill development, teamwork, academic planning and career readiness. Completed both individually and in learning teams under the direction of instructors and peer mentors.",Fall,https://catalog.iastate.edu/azcourses/env_e/
ENVE,1900,Introduction to Undergraduate Research in Civil and Environmental Engineering,2.,,,,True,Instructor Permission for Course,"Introduction to research, focusing on sub-disciplines of civil and environmental engineering. Research questions, hypotheses, literature reviews, experimental design, data collection, data analysis, and presentation. Topics chosen to introduce students to water resources, environmental engineering, transportation engineering, geotechnical/materials engineering, or structural engineering. Graduation Restriction: Repeatable but only two credits may count toward graduation in CE.",,https://catalog.iastate.edu/azcourses/env_e/
ENVE,2010,Environmental Engineering Measurements and Analysis,3.,"Lecture 2, Laboratory 2.",,,,CE 1900,"Introduction to environmental monitoring, environmental field and laboratory sampling, sample preservation and chain of custody, quality assurance and quality control, measurements of common chemical and biological components in different media, and analysis of environmental quality in natural and engineered systems. Concentrations and material balances concepts as applied to environmental engineering. Laboratory testing and experiments.",Fall,https://catalog.iastate.edu/azcourses/env_e/
ENVE,3260,Principles of Environmental Engineering,3.,"Lecture 2, Laboratory 2.",,,,[ CHEM 1670 or ( CHEM 1770 and CHEM 1780 )] AND MATH 1660 AND (credit or concurrent enrollment in ABE 3780 ),"Introduction to environmental problems, water quality indicators and requirements, potable water quality and quantity objectives, water sources and treatment methods; water pollution control objectives and treatment methods; survey of solid and hazardous waste management and air pollution control.","Fall, Spring",https://catalog.iastate.edu/azcourses/env_e/
ENVE,4260,Environmental Engineering Science,3.,"Lecture 2, Laboratory 2.",,,,(Credit or Enrollment in MICRO 2010 ) AND CE 3260 AND CHEM 2310,"Physical, chemical and biological principles related to environmental engineering and management. Topics include physical principles (mass transfer, mass balances, reactor systems), chemical principles (kinetics and equilibrium, acid-base, redox and precipitation), and biological principles (common environmental microbial processes, microbiology). Laboratory testing and experiments. ENVE 2010 recommended.",Fall,https://catalog.iastate.edu/azcourses/env_e/
ENVE,4270,Environmental Engineering Systems,3.,Lecture 3.,,,,MATH 2650 ; MATH 2660 ; CE 3260 ; CE 3720,"Integrated systems and modeling-based evaluation of natural and engineered environments including water, soil, and air. Exploration of public health outcomes and risk assessment in environmental engineering. Analysis of socio-environmental systems.",Spring,https://catalog.iastate.edu/azcourses/env_e/
ENVE,4280,Water and Wastewater Treatment Plant Design,3.,Lecture 3.,,,,CE 3260,"Physical, chemical and biological processes for the treatment of water and wastewater including coagulation and flocculation, sedimentation, filtration, adsorption, chemical oxidation/disinfection, fixed film and suspended growth biological processes and sludge management. Design project.",Spring,https://catalog.iastate.edu/azcourses/env_e/
ENVE,4290,Air Pollution and Control,3.,Lecture 3.,,,,MATH 2650 ; CE 3260,"Coverage of air pollution topics such as stationary and mobile sources, National Ambient Air Quality Standards, regional and global air pollution concerns (acid rain, ozone depletion, greenhouse gases), indoor air pollution, air pollution meteorology, air pollutant dispersion, and air pollution control equipment.",Spring,https://catalog.iastate.edu/azcourses/env_e/
ENVE,4300,Solid and Hazardous Waste Management,3.,Lecture 3.,,,,CE 3260 AND (credit or concurrent enrollment in ENVE 4260 ),"Evaluation, characterization, assessment, planning and design of solid and hazardous waste management systems, regulatory requirements, material characterization and collection, minimization and recycling, energy and materials recovery, composting, off-gas treatment, incineration, stabilization, and landfill design. Design of treatment and disposal systems for solid and hazardous wastes, including physical, chemical, and biological treatment, solidification, incineration, secure landfill design, and final disposal site closure plus restoration.",Fall,https://catalog.iastate.edu/azcourses/env_e/
ENVE,4900,Independent Study,1-3.,,,,True,Department Permission for Course,Independent study in environmental or water resources engineering. Pre-enrollment contract required. Graduation Restriction: Maximum of 3 credits may be counted towards Engineering Topics Electives.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/env_e/
