subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ENVS,1010,Environmental Geology: Earth in Crisis,3.,Lecture 3.,,,,,"Exploration of the interactions between humans and the geologic environment, and the consequences of those interactions, on local to global scales. Discussion of water, soil, mineral, and energy resources, pollution, climate change, and natural hazards such as earthquakes, volcanism, mass wasting, and flooding.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/env_s/
ENVS,1080,Introduction to Oceanography,3.,Lecture 3.,,,,,"Introduction to the study of oceans and the processes that helped shape them. A major focus is on how the oceans work, with special attention on geological, chemical, and biological processes. Ocean circulation and its influence on climate. Life of the oceans. Use and misuse of ocean resources. Anthropogenic impacts on the oceanic environment.",Fall,https://catalog.iastate.edu/azcourses/env_s/
ENVS,1110,Geological Disasters,1.,Lecture 1.,,,,,"Introduction to the catastrophic geologic processes with the potential to devastate human populations that continue to expand into regions at greatest risk from geologic hazards. Selected case studies and discussion of plate tectonics, climate, and earth processes explain the driving forces behind natural hazards such as earthquakes, tsunamis, volcanic eruptions, landslides, and floods.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/env_s/
ENVS,1200,Introduction to Renewable Resources,3.,Lecture 3.,,,,,"Overview of soil, water, plants, and animals as renewable natural resources in an ecosystem context. History and organization of resource management. Concepts of integrated resource management.","Fall, Spring",https://catalog.iastate.edu/azcourses/env_s/
ENVS,1300,Natural Resources and Agriculture,3.,Lecture 3.,,,,,"Survey of the ecology and management of fish, forest, and wildlife resources in areas of intensive agriculture, with emphasis on Iowa. Conservation and management practices for private agricultural lands. Designed for nonmajors.",Spring,https://catalog.iastate.edu/azcourses/env_s/
ENVS,1400,Climate and Society,3.,Lecture 3.,,,,,"The climate system of our planet. How nature and our actions alter the existing energy balance leading to climate change. Past climates on our planet. The influence of climate on society and resource availability during the Holocene (~ 11,000 years ago to present) with focus on changes post industrial revolution. Significant climate events that have altered our way of life in the past. Projected changes in future climate and potential impacts on society, environment and resources. Adaption to and mitigation of climate change. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/env_s/
ENVS,1600,Water Resources of the World,3.,Lecture 3.,,,,,"Study of the occurrence, history, development, and management of world water resources. Basic hydrologic principles including climate, surface water, groundwater, and water quality. Historical and current perspectives on water policy, use, and the role of water in society and the environment. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/env_s/
ENVS,1730,Environmental Biology,3.,Lecture 3.,,,,,"An introduction to the structure and function of natural systems at scales from the individual to the biosphere and the complex interactions between humans and their environment. Discussions of human population growth, biodiversity, sustainability, resource use, and pollution. Does not satisfy biology major requirements.","Fall, Spring",https://catalog.iastate.edu/azcourses/env_s/
ENVS,2010,Introduction to Environmental Issues,2.,Lecture 2.,,,,,"Discussion of current and emerging environmental issues such as human population growth, energy use, loss of biodiversity, water resources, and climate change.",Fall,https://catalog.iastate.edu/azcourses/env_s/
ENVS,2040,Biodiversity,2.,Lecture 4.,,,,,"Survey of the major groups of organisms and biological systems. Definition, measurements, and patterns of distribution of organisms. Sources of information about biodiversity. Does not satisfy biology major requirements. Half semester course. See list of life science courses (https://www.cals.iastate.edu/student-services/lifescience) for additional information.",Spring,https://catalog.iastate.edu/azcourses/env_s/
ENVS,2200,Globalization and Sustainability,3.,Lecture 3.,,,,,"An introduction to understanding the key global issues in sustainability. Focuses on interconnected roles of energy, materials, human resources, economics, and technology in building and maintaining sustainable systems. Applications discussed will include challenges in both the developed and developing world and will examine the role of technology in a resource-constrained world. Graduation Restriction: Cannot be used for technical elective credit in any engineering department. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/env_s/
ENVS,2500,Environmental Geography,3.,Lecture 3.,,,,,"The distribution, origins and functions of the earth's physical systems and the spatial relationship between human activity and the natural world.",Fall,https://catalog.iastate.edu/azcourses/env_s/
ENVS,2700,Foundations in Natural Resource Policy and History,3.,Lecture 3.,,,,,"The development of natural resource conservation philosophy and policy from the Colonial Era to the present. North American wildlife, forestry, and environmental policy; national parks and other protected lands; federal and state agencies. Relationship to cultural contexts, including urban reform and American planning movement. Discussion of common pool resources, public and private lands.",Fall,https://catalog.iastate.edu/azcourses/env_s/
ENVS,2830,Introduction to Environmental Politics and Policies,3.,Lecture 3.,,,,,"Introduction to major ideologies' relations to conservation and ecology. Processes, participants, and institutions involved in state, national, and global environmental policymaking. Case studies of environmental controversies and proposals for policy reform.",Spring,https://catalog.iastate.edu/azcourses/env_s/
ENVS,2930,Environmental Planning,3.,"Lecture 2, Laboratory 2.",,,,,"Comprehensive overview of the field of environmental relationships and the efforts being made to organize, control, and coordinate environmental, aesthetic, and cultural characteristics of land, air, and water.","Fall, Spring",https://catalog.iastate.edu/azcourses/env_s/
