subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
EVENT,1710,Introduction to Event Management,3.,Lecture 3.,,,,,Overview of the event management industries. Techniques and procedures required for designing and implementing successful events.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,2030,Event Management Sophomore Mentorship,2.,Lecture 1.,,,,Sophomore classification; AESHM 1110 ; EVENT 1710 ; by application only,"Event Management sophomore students will be paired with a professional mentor in the event industry. Students will meet in the class and individually with their professional mentor throughout the spring semester. Students will be assessed on their experience through reflection, presentation, and mentor evaluation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,2120,Digital Production in Event Management,3.,,,,,,"Applications of skills in Adobe Suite and other software technologies. Introduction to design elements used within the event management industry with a focus on digital publishing of marketing and promotional materials, wayfinding, and other stationery items. Face-to-face lecture and laboratory work.","Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,2770,Digital Promotion in the Service Industry,3.,Lecture 3.,,,,,"Service industry management digital channels and platforms, including media planning, search advertising, social media, and mobile. Students will be introduced to the trending social media management platforms as well as digital marketing management topics of influencer marketing, digital media planning, and content marketing.","Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,2780,Sustainability Essentials for Service-Related Businesses,3.,Lecture 3.,,,,,"This course introduces student with the knowledge and skills needed to navigate sustainability challenges in service business. Through engaging modules, students will explore global sustainability trends and effective business marketing strategies. By the end of the course, students will be empowered to identify and implement sustainable practices in a service business context.","Spring, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,2900,Independent Study,1-2.,,,,True,"Freshman or Sophomore classification, permission of instructor","Independent study on topics of special interest to the student, facilitated by approved faculty member.Graduation Restriction: No more than 9 credits of EVENT 2900 and EVENT 4900 may be applied towards graduation requirements.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,3280,Incentive Meeting Management,3.,Lecture 3.,,,,EVENT 1710,"Overview of the incentive meeting industry. Focus on incentive meeting planning, destination selection, program development, risk management, cultural aspects of destination, incentive meeting execution, and incentive meeting evaluation.",Spring,https://catalog.iastate.edu/azcourses/event/
EVENT,3330,Entertainment Venue Management,3.,Lecture 3.,,,,EVENT 1710,"Organization and management of various types of entertainment venues including clubs, theaters, auditoriums, and arenas.",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,3430X,Virtual and Hybrid Events,3.,Lecture 3.,,,True,EVENT 1710 ; Event Management major or minor,"Application of event management leadership, communication, strategies, and production to analyze and execute virtual and hybrid events.",,https://catalog.iastate.edu/azcourses/event/
EVENT,3670,Event Sales,3.,Lecture 3.,,,,EVENT 1710,"This course provides an overview of sales marketing management in the event industry and highlights the role of the professional event sales manager in the marketing process. As an event professional, students will identify best sales practices to develop their personal selling style, to build on their strengths, and to create a referral business that delivers results. Principles covered include evaluation of characteristics and skills necessary for success in sales; strategic planning; sales leadership; analyzing customers and markets; designing and developing the sales force; recognize the importance of relationship building; process management; and measurement, analysis, and knowledge management.","Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,3710,Conference and Meeting Planning,3.,Lecture 3.,,,,Credit or concurrent enrollment in EVENT 1710 ; Sophomore classification,"Application of event management principles to conference and meeting planning. Providing a comprehensive introduction to the key planning elements of the global conference, convention and meetings.","Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,3730,Wedding Planning and Management,3.,Lecture 3.,,,,EVENT 1710,"Overview of wedding event industry. Focus on wedding planning processes and implementation, design, and business planning and development.","Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,3790,Nonprofit Fundraising Event Planning,3.,Lecture 3.,,,,EVENT 1710,"Provides a comprehensive understanding of the principles underlying event fundraising. Students will be provided with the necessary knowledge and skills to conceptualize and implement a funraising plan, either for their own venture, or for a not-for-profit organization. Through practical exercise, students will have the opportunity to put their fundraising concepts and techniques into practice, gaining valuable insights into the challenges and opportunities of the funding process.",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,3830,Sports Event Management,3.,Lecture 3.,,,,EVENT 1710,"A comprehensive overview of sports and recreation competitions, events, and facilities. Best practices in sports event management, sports organizations, and franchises across the industry. In depth look at athlete and guest services, game day operations, marketing, sponsorship, and post-competition.",Spring,https://catalog.iastate.edu/azcourses/event/
EVENT,3880X,Esports Event Planning and Management,3.,Lecture 3.,,,,,"Explores the strategic planning and execution of esports events across the competitive and entertainment industry. Apply event management principles to design, market, and deliver tournaments, conventions, and fan experiences. Industry engagement includes guest speakers and a site visit to a regional esports venue. Prepares students for careers in professional esports, collegiate programs, and digital/live event production.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,3930,Event Management Workshop,1-3.,,,,True,EVENT Junior or Senior classification; Permission of Instructor,Topics vary each time offered. Graduation Restriction: Maximum of 6 EVENT 3930 credits can be applied to graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,4230,International Sports and Entertainment Event Management,3.,Lecture 3.,,,,EVENT 1710,"A comprehensive understanding of the strategies, procedures and nuances of planning and executing multinational and multicultural Sports and Entertainment Events that are held outside the U.S. or have large draw from an international audience. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/event/
EVENT,4710,Event Production,1-3.,Lecture 3.,,,,Event Management major or minor,"Advanced application of event management-provides students with hands-on special event planning experience, an understanding of how events are managed, and confidence in the research, planning, coordinating, marketing, management, financial management, way-finding and evaluation of special events. Event management production, design elements, technical production, stakeholder management, logistics, operations, event marketing and promotion, merchandise, risk management, fundraising, sponsorship, and event assessment.","Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,4820,Sport Event Marketing,3.,Lecture 3.,,,,EVENT 1710,"Analysis of the field of sports in terms of the practices, applications, and strategies of mainstream marketing. The subject includes Sponsorship, Endorsements, Licensing, Segmentation of the Sports Market, Promotional Strategy for the Marketing of Sports Products, and Emerging Issues in Sports Marketing. Opportunities and challenges associated with marketing in the entertainment industry as an aggregate. Practical, project-based experience addressing sports and entertainment marketing issues.Topics include the application of marketing principles in the sports arena, licensing issues, sponsorships and endorsements, stadium and arena marketing, broadcasting and media considerations, public policy and sports, and the unique marketing challenges for sport-specific products (football, basketball, baseball, motorsports, etc.).",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,4850,Advanced Event Production: Special Event,3.,Lecture 3.,,,True,,"Advanced application event management. Provide leadership and direction for production of a special event including vendor sourcing, contracts, stakeholder relations, logistics, budget management, publicity, operations, choreography, staging, lighting, sponsorship, and food.","Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,4860,Advanced Event Production,3.,,,,True,EVENT 3710 ; EVENT 4850 ; Event Management major,"Advanced application event management. Provide leadership and direction for production of an event including vendor and stakeholder relations, budget management, publicity, advertising, choreography, staging, lighting, and food. Graduation Restriction: Maximum of 6 credits may be applied toward graduation.",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,4900B,Independent Study: Conferences,1-30.,,,,True,Instructor Permission for Course,Independent study.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,4900C,Independent Study: Special Events,1-30.,,,,True,Program approval,Independent study.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,4900D,Independent Study: Event Management,1-30.,,,,True,Instructor Permission for Course,Independent study.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,5310,Event Business Research Essentials,3.,Lecture 3.,,,,Instructor Permission for Course,"The effective execution of an event necessitates the application of suitable tools and techniques to achieve the event's intended business objectives. This course equips students with the knowledge and skills to cater to the escalating requirement for a structured methodology for conducting event business research and integrating the findings into the strategic decision-making process. Students will be exposed to a comprehensive curriculum that covers research design, measurement, sampling, data collection, processing, analysis, and interpretation, thereby preparing them to navigate the multifaceted challenges of the event industry with poise and proficiency.",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,5610,Advanced Topics in Event Management,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Advanced meeting and event planning topics including event strategy, event risk and security management, event financial management, event design, event project management, and event tourism strategy. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/event/
EVENT,5770,Advanced Social Media Strategy,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Project-based course that includes analyzing relevant literature in social media and developing, implementing, and assessing an integrated social media marketing strategy in the service business marketing plan. Perspective on digital/social/mobile marketing to appreciate its true value to consumers, to managers, and to other corporate stakeholders.",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,5780,Advanced Event Sustainability Management,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"This course emphasizes the significance of sustainability in service businesses, with a focus on integrating social, economic, and environmental factors. It examines the impact of sustainability on stakeholders, including consumers and employees, while ensuring business profitability.” Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/event/
EVENT,5900,Special Topics,3.,Lecture 3.,,,,Instructor Permission for Course,Topics in event management.,"Fall, Spring",https://catalog.iastate.edu/azcourses/event/
EVENT,5990,Creative Component,3.,Lecture 3.,,,,Instructor Permission for Course,Creative component as arranged with instructor.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/event/
EVENT,6340,Theory and Research Seminar in Event Management,3.,Lecture 3.,,,,Permission of Instructor; Permission of Advisor,"Analysis and application of theories and research methodologies in event management and is designed to strengthen students' analytical and critical perspectives to evaluate event management research. Multidisciplinary approach to the areas of sports events, festivals and fairs, conventions and trade shows, mega events, and event tourism. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/event/
