subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FCEDS,2060,Home Ec to Human Sciences: Legacy and Advocacy.,2.,Lecture 2.,,,,,"Explore the evolution of Home Economics into modern Human Sciences. Analyze how societal influences, gender dynamics, and interdisciplinary shifts have shaped the field. Gain insight into Family & Consumer Sciences and its role in addressing issues such as sustainable living and global health disparities. Required for FCEDS majors but useful to all Human Sciences majors. Includes 12 hours of field experience scheduled outside of class. .",Spring,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,3060,Teaching Human Sciences,4.,"Lecture 3, Laboratory 1.",,,,,"Learn to design meaningful educational experiences for adolescents and adults within and beyond the traditional classroom. Integrate Human Sciences content with literacy and STEM-based education. Create engaging instruction for diverse audiences to promote critical thinking, self-awareness, and lifelong learning.Includes 12 hours of arranged practicum experience outside of the regular class schedule. .",Fall,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,3150X,Culinary Arts For FCS Professionals,3.,Lecture 3.,,,,,"This course provides Family and Consumer Sciences (FCS) teachers with essential knowledge and skills in nutrition and culinary arts. Participants explore the principles of nutrition, meal planning, food safety, and kitchen management. Through hands-on cooking labs and recipe development students learn culinary techniques, flavor profiles, and cultural influences on food choices. By course end, students are equipped to teach nutrition and culinary arts.This course fulfills the component for “Foods and Nutrition” content required for Iowa teaching endorsement 139: Family and Consumer Sciences.",Summer,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,3250,Housing & Interior Design for FCS Professionals,3.,Lecture 3.,,,,6 credits in FCEDS,"Foundational knowledge in housing and interior design. Topics include architectural styles, space planning, sustainability, color theory, and furniture selection. Through theoretical exercises & hands-on activities, participants learn to create safe, functional, and culturally sensitive living environments. This course fulfills the component for “Housing” content required for Iowa teaching endorsement 139: Family and Consumer Sciences.",Fall,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,3350,Textiles & Apparel for FCS Professionals,3.,"Lecture 2, Laboratory 1.",,,,,"Foundational understanding of fashion, textiles, apparel, and sewing. Participants explore fabric properties, garment construction techniques, fashion trends, and the role of textiles in culture and society. Emphasis is placed on promoting sustainable fashion practices and fostering creativity in design. This course fulfills the component for “Textiles or apparel design and merchandising” content required for Iowa teaching endorsement 139: Family and Consumer Sciences.",Summer,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,3800V,Pre-Student Teaching Experience in FCS Education,1-2.,Laboratory 2.,,,True,Admission to Educator Preparation program AND Credit or concurrent enrollment in FCEDS 3060 .,"Clinical Experience Level II in culinary, fashion design, housing, and/or human development courses related to Family & Consumer Sciences at the secondary level. Includes 24 hours practicum: unsupervised. 1/2 day of time needed in schedule. Offered on a satisfactory-fail basis only. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/fceds/
FCEDS,3980,Foundations of Career and Technical Education in Family and Consumer Sciences,3.,Lecture 3.,,,,,"Historical development and evolution of Career and Technical Education, including the impact of selected legislation. Planning and implementing Family and Consumer Sciences programs that include FCCLA. Techniques for school-to-work and work-based-learning education programs will also be explored. A minimum of two field experiences in high quality CTE programming; 2 days of professional leave are required. This course fulfills content required for Iowa teaching endorsement 139: Family and Consumer Sciences and 305: Multioccupations.",Spring,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,4060X,Educational Principles in Family & Consumer Sciences,3.,Lecture 3.,,,,,"This capstone course prepares future FCS educators by focusing on core concepts and values essential for promoting well-being in individuals, families, and communities engaging with perennial issues like food insecurity, sustainability, and economic disparity. The course encourages community engagement, advocacy, and reflective practice to develop effective integrative approaches. By course completion, students are equipped to design and deliver impactful, contemporary FCS curricula that empower individuals to lead healthy and fulfilling lives. Includes 12 hours of arranged practicum experience outside of the regular class schedule. .",Fall,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,4130,"Curriculum, Lab Management and Assessment for Family and Consumer Sciences",3.,Lecture 3.,,,,,Development of curriculum and assessment tools for secondary Family and Consumer Sciences programs. Application of Laboratory and Classroom management strategies. Focus on accommodating exceptional learners and aligning teaching standards for classroom assessment. Includes 12 hours of Career and Technical Student Organization Competitive Event Assessment at the state/national level.,Spring,https://catalog.iastate.edu/azcourses/fceds/
FCEDS,4170A,Supervised Teaching in Family and Consumer Sciences: Vocational family and consumer sciences.,3-8.,,,,True,Admitted to Educator Preparation Program or permission of instructor,Supervised teaching experience in secondary schools.,"Fall, Spring",https://catalog.iastate.edu/azcourses/fceds/
