subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FDM,1200,Intro to Assembly Apparel Processes,1.,Laboratory 2.,,,,,"Assemble components and completed garments with the use of basic sewing equipment. Learn basic construction techniques, applications and vocabulary. Students will need access to a home sewing machine, iron, computer and the internet. Not available for credit for FDM majors.",,https://catalog.iastate.edu/azcourses/fdm/
FDM,1210,Apparel Assembly Processes,3.,"Lecture 1, Laboratory 4.",,,,,Principles of garment and soft good product assembly taught using industrial machines and production equipment. Intermediate construction techniques that build with complexity. Understanding how to manipulate different types of fabrics. Garment analysis and learning to understand technical packages in terms of sewing.,"Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,1310,Fashion Products and Markets,3.,Lecture 3.,,,,,Fashion industry from concept to consumer. Focus on fashion-driven consumer goods. Development and prototyping of fashion products for a target market.,Fall,https://catalog.iastate.edu/azcourses/fdm/
FDM,1650,"Fashion, Appearance, and Diversity in U.S. Society",3.,Lecture 3.,,,,,"Analyze foundational concepts and theories related to dress, identity, fashion, and culture and how they intersect with sex, gender, sexuality, beauty, attractiveness, disability, religion, race, and ethnicity with heightened attention to marginalized communities in the United States. Analyze the experiences and the role of fashion, clothing, dress, and/or accessories for identity development. Critique the social justice issues within the fashion system and identify the driving forces of transformative social justice change in the fashion system. Deconstruct one’s personal values and positionalities in relation to fashion, clothing, dress, and/or accessories. Meets U.S. Cultures and Communities Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,1780,Introduction to Apparel Design Studio,3.,Studio 6.,,,,,"Introduction to the elements and principles of design in fashion and apparel including skill development in fashion illustration, technical drawing, and fabric rendering using traditional media. Application of written and verbal presentations to communicate fashion and apparel design concepts and terminology. Fashion presentation and introduction to portfolio development.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,2040,Textile Science,4.,"Lecture 3, Laboratory 2.",,,,FDM 1310,"Textile fibers, yarns, fabrication, coloration, and finishes. Quality and performance application to textile products. Lab work included.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,2060,Design Selective Advancement,Required.,Lecture 1.,,,True,"Credit or concurrent enrollment in ( FDM 1210 , FDM 1310 , FDM 1650 , FDM 1780 , and FDM 2040 )","Project review and skill assessment related to 2-dimensional and 3-dimensional visualization, apparel assembly, basic product knowledge, design problem solving, illustration, textiles. Grade point averages are part of scoring process. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,2100,Computer Applications in Digital Design,3.,,,,,Credit or concurrent enrollment in FDM 2450,"Applications of skills in Photoshop, Illustrator, InDesign, Google Sketch-up, Excel, and website development. Introduction to digital product design and line development. Focus on elements and principles of design. Introduction to digital portfolio development for design and merchandising. In-class demonstrations and online lectures.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,2250,Patternmaking I: Drafting and Flat Pattern,3.,,,,,FDM 1210 ; FDM 2040,"Application of patternmaking tools and their functions, measurement techniques, pattern labeling, and patternmaking communication documents. Sloper drafting and flat pattern manipulation methods for women's apparel. Design and construction of original garments using drafted slopers and flat pattern manipulation methods to enable the analysis of fit.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
FDM,2310,Product Development and Manufacturing,3.,Lecture 3.,,,,,"Introduction to the product development cycle, career paths, and manufacturing process. Analysis of garment manufacturing, materials, and specifications relative to quality, performance, cost, and price. Introduction to PLM skills via product development simulation. Credit or concurrent enrollment in AMD 2040 and AMD 2100 recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/fdm/
