subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FOR,2010,Forest Biology,2.,Lecture 2.,,,,"Concurrent enrollment in FOR 2020 , FOR 2030 , FOR 2040 , FOR 2050 , and FOR 2060 .","Discussion of ecological concepts, individual tree structure and growth, variation and diversity in tree populations. Physical environment of trees and forests, ecological processes in forest communities, and introduction to different regional forest communities.",Fall,https://catalog.iastate.edu/azcourses/for/
FOR,2020,Sustainable Materials: Wood Utilization,2.,Lecture 2.,,,,"Concurrent enrollment in FOR 2010 , FOR 2030 , FOR 2040 , FOR 2050 , and FOR 2060","Basis for use of wood as an industrial raw material for lumber, composites, pulp and paper, energy and chemicals. Implications of use of alternative renewable and non-renewable materials for societal infrastructure and consumer goods.",Fall,https://catalog.iastate.edu/azcourses/for/
FOR,2030,Resource Measurements/Evaluation,2.,Lecture 2.,,,,"Concurrent enrollment in FOR 2010 , FOR 2020 , FOR 2040 , FOR 2050 , and FOR 2060 ; MATH 1400","Survey techniques involved in quantification, valuation, and evaluation of tree and stand growth and other variables in the forest environment (e.g., recreational use, wildlife habitat value, biomass, and solid wood).",Fall,https://catalog.iastate.edu/azcourses/for/
FOR,2040,Forest Ecosystem Decision-Making,2.,Lecture 2.,,,,"Concurrent enrollment in FOR 2010, FOR 2020, FOR 2030, FOR 2050, and FOR 2060","Methods of decision-making related to forest ecosystems including communications, teams and conflict resolution. Current issues relating to public, private, and urban forests; quantification of processes, services, and goods produced by the forest and expected by the public such as wildlife, water, range, recreation, wilderness, biodiversity, as well as wood and fiber products.",Fall,https://catalog.iastate.edu/azcourses/for/
FOR,2050,Integrated Forestry Laboratory,3.,Laboratory 8.,,,,"Credit or concurrent enrollment in FOR 2010 , FOR 2020 , FOR 2030 , FOR 2040 , and FOR 2060","Field and laboratory exercises integrating the evaluation and management of forest goods, services, and the processing of wood products.",Fall,https://catalog.iastate.edu/azcourses/for/
FOR,2060,Fall Forestry Camp,4.,,,,,"Credit or concurrent enrollment in FOR 2010 , FOR 2020 , FOR 2030 , FOR 2040 , and FOR 2050","Three-week field camp to address topics and issues covered in 2010, 2020, 2030, 2040, and 2050.",Fall,https://catalog.iastate.edu/azcourses/for/
FOR,2800,Wood Properties and Identification,4.,"Lecture 3, Laboratory 3.",,,,,"Properties of wood and how they relate to its successful use. Comparative anatomical characteristics, scientific nomenclature, and hand lens identification of commercially important North American woods.",Spring,https://catalog.iastate.edu/azcourses/for/
FOR,2830,Pesticide Application Certification,2.,Lecture 2.,,,,,"Core background and specialty topics in agricultural, and horticultural pesticide applicator certification. Students can select certification categories and have the opportunity to obtain pesticide applicator certification at the completion of the course. Commercial pesticide applicator certification is emphasized.",Spring,https://catalog.iastate.edu/azcourses/for/
FOR,2900A,Special Problems: Leadership in Forestry Teams (LIFT) Learning Community,1-4.,,,,True,"Freshman or Sophomore classification, permission of instructor",Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/for/
FOR,2900B,Special Problems: Forest Ecosystem Management,1-4.,,,,True,"Freshman or Sophomore classification, permission of instructor",Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/for/
FOR,2900C,Special Problems: Natural Resource Conservation,1-4.,,,,True,"Freshman or Sophomore classification, permission of instructor",Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/for/
FOR,2900D,Special Problems: Urban and Community Forestry,1-4.,,,,True,"Freshman or Sophomore classification, permission of instructor",Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/for/
FOR,2900E,Special Problems: Wood Science and Technology,1-4.,,,,True,"Freshman or Sophomore classification, permission of instructor",Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/for/
FOR,3020,Silviculture,4.,"Lecture 3, Laboratory 3.",,,,FOR 2010 or NREM 3010 or WFCE 3120,Manipulation of forest vegetation based on ecological principles for the production of goods and services.,Spring,https://catalog.iastate.edu/azcourses/for/
FOR,3560,Dendrology,3.,"Lecture 2, Laboratory 2.",,,,BIOL 2110,Identification and ecology of North American woody plant species. Importance of woody plants in timber production and wildlife habitat. Historical conditions of North American forest regions will also be addressed.,Fall,https://catalog.iastate.edu/azcourses/for/
FOR,3570,Winter Dendrology,2.,Lecture 2.,,,,,"Identification of North American woody plant species in winter using twigs, buds, bark, and growth form. Emphasis on the ecological roles of trees in winter environments and their adaptations to cold conditions. Students develop practical skills in winter tree identification and are introduced to techniques commonly used in winter forestry assessment and planning.",Spring,https://catalog.iastate.edu/azcourses/for/
FOR,3580,Forest Herbaceous Layer: Ecology and Identification.,1.,,,,,,"Survey of the major plant families, general, and representative species of the forest herbaceous layer. Functional ecology and restoration.",Spring,https://catalog.iastate.edu/azcourses/for/
