subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FRNCH,1010,Elementary French I,4.,Lecture 4.,,,,,"Beginning level development of reading, writing, listening comprehension, and speaking in French, within the context of French culture.","Fall, Summer",https://catalog.iastate.edu/azcourses/frnch/
FRNCH,1020,Elementary French II,4.,Lecture 4.,,,,( FRNCH 1010 ) OR (Score up to 250 on French WLC Placement Exam),"Beginning level development of reading, writing, listening comprehension, and speaking in French, within the context of French culture. Graduation Restriction: A student may apply either FRNCH 1010 and 1020 or FRNCH 1070 to graduation. Meets International Perspectives Requirement.","Spring, Summer",https://catalog.iastate.edu/azcourses/frnch/
FRNCH,1070,Intensive Beginning French,4.,Lecture 4.,,,,,"An accelerated introduction to reading, writing, listening comprehension, and speaking in French, within the context of Francophone cultures around the world. This course is the equivalent of FRNCH 1010 and 1020. Graduation Restrictions: A Student may apply either FRNCH 1010 and 1020 or FRNCH 1070 to graduation. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/frnch/
FRNCH,2010,Intermediate French I,4.,Lecture 4.,,,,( FRNCH 1020 ) OR (Score between 250 - 350 on French WLC Placement Exam),"Intermediate level development of reading, writing, listening comprehension, and speaking in French within the context of French culture. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/frnch/
FRNCH,2020,Intermediate French II,4.,Lecture 4.,,,,( FRNCH 2010 ) OR (Score between 350 - 400 on French WLC Placement Exam),"Intermediate level development of reading, writing, listening comprehension, and speaking in French within the context of French culture. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/frnch/
FRNCH,2030,Intermediate French Grammar and Conversation,4.,Lecture 4.,,,,FRNCH 2010,Practice in oral communication within the context of French language and cultures for professions. Best-suited for students with a solid foundation in basic French grammar. Graduation Restriction: Only one of FRNCH 2020 or 2030 may count toward graduation.,,https://catalog.iastate.edu/azcourses/frnch/
FRNCH,2370X,French and Francophone Animation,3.,Lecture 3.,,,,,Survey of French and Francophone cinematic animation and introduction to the principles of motion and French and Francophone decorative arts. Emphasis on interdisciplinary practices. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/frnch/
FRNCH,3001X,French Culture Through Cuisine,3.,Lecture 3.,,,,,"Introduction to French and Francophone cultures through cuisine. Emphasis on cross-cultural competence via inter-disciplinary approaches and topics. Taught in English, but basic French language pertinent to dining à la française will be taught. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/frnch/
FRNCH,3010,"Language, Culture, Contexts",3.,Lecture 3.,,,,( FRNCH 2020 ) OR (Score greater than 400 on French WLC Placement Exam),Emphasis on developing language proficiency and skills in reading and writing. Selective review of grammar within the context of cultural and literary prose. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/frnch/
FRNCH,3020,Text and Media Analysis,3.,Lecture 3.,,,,FRNCH 3010,"Readings in French prose, theater and poetry. Introduction to close reading and analysis. Development of reading and writing skills for upper-level courses. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/frnch/
