subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GAME,2020,Game Design Fundamentals,3.,Lecture 3.,,,,,"Fundamentals of games, including the types of games, formal structure of games, and the dramatic elements of games. Students will learn to design, develop and playtest a prototype of a game. Includes working in interdisciplinary mixed game design teams.",,https://catalog.iastate.edu/azcourses/game/
GAME,2030,Introduction to Game Engines,3.,Lecture 3.,,,,,"Design, development, and implementation of games using game engines. Practice coding, troubleshooting, and rapid prototyping in popular game engines which may include Game Maker, Unity, Godot, Unreal, or any other popular game engine. Student work will result in the implementation of several mini-games in the selected game engine.",,https://catalog.iastate.edu/azcourses/game/
GAME,2040,Programming for Game Engines,3.,Lecture 3.,,,,,"Coding in the environment of selected game engine(s). Focus on methods, concepts, and problems of developing games using popular game engines. Includes programming, scripting, troubleshooting, and rapid prototyping.",,https://catalog.iastate.edu/azcourses/game/
GAME,2100,Game Career Development,2.,Lecture 2.,,,,"GAME 2020 , GAME 2030 , GAME 2720X/HIST 2720X, GAME 2730 / RELIG 2730","Introduction to career opportunities for the Game Design major. Includes opportunities to meet with industry partners and information on publishing games, writing job applications, assembling portfolios, and trends in the game industry.",Fall,https://catalog.iastate.edu/azcourses/game/
GAME,2101,Game Design Field Study,2-3.,,,,,"GAME 2020 , GAME 2030 , GAME 2720X/HIST 2720X, GAME 2730 / RELIG 2730","The course offers opportunities to visit game industry and/or game research and education partners, nationally or internationally (2 credits, up to 3 credits for an international trip). Students learn about the game industry, research and novel technologies studying and discussing game trends, perspectives and opportunities. . Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/game/
GAME,2102,Game Design Internship,2.,Discussion 2.,,,,"GAME 2020 , GAME 2030 , GAME 2720X/HIST 2720X, GAME 2730 / RELIG 2730",Supervised internship requiring a minimum of three weeks of full-time work with a Game Design company to be recognized as a credit-bearing internship. . Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/game/
GAME,2110,Game Play and Analysis,3.,Lecture 3.,,,,"GAME 2020 , GAME 2030 , GAME 2720X/HIST 2720X, GAME 2730 / RELIG 2730","Game play and analysis of significant digital and analog games to develop game literacy and to practice game design thinking. Includes assessment of game mechanics, player experience, content, and social impact of games. Required for Game Design Majors.",,https://catalog.iastate.edu/azcourses/game/
GAME,2300X,Retro Videogames,3.,Lecture 3.,,,,GAME 2020,"Survey of foundational videogames from their inception the ‘50s until the High-Definition era in 2010. Introduces methods of reading, interpreting, and analyzing these videogames and their legacy into games that followed. Studies the development of the three industries of computer games, arcade games, and videogames. This will add greater cultural understanding of game studies as well as game design which can shape future games and experiences.","Fall, Spring",https://catalog.iastate.edu/azcourses/game/
GAME,2720,Game Design and History,3.,Lecture 3.,,,,,"Students will play digital and analog games, discover how games work, and develop skills to create their own games. The course is a historically informed examination of games which develop game mechanics, build worlds, and tell stories about or represent the past.",Spring,https://catalog.iastate.edu/azcourses/game/
GAME,2730,Game Design and Cultures,3.,Lecture 3.,,,,,"Examination of how games draw on diverse cultures and religions in developing game mechanics, building worlds, and telling stories. Students will play digital and analog games, discover how games work, and develop skills to create their own games.",,https://catalog.iastate.edu/azcourses/game/
GAME,3010,Game Design Workshop,3.,,,,,"GAME 2020 , GAME 2030 , GAME 2100 , and GAME 2110","Intermediate, project-based, collaborative game design course. Students across focus areas work together to ideate, prototype, create, implement, and test games. Knowledge of game analysis and evaluation methods are strengthened. Basic project-management skills are applied.",Fall,https://catalog.iastate.edu/azcourses/game/
GAME,4010,Game Design Capstone,6.,,,,,"GAME 2020 , GAME 2030 , GAME 2040 , GAME 2100 , GAME 2110 , GAME 3010 , and (GAME 2720X/HIST 2720X OR GAME 2730 / RELIG 2730 )","Students work in multidisciplinary teams to design and develop a comprehensive game by applying their unique skills gained in the Game Design focus areas. Students learn from influential, impactful, and popular games, discuss their design with industry leaders and game designers, and explore entrepreneurship opportunities through game development. Students expand their personal portfolio, study game publishing process and gain project management experience. .",Fall,https://catalog.iastate.edu/azcourses/game/
