subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GDCB,5100,Transmission Genetics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"In-depth investigations of modern research practices of transmission genetics. Designed for students interested in genetic research. Topics include: Mendelian genetic analysis, analysis of genetic pathways, mutational analysis of gene function, chromosomal mechanics, genetic mapping, epigenetic inheritance, human genetic analysis.",Fall,https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5110,Advanced Molecular Genetics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Mechanisms of molecular genetic processes in eukaryotes and prokaryotes, including DNA replication and repair, transcription, translation and regulation of gene expression. Critical evaluation and discussion of current primary literature, methodologies and experimental data.",Spring,https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5130,Plant Metabolism,2.,Lecture 2.,,,,Graduate Standing or Permission of Instructor,"Photosynthesis, respiration, and other aspects of plant metabolism. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5280,Advances in Molecular Cell Biology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Cell biological processes including cell signaling, cell division, intracellular trafficking, biogenesis of organelles, cell adhesion and motility. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5330,Advances in Developmental Biology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Fundamental principles in multicellular development. Emphasis on cellular and molecular regulation of developmental processes, and experimental approaches as illustrated in the current literature. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5360,Statistical Genetics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Statistical models and methods for genetics covering models of population processes: selection, mutation, migration, population structure, and linkage disequilibrium, and inference techniques: genetic mapping, linkage analysis, and quantitative trait analysis. Applications include genetic map construction, gene mapping, genome-wide association studies (GWAS), inference about population structure, phylogenetic tree construction, and forensic and paternity identification.",,https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5420A,Introduction to Molecular Biology Techniques: DNA Techniques,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes genetic engineering procedures, sequencing, PCR, and genotyping. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5420B,Introduction to Molecular Biology Techniques: Protein,1.,,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5420C,Introduction to Molecular Biology Techniques: Cell Techniques,1.,Laboratory 2.,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection.ular biology techniques and related procedures. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/gdcb/
GDCB,5420E,Introduction to Molecular Biology Techniques: Proteomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes: two-dimensional electrophoresis, laser scanning, mass spectrometry, and database searching. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/gdcb/
