subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GEN,1100,Genetics Orientation,1.,Lecture 1.,,,,,"This course is intended for first year students and others new to the genetics major. Discussion of university policies and resources, requirements of the major, career opportunities, and other topics related to the first-year experience. Graduation Restriction: Only one of GEN 1100 or 1120 may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/gen/
GEN,1120,Genetics Orientation for Transfer Students,0.5.,Lecture 0.5.,,,,,"Eight-week course for external transfer students and internal change of major students. Discussion of university policies and resources, requirements of the major, and career opportunities. Graduation Restriction: Only one of GEN 1100 or 1120 may count toward graduation.",Spring,https://catalog.iastate.edu/azcourses/gen/
GEN,1130X,Exploring Possibilities in Life Sciences,1.,Lecture 1.,,,,,Seminar focusing on introducing students to life science fields and careers. Explores interdisciplinary career paths and guidance on strategies for success in achieving career goals. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/gen/
GEN,1140X,Experiential Learning and Explorations in Life Sciences,1.,,,,,,"A second year experiential learning course focused on careers in life science fields. Sections offer themed learning allowing students to choose an immersive experience in an area of interest. Sections utilize hands-on engagement, field trips to on- and off-campus locations, and small group discussions with speakers working in different life science careers. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/gen/
GEN,2980,Cooperative Education,Required.,,,,,Permission of the department cooperative education coordinator; sophomore classification,Required of all cooperative education students. Students must register for this course prior to commencing each work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/gen/
GEN,2990X,Introduction to Undergraduate Research,1-2.,,,,,Instructor Permission for Course,Identify a research opportunity on campus and conduct guided research under the supervision.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/gen/
GEN,3130,Principles of Genetics,3.,Lecture 3.,,,,BIOL 2110 and BIOL 2120,"Introduction to the principles of transmission and molecular genetics of plants, animals, and bacteria. Recombination, structure and replication of DNA, gene expression, cloning, quantitative genetics, and population genetics. Graduation Restriction: Students may receive graduation credit for no more than one of the following: GEN 2600, GEN 3130 and 3130L, GEN 3200 , BIOL 3130 and 3130L, and AGRON 3200 .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/gen/
GEN,3130L,Genetics Laboratory,1.,Laboratory 4.,,,,Credit or enrollment in BIOL 3130,"Laboratory to accompany 3130. Graduation Restriction: Students may receive graduation credit for no more than one of the following: BIOL 3130 and 3130L, GEN 2600, GEN 3130 , GEN 3200 , and AGRON 3200 .","Fall, Spring",https://catalog.iastate.edu/azcourses/gen/
GEN,3200,"Genetics, Agriculture and Biotechnology",3.,Lecture 3.,,,,BIOL 2110 or BIOL 2120 or BIOL 2510,"Transmission and molecular genetics with an emphasis on applications in agriculture, the structure and expression of the gene, how genes behave in populations and how recombinant DNA technology can be used to improve agriculture. Graduation Restriction: Credit for graduation will not be allowed for more than one of the following: GEN 2600, 3130, 3200 and BIOL 3130 and 3130L.","Fall, Spring",https://catalog.iastate.edu/azcourses/gen/
GEN,3220,Introduction to Bioinformatics and Computational Biology,3.,Lecture 3.,,,,BIOL 2120,"Genome sequencing, assembly, structural and functional annotation, and comparative genomics. Investigating these topics will develop skills in programming and scripting (Perl and/or Python), the use of biological databases, sequence alignment, similarity search, identification of sequence patterns, construction of phylogenetic trees, and comparative genomics.",Fall,https://catalog.iastate.edu/azcourses/gen/
GEN,3400,Human Genetics,3.,Lecture 3.,,,,BIOL 3130 or GEN 3130,"Fundamental concepts and current issues of human genetics. Human chromosome analysis, pedigree analysis, gene mapping, the human genome project, sex determination, genetics of the immune system, genetics of cancer, gene therapy, the genetic basis of human diversity, eugenics.","Fall, Spring",https://catalog.iastate.edu/azcourses/gen/
GEN,3490,The Genome Perspective in Biology,4.,"Lecture 3, Laboratory 2.",,,,GEN 3130 or GEN 3200,"Analysis of genome, RNA, and protein data using computer technology to answer biological questions on topics ranging from microbial diversity to human health. An introduction for students in the life sciences to the fields of genomics, bioinformatics and systems.",Spring,https://catalog.iastate.edu/azcourses/gen/
GEN,3510,Principles of Domestic Animal Genetics,3.,Lecture 3.,,,,BIOL 2120 ; STAT 1010 or STAT 1040,"Foundation of genetics, genomics, and statistical concepts in domestic animal populations. Graduation Restriction: Only one of ANS 3510 , BIOL/ GEN 3130 , and GEN 3200 may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/gen/
GEN,3980,Cooperative Education,Required.,,,,,Permission of Department Cooperative Education Coordinator; Junior classification,Required of all cooperative education students. Students must register for this course prior to commencing each work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/gen/
GEN,4010,Bioinformatics of Sequences,3.,Lecture 3.,,,,BCBIO 3220 ; ( COMS 1270 OR COMS 2270 ); ( MATH 1600 or MATH 1650 ); ( MATH 1660 or STAT 3010 ); ( STAT 1010 or STAT 1040 or STAT 3300 ) or Permission of Instructor,"Application of computer science and statistics to molecular biology with a significant problem-solving component, including hands-on programming using Python to solve a variety of biological problems. String algorithms, sequence alignments, homology search, pattern discovery, genotyping, genome assembly, genome annotation, comparative genomics, protein structure. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/gen/
GEN,4020,Microbial Genetics and Genomics,3.,Lecture 3.,,,,BIOL 3130; MICRO 3020,"The fundamental concepts of bacterial and bacteriophage genetics including mutagenesis, mechanisms of vertical and horizontal genetic information transfer and gene regulation are covered, along with genetic and genomic-based approaches to study these and other cellular processes of microorganisms. Review and discussion of research literature to examine experimental design, methodology, and interpretation of both historical and contemporary relevance to microbial genetics and genomics. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/gen/
GEN,4060,Bioinformatics of OMICS,3.,Lecture 3.,,,,BIOL 2120,"Introduction to cutting edge OMICS analyses including transcriptome, proteome, metabolome, DNA-protein interactome, protein-protein interactome and methylome. Genomic analysis including transcriptome analysis, cancer genomics, comparative genomics, and regulatory network analysis.",Spring,https://catalog.iastate.edu/azcourses/gen/
