subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GEOL,1000,How the Earth Works,3.,Lecture 3.,,,,,"How does the earth work, what is it made of, and how does it change through time? Plate tectonics, Earth materials, landforms, structures, climate, and natural resources. Emphasis on the observations and hypotheses used to interpret earth system processes. Students may also enroll in GEOL 1000L .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geol/
GEOL,1000L,How the Earth Works: Laboratory,1.,Laboratory 2.,,,,,"Students will gain understanding of how Earth processes affect their lives and how they affect the Earth, and of the complex nature of the Earth and its processes. They will gain a deep knowledge of the methods used to understand the time scales and rates of Earth processes also through an applied research experience on groundwater and surface water.","Fall, Spring",https://catalog.iastate.edu/azcourses/geol/
GEOL,1010,Environmental Geology: Earth in Crisis,3.,Lecture 3.,,,,,"Exploration of the interactions between humans and the geologic environment, and the consequences of those interactions, on local to global scales. Discussion of water, soil, mineral, and energy resources, pollution, climate change, and natural hazards such as earthquakes, volcanism, mass wasting, and flooding.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geol/
GEOL,1030,Age of Dinosaurs,1.,Lecture 1.,,,,,Introduction to the diversity of dinosaur species. Discussion of basic evolutionary theory and interpretation of fossil evidence. Overview of Mesozoic Earth history including paleogeographic and paleoclimate reconstructions. Course available via the World Wide Web.,Fall,https://catalog.iastate.edu/azcourses/geol/
GEOL,1050,Gems and Gemstones,1.,Lecture 1.,,,,,"Offered in second half of the semester. Introduction to gems and gemstones, physical and optical properties of gems and gemstones, explanation of where gems come from and how they are found, how to distinguish between synthetic and naturally occurring gems, how the value of gems are determined, and the history of famous gems.",Fall,https://catalog.iastate.edu/azcourses/geol/
GEOL,1080,Introduction to Oceanography,3.,Lecture 3.,,,,,"Introduction to the study of oceans and the processes that helped shape them. A major focus is on how the oceans work, with special attention on geological, chemical, and biological processes. Ocean circulation and its influence on climate. Life of the oceans. Use and misuse of ocean resources. Anthropogenic impacts on the oceanic environment.",Fall,https://catalog.iastate.edu/azcourses/geol/
GEOL,1110,Geological Disasters,1.,Lecture 1.,,,,,"Introduction to the catastrophic geologic processes with the potential to devastate human populations that continue to expand into regions at greatest risk from geologic hazards. Selected case studies and discussion of plate tectonics, climate, and earth processes explain the driving forces behind natural hazards such as earthquakes, tsunamis, volcanic eruptions, landslides, and floods.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geol/
GEOL,1120,Geoscience Orientation,1.,Lecture 1.,,,,,"Orientation course for students enrolled in the Earth, Wind and Fire Learning Community. Provides an introduction to Iowa State University and meteorology, geology, and Earth science programs for students enrolled in the department's learning community. Activities include academic and social activities, talks and presentations on academic success, resume writing, and study abroad, as well as research talks by faculty members.",Fall,https://catalog.iastate.edu/azcourses/geol/
GEOL,1130,"Spring Geoscience Orientation for Earth, Wind and Fire Learning Community",1.,Lecture 1.,,,,,"Spring orientation course for students enrolled in the 'Earth, Wind and Fire' Learning Community. Develop and apply quantitative, data-analysis, management, and communication skills on an authentic research project in a team to focus on professionalism and resilience. Introduction to interview strategies and the importance of creating a professional image on social media. Academic and social events, plus two field trips.",Spring,https://catalog.iastate.edu/azcourses/geol/
GEOL,1400,Climate and Society,3.,Lecture 3.,,,,,"The climate system of our planet. How nature and our actions alter the existing energy balance leading to climate change. Past climates on our planet. The influence of climate on society and resource availability during the Holocene (~ 11,000 years ago to present) with focus on changes post industrial revolution. Significant climate events that have altered our way of life in the past. Projected changes in future climate and potential impacts on society, environment and resources. Adaption to and mitigation of climate change. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/geol/
