subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GRST,5310X,Thriving in Graduate School,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Part one of a four-part series of courses in the Center for Communication Excellence's (CCE's) Academic Communication Practices (AcComP) Certification Track. Focus on identifying and overcoming challenges associated with the transition to graduate school. Orientation to Graduate College standards, resources, and requirements. Determining goals for graduate education. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/gr_st/
GRST,5320X,Mapping Graduate School Trajectory,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Part two of a four-part series of courses in the Center for Communication Excellence's (CCE's) Academic Communication Practices (AcComP) Certification Track. Focus on planning for empirical research and responsible research standards. Utilizing Graduate College, CCE, and university resources to succeed in graduate school. Orientation to creative component/thesis/dissertation expectations and guidelines. Identifying strategies to achieving goals in graduate education. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/gr_st/
GRST,5330X,Sustaining Productivity through Accountability in Graduate School,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Part three of a four-part series of courses in the Center for Communication Excellence's (CCE's) Academic Communication Practices (AcComP) Certification Track. Focus on reporting and disseminating research findings, maintaining accountability, and producing high quality communication. Preparation for creative component/thesis/dissertation phase and meeting of Graduate College requirements. Executing strategies to achieving goals in graduate education. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/gr_st/
GRST,5340X,Attaining Success in Graduate School,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,Part four of a four-part series of courses in the Center for Communication Excellence’s (CCE’s) Academic Communication Practices (AcComP) Certification Track. Focus on preparing creative component/thesis/dissertation and readying for the job market. Preparation for final oral exam phase and meeting the graduation requirements. Achieving goals in graduate education. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/gr_st/
GRST,5360,Preparing Publishable Thesis Chapters,3.,Lecture 3.,,,,Instructor Permission for Course,"Reporting original research results within the norms for writing of a student's discipline. Emphasis on preparing thesis/dissertation chapters that will be both acceptable to the Graduate College and ready for submission to a refereed journal in the student's discipline. Focus on reporting results from student-generated original research, norms for discourse within disciplines, and how thesis chapters differ from journal manuscripts.","Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5400A,English for Teaching Purposes (Intermediate-Low),3.,Lecture 3.,,,True,Instructor Permission for Course,Emphasis on pronunciation improvement and greater fluency in spoken English. Placement based upon OECT test results. Persons whose native language is English cannot take GRST 5400 for credit. No more than one section of GRST 5400 may be taken per semester; up to two sections total. Graduation Restriction: Credit for GRST 5400 does not apply toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5400B,English for Teaching Purposes (Intermediate-Mid),3.,Lecture 3.,,,True,Instructor Permission for Course,Placement based upon OECT test results. Persons whose native language is English cannot take GRST 5400 for credit. No more than one section of GRST 5400 may be taken per semester; up to two sections total. Graduation Restriction: Credit for GRST 5400 does not apply toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5400C,English for Teaching Purposes (Intermediate-High),3.,Lecture 3.,,,True,Instructor Permission for Course,For students who have completed GRST 5400A or GRST 5400B but have not reached the passing level on the OECT test. Placement based upon OECT test results. Persons whose native language is English cannot take GRST 5400 for credit. No more than one section of GRST 5400 may be taken per semester; up to two sections total. Graduation Restriction: Credit for GRST 5400 does not apply toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5400D,English for Teaching Purposes (Advanced),3.,Lecture 3.,,,True,Instructor Permission for Course,"Developing explanations, leading discussions and handling questions in a teaching environment. Placement based upon OECT test results. Persons whose native language is English cannot take GRST 5400 for credit. No more than one section of GRST 5400 may be taken per semester; up to two sections total. Graduation Restriction: Credit for GRST 5400 does not apply toward graduation. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5400E,English for Teaching Purposes (Supervised Independent Study),1.,Lecture 1.,,,True,Instructor Permission for Course,Seminar with individual observation and consultation. Placement based upon OECT test results. Persons whose native language is English cannot take GRST 5400 for credit. No more than one section of GRST 5400 may be taken per semester; up to two sections total. Graduation Restriction: Credit for GRST 5400 does not apply toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5480X,Improving Academic and Professional Speaking Skills,2.,Lecture 2.,,,,Graduate Standing or Permission of Instructor,"Emphasis on improving oral communication skills in the areas of academic presentations as well as professional and interpersonal communication fundamentals. Offered to graduate students in any discipline. In-depth lectures, discussions, and coaching provided. Video and anonymous peer review of individual speeches. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/gr_st/
GRST,5650,Responsible Conduct of Research in Science and Engineering,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,Ethical and legal issues facing researchers in the sciences and engineering.,"Fall, Spring",https://catalog.iastate.edu/azcourses/gr_st/
GRST,5660,Communications in Science,2.,Lecture 2.,,,True,Graduate Standing or Permission of Instructor,"Focus on enhancing professional communication skills to convey scientific knowledge and discoveries to broader audiences. Emphasis on developing best practices for communicating science to a wide range of specialist and non-specialist audiences including disciplinary researchers, interdisciplinary scholars, industry professionals, governmental bodies, media representatives, and the general public.",Fall,https://catalog.iastate.edu/azcourses/gr_st/
GRST,5670,Time Management and Mentoring,0.5.,Lecture 0.5.,,,,Graduate Standing or Permission of Instructor,Balancing life and career; mentoring; lab management.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/gr_st/
