subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HCI,4250,Optimization Methods for Complex Designs,3.,Lecture 3.,,,,MATH 2650 ; ME 1600,"Optimization involves finding the 'best' according to specified criteria. Review of a range of optimization methods from traditional nonlinear to modern evolutionary methods such as Genetic algorithms. Examination of how these methods can be used to solve a wide variety of design problems across disciplines, including mechanical systems design, biomedical device design, biomedical imaging, and interaction with digital medical data. Students will gain knowledge of numerical optimization algorithms and sufficient understanding of the strengths and weaknesses of these algorithms to apply them appropriately in engineering design. Experience includes code writing and off-the-shelf routines. Numerous case-studies of real-world situations in which problems were modeled and solved using advanced optimization techniques.",Fall,https://catalog.iastate.edu/azcourses/hci/
HCI,5040,Evaluating Technology-based Learning Environments,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Principles and procedures to plan, design, and conduct effective evaluation studies (formative, summative, usability) in different settings are studied. Opportunities to engage in real or simulated evaluation projects of substantial scope are provided. Course activities include: create evaluation instruments, develop methods with which to evaluate a product or program, conduct try-outs or usability sessions, analyze the data, report the findings, and recommendations.",,https://catalog.iastate.edu/azcourses/hci/
HCI,5100,Foundations of Game-based Learning,3.,Lecture 3.,,,,12 graduate credits,"Theories, principles and best practices of utilizing games in educational environments. Topics include the theoretical foundations of learning games and game play, identity development in online environments, and assessment of learning in and out of games.",,https://catalog.iastate.edu/azcourses/hci/
HCI,5150,Statistical Natural Language Processing,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to computational techniques involving human language and speech in applications such as information retrieval and extraction, automatic text categorization, word prediction, intelligent Web searching, spelling and grammar checking, speech recognition and synthesis, statistical machine translation, n-grams, POS-tagging, word-sense disambiguation, on-line lexicons and thesauri, markup languages, corpus analysis, and Python programming language.",,https://catalog.iastate.edu/azcourses/hci/
HCI,5200,Computational Analysis of English,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Concepts and practices for analysis of English by computer with emphasis on the applications of computational analysis to problems in applied linguistics such as corpus analysis and recognition of learner language in computer-assisted learning and language assessment.,,https://catalog.iastate.edu/azcourses/hci/
HCI,5210,Cognitive Psychology of Human Computer Interaction,3.,Lecture 3.,,,,Graduate classification,"Biological, behavioral, perceptual, cognitive and social issues relevant to human computer interactions.",,https://catalog.iastate.edu/azcourses/hci/
HCI,5220,Scientific Methods in Human Computer Interaction,3.,Lecture 3.,,,,Graduate classification,"Basics of hypothesis testing, experimental design, analysis and interpretation of data, and the ethical principles of human research as they apply to research in human computer interaction. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/hci/
HCI,5230X,Qualitative Research Methods in HCI,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Introduction to qualitative research methods specific to human computer interaction and user experience research, both from an academic perspective and applied industry perspective. Conduct, write, and critique qualitative research. Examples and projects will be drawn from human computer interaction domains, e.g., mobile apps, web applications, automated vehicle, self-checkout stations, etc. Methods include focus groups, interviews, surveys, and many others.",Fall,https://catalog.iastate.edu/azcourses/hci/
HCI,5250,Optimization Methods for Complex Designs,3.,Lecture 3.,,,,"Junior, Senior, or Graduate Standing","Optimization involves finding the 'best' according to specified criteria. Review of a range of optimization methods from traditional nonlinear to modern evolutionary methods such as Genetic algorithms. Examination of how these methods can be used to solve a wide variety of design problems across disciplines, including mechanical systems design, biomedical device design, biomedical imaging, and interaction with digital medical data. Students will gain knowledge of numerical optimization algorithms and sufficient understanding of the strengths and weaknesses of these algorithms to apply them appropriately in engineering design. Experience includes code writing and off-the-shelf routines. Numerous case-studies of real-world situations in which problems were modeled and solved using advanced optimization techniques.",Fall,https://catalog.iastate.edu/azcourses/hci/
HCI,5260,Design Ethnography,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"A hands-on introduction to ethnographic methods with a focus on their application in design, human computer interaction, user research, and other applied domains. Assumes no background in cross-cultural study or social science. Trains students to use ethnographic methods to conceptualize, design, build, and evaluate interactive systems and other design-oriented projects (e.g., architecture). .",Fall,https://catalog.iastate.edu/azcourses/hci/
HCI,5300X,Perspectives in HCI,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"An exploration of different perspectives in HCI that covers: inclusive and humane design; the intersection of technology and race, gender, age, and class; technology around the world; the impact of technology on democracy; social engineering and cybersecurity; and other relevant topics students would like to explore.",Summer,https://catalog.iastate.edu/azcourses/hci/
HCI,5400X,"Internet-Based Methods, Extended Reality, and Machine Learning for use in Engineering Design and Data Analysis",3.,Lecture 3.,,,,Completion of ME Foundations or Graduate Standing,"Extensive overview of developing and deploying internet-based computational resources for engineering applications. Relational databases, server and client-side web programming and their use with traditional engineering software (i.e. computer-aided design and finiteelement modeling). Extended reality (XR) technologies and machine learning / artificial intelligence for use in internet-based solutions.",Fall,https://catalog.iastate.edu/azcourses/hci/
HCI,5500X,User Experience Methodologies,3.,Lecture 3.,,,,Graduate Classification or Permission of Instructor,"Fundamentals of lean user experience design, discovery and process.",Spring,https://catalog.iastate.edu/azcourses/hci/
HCI,5710,Augmented Reality,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Fundamental technologies enabling augmented reality (AR) application development. Assessment and integration of the hardware and software systems necessary for AR including, tracking, image processing and rendering. Programming skills in C++ and GPU-based optimization are developed to enable evaluation of interaction devices and modalities afforded by AR.",,https://catalog.iastate.edu/azcourses/hci/
HCI,5740,Computational Implementation and Prototyping in HCI,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Fundamental concepts of software programming and the practical use of the Python programming language. Assignments include user interaction and interface design, information visualization, as well as other computational HCI tools. Intended for graduate students without prior background in software development. Requires programming during class lectures.",Spring,https://catalog.iastate.edu/azcourses/hci/
HCI,5750,Computational Perception,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"This class covers statistical and algorithmic methods for sensing, recognizing, and interpreting the activities of people by a computer. This semester we will focus on machine perception techniques that facilitate and augment human-computer interaction. The main goal of the class is to introduce computational perception on both theoretical and practical levels. Participation in small groups to design, implement, and evaluate a prototype of a human-computer interaction system that uses one or more of the techniques covered in the lectures.",Spring,https://catalog.iastate.edu/azcourses/hci/
HCI,5790X,Methods for Interdisciplinary Research,3.,Lecture 3.,,,,Graduate or senior level status or Permission of Instructor,"Introduction to qualitative, quantitative, and experimental methods for interdisciplinary research. Themes drawn from architectural history, design fields, human computer interaction, and applied social sciences; guest speakers attend to present their research methodologies. Students develop a research paper on a topic of their choice.",,https://catalog.iastate.edu/azcourses/hci/
HCI,5800,"Virtual Environments, Virtual Worlds, and Application",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"A systematic introduction to the underpinnings of Virtual Environments (VE), Virtual Worlds, advanced displays and immersive technologies; and an overview of some of the applications areas particularly virtual engineering. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/hci/
HCI,5840,Python Application Development in HCI,3.,Lecture 3.,,,True,Department Permission for Course,"Implement Python code and write design documents (""specs"") and complement their code with sufficiently detailed documentation in development of a large Python project of the student's choosing. Typical development process: idea, specification, prototyping and implementation (including debugging, testing, refactoring) and documentation and result in a demo-able final product. Fulfills the implementation requirement of the HCI program. Offered even-numbered years.","Fall, Summer",https://catalog.iastate.edu/azcourses/hci/
HCI,5850,Developmental Robotics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"An introduction to the emerging interdisciplinary field of Developmental Robotics, which crosses the boundaries between robotics, artificial intelligence, developmental psychology, and philosophy. The main goal of this field is to create autonomous robots that are more intelligent, more adaptable, and more useful than the robots of today, which can only function in very limited domains and situations. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/hci/
