subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HDFS,1020,Human Development,3.,Lecture 3.,,,,,"Overview of life-span developmental tasks (physical, cognitive, language, social, emotional) examined from various theoretical perspectives. Discussion of topics related to individual/family health and well-being and reciprocal relationships as affected by external factors.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,1100,Freshman Learning Community Orientation,1.,Lecture 1.,,,,,"Introduction to the Department of Human Development and Family Studies including academic requirements and opportunities, strategies for transitioning to college, learning and study strategies, reading and reflection, and career awareness.",Fall,https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,1110,New Transfer Student Seminar,1.,Lecture 1.,,,,"Human Development and Family Studies, Early Childhood Education, Family and Consumer Sciences Education, and Family Counseling and Planning Undergraduate Majors","Introduction to HDFS curricula and faculty for students in HDFS, FCEDS, ECE, or FCP. Department and University policies and procedures, degree audits, and registration. Exploration of campus resources and strategies for student success. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,1830,Financial Literacy for Life,1.,Lecture 1.,,,,,"Introduction to basic concepts and budgeting practices for management of resources and prevention of financial problems commonly associated with college, including credit and student loans. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,2080,Foundations of Early Childhood Professions,Required.,Lecture 2.,,,,Early Childhood Education Major or Instructor Permission,"Introduction to historical foundations, delivery systems, ethical responsibilities, and professional practices. Focus on developmentally appropriate, equitable, and inclusive learning contexts as career preparation.",Spring,https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,2200,Introduction to Professional Practice,3.,Lecture 3.,,,,Sophomore classification,"Introduction to the human service field's historical context, delivery systems, ethics, and professional practices. Development of foundational career preparation.","Fall, Spring",https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,2230,Child Development and Health,3.,Lecture 3.,,,,,"Typical and atypical development of children prenatal through middle childhood. Examination of healthy development and potential impact of health issues in children. Discussion of influence of the family and society on development. Graduation Restriction: Either HDFS 2230 or HDFS 2240 , but not both, may be applied toward graduation.",Spring,https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,2240,Child Development,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Focus on child development from prenatal through age eight considering developmental stages, milestones and individual differences. Includes theories of child development with attention to physical, communication, cognitive, and social-emotional domains. Exploration of the impact of the family and society on development.","Fall, Spring",https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,2240L,Child Development Practicum,1.,,,,,HDFS 1020 OR PSYCH 2300 ; concurrent enrollment in HDFS 2240 or permission of instructor,"Strategies for observing, recording, and interpreting children’s development. Interactions within multiple learning environments for young children.","Fall, Spring",https://catalog.iastate.edu/azcourses/hd_fs/
HDFS,2260,Development and Guidance in Middle Childhood,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Physical, cognitive, socioemotional, and identity development from 5 to 12 years of age. Development within the contexts of family, school, peers, and society. Guidance of children in family and group settings.",Fall,https://catalog.iastate.edu/azcourses/hd_fs/
